handle,fonte,produto_L,produto_W,produto_H,caixa_L,caixa_W,caixa_H,volume_in3,ft3,peso_dimensional_lb
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink,L/W/H,33.0,22.0,6.56,35.0,24.0,8.56,7190.4,4.16,51.73
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink-10-pack,L/W/H,33.0,22.0,6.56,35.0,24.0,8.56,7190.4,4.16,51.73
dayton-stainless-steel-33-x-22-x-7-1-16-4-hole-equal-double-bowl-drop-in-sink,L/W/H,33.0,22.0,7.06,35.0,24.0,9.06,7610.4,4.4,54.75
dayton-stainless-steel-33-x-22-x-8-1-16-1-hole-equal-double-bowl-drop-in-sink,L/W/H,33.0,22.0,8.06,35.0,24.0,10.06,8450.4,4.89,60.79
dayton-stainless-steel-33-x-22-x-8-1-16-3-hole-equal-double-bowl-drop-in-sink,L/W/H,33.0,22.0,8.06,35.0,24.0,10.06,8450.4,4.89,60.79
dayton-stainless-steel-33-x-22-x-8-1-16-4-hole-equal-double-bowl-drop-in-sink,L/W/H,33.0,22.0,8.06,35.0,24.0,10.06,8450.4,4.89,60.79
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-anthracite,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-caf,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-cinder,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-truffle,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-volcano-gray,CSV anterior,33.0,18.88,9.87,35.0,20.88,11.87,8674.6,5.02,62.41
diamond-1-3-4-double-bowl-kitchen-sink-cinder,L/W/H,32.07,20.0,9.87,34.07,22.0,11.87,8897.0,5.15,64.01
diamond-equal-double-bowl-kitchen-sink-coal-black,CSV anterior,32.0,17.0,9.87,34.0,19.0,11.87,7668.0,4.44,55.17
diamond-equal-double-dual-mount-kitchen-sink-anthracite,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-equal-double-dual-mount-kitchen-sink-caf,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-equal-double-dual-mount-kitchen-sink-cinder,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-equal-double-dual-mount-kitchen-sink-metallic-gray,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-equal-double-dual-mount-kitchen-sink-truffle,L/W/H,33.0,22.0,9.87,35.0,24.0,11.87,9970.8,5.77,71.73
diamond-single-bowl-dual-mount-kitchen-sink-metallic-gray,L/W/H,25.0,22.0,10.37,27.0,24.0,12.37,8015.8,4.64,57.67
diamond-super-single-bowl-kitchen-sink-cinder,CSV anterior,33.5,16.5,9.87,35.5,18.5,11.87,7795.6,4.51,56.08
diamond-super-single-dual-mount-kitchen-sink-anthracite,L/W/H,33.5,22.0,9.87,35.5,24.0,11.87,10113.2,5.85,72.76
diamond-super-single-dual-mount-kitchen-sink-cinder,L/W/H,33.5,22.0,9.87,35.5,24.0,11.87,10113.2,5.85,72.76
diamond-super-single-dual-mount-kitchen-sink-coal-black,CSV anterior,33.5,16.5,9.87,35.5,18.5,11.87,7795.6,4.51,56.08
diamond-super-single-dual-mount-kitchen-sink-truffle,L/W/H,33.5,22.0,9.87,35.5,24.0,11.87,10113.2,5.85,72.76
direct-spark-ignition-control-two-rod-with-21-second-trial-and-lockout-time,Dimensions,5.25,4.06,1.94,7.25,6.06,3.94,173.1,0.1,1.25
direct-spark-ignition-hot-surface-ignition-or-intermittent-pilot-ignition-gas-valve,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
diverter-tub-spout-in-grohe-brushed-nickel-groh-13-611en0,L/W/H,5.0,2.0,3.0,7.0,4.0,5.0,140.0,0.08,1.01
double-pole-line-voltage-programmable-thermostat,Dimensions,4.88,2.75,0.88,6.88,4.75,2.88,94.1,0.05,0.68
dual-direct-ignition-intermittent-pilot-gas-valve,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
dxv-modulus-24-towel-bar-in-matte-black,L/W/H,24.0,25.0,1.0,26.0,27.0,3.0,2106.0,1.22,15.15
dxv-modulus-towel-hook-in-matte-black,L/W/H,2.0,1.0,3.0,4.0,3.0,5.0,60.0,0.03,0.43
e-l-mustee-sons-durabase-shower-base-semi-gloss-white-1-piece-single-threshold-rectangle-42-x-34-x-5-1-2,L/W/H,42.0,34.0,5.0,44.0,36.0,7.0,11088.0,6.42,79.77
e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-48-x-32-x-5-1-2,L/W/H,48.0,32.0,5.0,50.0,34.0,7.0,11900.0,6.89,85.61
e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-60-x-32-x-5-1-2,L/W/H,60.0,32.0,5.0,62.0,34.0,7.0,14756.0,8.54,106.16
e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-48-x-34-x-5-1-2,L/W/H,48.0,34.0,5.0,50.0,36.0,7.0,12600.0,7.29,90.65
e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-60-x-34-x-5-1-2,L/W/H,60.0,34.0,5.0,62.0,36.0,7.0,15624.0,9.04,112.4
e-l-mustee-sons-durabase-shower-base-white-1-piece-square-single-threshold-32-x-32-x-5,L/W/H,32.0,32.0,5.0,34.0,34.0,7.0,8092.0,4.68,58.22
e-l-mustee-sons-durabase-shower-base-white-barrier-free-rectangle-30-x-60-x-4,L/W/H,30.0,60.0,4.0,32.0,62.0,6.0,11904.0,6.89,85.64
e-l-mustee-sons-durabase-shower-base-white-barrier-free-rectangle-30-x-60-x-4-must-360r,L/W/H,30.0,60.0,4.0,32.0,62.0,6.0,11904.0,6.89,85.64
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-36-x-42-x-5-1-2,L/W/H,36.0,42.0,5.0,38.0,44.0,7.0,11704.0,6.77,84.2
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-36-x-5-1-2,L/W/H,60.0,36.0,5.0,62.0,38.0,7.0,16492.0,9.54,118.65
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-square-36-x-36-x-5-1-2,L/W/H,36.0,36.0,5.0,38.0,38.0,7.0,10108.0,5.85,72.72
e-l-mustee-sons-durastone-mop-service-sink-colorfast-marbleized-white-single-bowl-sinks-molded-fiberglass-36-x-24-x-10,L/W/H,36.0,24.0,10.0,38.0,26.0,12.0,11856.0,6.86,85.29
e-l-mustee-sons-mop-service-sink-colorfast-marbleized-white-single-bowl-sinks-molded-fiberglass-24-x-24-x-10,L/W/H,24.0,24.0,10.0,26.0,26.0,12.0,8112.0,4.69,58.36
e-l-mustee-sons-shower-base-white-1-piece-standard-threshold-rectangle-60-x-30-x-5-1-2,L/W/H,60.0,30.0,5.0,62.0,32.0,7.0,13888.0,8.04,99.91
econoswitch-for-lights-and-motors-with-solar-timetable-white,Dimensions,1.0,2.0,1.0,3.0,4.0,3.0,36.0,0.02,0.26
electric-heat-thermostat-hiperf-premier-white-baseboard,Dimensions,4.5,2.88,2.62,6.5,4.88,4.62,146.5,0.08,1.05
electric-heat-thermostat-with-gold-baseboard,Dimensions,4.56,2.88,1.94,6.56,4.88,3.94,126.1,0.07,0.91
electromechanical-heating-relay-with-208-240v-transformer,Dimensions,3.0,2.0,1.0,5.0,4.0,3.0,60.0,0.03,0.43
electromechanical-relay-with-24-v-to-120-v-transformer,Dimensions,3.0,2.0,1.0,5.0,4.0,3.0,60.0,0.03,0.43
electromechanical-relay-without-transformer,Dimensions,3.0,2.69,1.69,5.0,4.69,3.69,86.5,0.05,0.62
electronic-oil-primary-with-15-seconds-lock-out,Dimensions,4.16,4.34,2.5,6.16,6.34,4.5,175.7,0.1,1.26
elkay-4-centerset-with-exposed-deck-faucet-integral-spout-4-wristblade-handles,L/W/H,12.0,5.62,6.0,14.0,7.62,8.0,853.4,0.49,6.14
elkay-crosstown-black-silicone-11-7-8-x-16-3-4-x-3-8-drying-rack,L/W/H,16.75,11.88,0.38,18.75,13.88,2.38,619.4,0.36,4.46
elkay-dayton-drop-in-sink-satin-single-bowl-sinks300-series-stainless-steel-15-x-15-x-5-3-16,L/W/H,15.0,15.0,5.0,17.0,17.0,7.0,2023.0,1.17,14.55
elkay-everyday-three-hole-deck-mount-kitchen-faucet-with-lever-handle-and-deck-plate-escutcheon-chrome,L/W/H,10.12,9.5,7.5,12.12,11.5,9.5,1324.1,0.77,9.53
elkay-lustertone-classic-stainless-steel-17-x-16-x-6-1-2-2-hole-single-bowl-drop-in-ada-sink,L/W/H,17.0,16.0,6.5,19.0,18.0,8.5,2907.0,1.68,20.91
elkay-lustertone-classic-stainless-steel-22-x-19-1-2-x-10-1-8-1-hole-single-bowl-drop-in-sink,L/W/H,22.0,19.5,10.12,24.0,21.5,12.12,6253.9,3.62,44.99
elkay-lustertone-classic-stainless-steel-25-x-17-x-6-1-2-4-hole-single-bowl-drop-in-classroom-ada-sink,L/W/H,25.0,17.0,6.5,27.0,19.0,8.5,4360.5,2.52,31.37
elkay-lustertone-classic-stainless-steel-25-x-22-x-8-1-8-3-hole-single-bowl-drop-in-sink,L/W/H,25.0,22.0,8.12,27.0,24.0,10.12,6557.8,3.79,47.18
elkay-lustertone-classic-stainless-steel-31-x-22-x-6-1-2-3-hole-single-bowl-drop-in-ada-sink,L/W/H,31.0,22.0,6.5,33.0,24.0,8.5,6732.0,3.9,48.43
elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,L/W/H,33.0,22.0,10.0,35.0,24.0,12.0,10080.0,5.83,72.52
elkay-lustertone-classic-stainless-steel-33-x-22-x-6-1-2-1-hole-equal-double-bowl-drop-in-ada-sink-with-perfect-drain,L/W/H,33.0,22.0,8.0,35.0,24.0,10.0,8400.0,4.86,60.43
elkay-quartz-classic-33-x-19-x-10-equal-double-bowl-undermount-sink-with-aqua-divide-white,L/W/H,33.0,19.0,10.0,35.0,21.0,12.0,8820.0,5.1,63.45
elkay-quartz-perfect-drain-3-1-2-removable-polymer-basket-strainer-and-rubber-stopper-ricotta,L/W/H,4.12,4.12,3.06,6.12,6.12,5.06,189.5,0.11,1.36
elkay-stainless-steel-classroom-bubbler,L/W/H,5.05,1.94,5.69,7.05,3.94,7.69,213.6,0.12,1.54
ez1-abs-floor-drain-5-round-nickel-bronze-strainer-with-3-x-4-bottom-outlet,L/W/H,8.27,8.27,5.56,10.27,10.27,7.56,797.4,0.46,5.74
ez1-pvc-drain-with-5-round-nickel-bronze-strainer-and-4-solvent-weld-outlet,L/W/H,8.27,8.27,6.25,10.27,10.27,8.25,870.2,0.5,6.26
ez1-pvc-floor-drain-5-round-nickel-bronze-strainer-with-2-x-3-bottom-outlet,L/W/H,5.69,5.69,6.0,7.69,7.69,8.0,473.1,0.27,3.4
ez1-pvc-floor-drain-5-round-nickel-bronze-strainer-with-3-x-4-bottom-outlet,L/W/H,8.27,8.27,5.56,10.27,10.27,7.56,797.4,0.46,5.74
ez1-pvc-floor-drain-5-square-nickel-bronze-strainer-with-2-x-3-bottom-outlet,L/W/H,8.21,8.21,6.38,10.21,10.21,8.38,873.6,0.51,6.28
ez1-pvc-floor-drain-5-square-nickel-bronze-strainer-with-3-x-4-bottom-outlet,L/W/H,8.21,8.21,6.38,10.21,10.21,8.38,873.6,0.51,6.28
ez1-pvc-floor-drain-5-square-nickel-bronze-strainer-with-4-bottom-outlet,L/W/H,8.21,8.21,6.68,10.21,10.21,8.68,904.8,0.52,6.51
ezc-pvc-floor-drain-cleanout-5-round-nickel-bronze-head-with-3-x-4-solvent-weld-outlet,L/W/H,5.59,5.59,6.11,7.59,7.59,8.11,467.2,0.27,3.36
ezc-pvc-floor-drain-cleanout-5-square-nickel-bronze-cover-with-4-solvent-weld-outlet,L/W/H,7.65,7.65,7.15,9.65,9.65,9.15,852.1,0.49,6.13
fan-and-limit-controller-11-5-in-insert,Dimensions,4.28,3.0,1.59,6.28,5.0,3.59,112.7,0.07,0.81
fan-and-limit-controller-5-in-insert,Dimensions,4.28,3.0,1.59,6.28,5.0,3.59,112.7,0.07,0.81
fan-and-limit-controller-8-in-insert,Dimensions,4.28,3.0,1.59,6.28,5.0,3.59,112.7,0.07,0.81
fast-fast-opening-smartvalve-intermittent-hot-surface-pilot,Dimensions,3.2,4.9,4.1,5.2,6.9,6.1,218.9,0.13,1.57
five-zone-valve-controller,Dimensions,7.0,11.0,2.0,9.0,13.0,4.0,468.0,0.27,3.37
florestone-mop-service-sink-single-bowl-sinks-24-x-24-x-10,L/W/H,24.0,24.0,10.0,26.0,26.0,12.0,8112.0,4.69,58.36
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-32-x-32-x-4-3-4,L/W/H,32.0,32.0,4.0,34.0,34.0,6.0,6936.0,4.01,49.9
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-34-x-34-x-5-3-4,L/W/H,34.0,34.0,5.0,36.0,36.0,7.0,9072.0,5.25,65.27
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-35-x-33-1-2-x-5-3-4,L/W/H,35.0,33.0,5.0,37.0,35.0,7.0,9065.0,5.25,65.22
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-54-x-34-x-5-3-4,L/W/H,54.0,34.0,5.0,56.0,36.0,7.0,14112.0,8.17,101.53
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-60-x-32-x-4-3-4,L/W/H,60.0,32.0,4.0,62.0,34.0,6.0,12648.0,7.32,90.99
florestone-shower-base-white-gel-coated-shower-bases-walls-1-piece-single-threshold-47-3-4-x-41-3-4-x-4-3-4,L/W/H,47.0,41.0,4.0,49.0,43.0,6.0,12642.0,7.32,90.95
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-36-x-36-x-5-3-4,L/W/H,36.0,36.0,5.0,38.0,38.0,7.0,10108.0,5.85,72.72
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-42-x-34-x-5-3-4,L/W/H,42.0,34.0,5.0,44.0,36.0,7.0,11088.0,6.42,79.77
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-42-x-42-x-5-3-4,L/W/H,42.0,42.0,5.0,44.0,44.0,7.0,13552.0,7.84,97.5
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-48-x-32-x-5-3-4,L/W/H,48.0,32.0,5.0,50.0,34.0,7.0,11900.0,6.89,85.61
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-48-x-34-x-5-3-4,L/W/H,48.0,34.0,5.0,50.0,36.0,7.0,12600.0,7.29,90.65
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-60-x-34-x-5-3-4,L/W/H,60.0,34.0,5.0,62.0,36.0,7.0,15624.0,9.04,112.4
florestone-wedge-lok-mop-service-sink-white-single-bowl-sinks-36-x-24-x-10-with-3-drain,L/W/H,36.0,24.0,10.0,38.0,26.0,12.0,11856.0,6.86,85.29
focuspro-5000-heating-and-cooling-thermostat-large-display,Dimensions,3.44,4.5,1.31,5.44,6.5,3.31,117.0,0.07,0.84
foot-mounted-120-208-240-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,Dimensions,1.69,3.5,1.75,3.69,5.5,3.75,76.1,0.04,0.55
foot-mounted-120-v-ac-transformer-with-9-in-leadwires,Dimensions,2.0,2.25,1.88,4.0,4.25,3.88,66.0,0.04,0.47
foot-mounted-120-vac-transformer,Dimensions,1.69,3.19,1.75,3.69,5.19,3.75,71.8,0.04,0.52
foot-mounted-120-vac-transformer-with-9-in-lead-wires,Dimensions,2.09,2.62,2.19,4.09,4.62,4.19,79.2,0.05,0.57
foot-mounted-120-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,Dimensions,1.69,3.5,1.75,3.69,5.5,3.75,76.1,0.04,0.55
foot-mounted-277-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,Dimensions,1.69,3.5,1.75,3.69,5.5,3.75,76.1,0.04,0.55
foot-mounted-actuator,Dimensions,3.5,2.62,3.31,5.5,4.62,5.31,134.9,0.08,0.97
foot-mounted-plate-mounted-clamp-mounted-or-panel-mounted-120-208-240-vac-transformer-with-9-in-leadwires-and-metal-end-bells,Dimensions,1.69,3.19,1.75,3.69,5.19,3.75,71.8,0.04,0.52
four-zone-switching-relay,Dimensions,8.0,11.0,2.0,10.0,13.0,4.0,520.0,0.3,3.74
four-zone-valve-controller,Dimensions,7.0,10.0,2.0,9.0,12.0,4.0,432.0,0.25,3.11
franke-cube-23-in-x-18-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11021,CSV anterior,22.75,17.75,9.0,24.75,19.75,11.0,5376.9,3.11,38.68
franke-cube-28-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11027,CSV anterior,28.5,17.75,9.0,30.5,19.75,11.0,6626.1,3.83,47.67
franke-cube-31-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-double-bowl-kitchen-sink-cux120,CSV anterior,31.5,17.75,9.0,33.5,19.75,11.0,7277.9,4.21,52.36
franke-cube-31-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11030,CSV anterior,31.5,17.75,9.0,33.5,19.75,11.0,7277.9,4.21,52.36
franke-culinary-center-35-in-x-21-in-19-gauge-stainless-steel-undermount-double-bowl-kitchen-sink-workstation-cux16021-w,CSV anterior,35.19,21.38,9.0,37.19,23.38,11.0,9564.5,5.54,68.81
franke-grande-32-75-in-x-18-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-gdx11031,CSV anterior,32.75,18.75,9.0,34.75,20.75,11.0,7931.7,4.59,57.06
franke-maris-topmount-25-in-x-22-in-granite-single-bowl-kitchen-sink-in-polar-white,CSV anterior,25.0,22.0,9.5,27.0,24.0,11.5,7452.0,4.31,53.61
franke-maris-topmount-25-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,CSV anterior,25.0,22.0,9.5,27.0,24.0,11.5,7452.0,4.31,53.61
franke-maris-topmount-33-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,CSV anterior,33.0,22.0,9.5,35.0,24.0,11.5,9660.0,5.59,69.5
franke-maris-undermount-31-in-x-17-81-in-granite-single-bowl-kitchen-sink-in-matte-black,CSV anterior,31.0,17.81,9.5,33.0,19.81,11.5,7517.9,4.35,54.09
franke-maris-undermount-33-in-x-19-31-in-granite-single-bowl-kitchen-sink-in-matte-black,CSV anterior,33.0,19.31,9.5,35.0,21.31,11.5,8577.3,4.96,61.71
franke-peak-32-0-in-x-18-8-in-matte-black-granite-undermount-single-bowl-kitchen-sink-pkg11031mbk,CSV anterior,32.0,18.75,9.5,34.0,20.75,11.5,8113.2,4.7,58.37
franke-peak-32-0-in-x-18-8-in-onyx-granite-undermount-double-bowl-kitchen-sink-pkg160ld-ony,CSV anterior,32.0,18.75,9.5,34.0,20.75,11.5,8113.2,4.7,58.37
franke-peak-32-0-in-x-18-8-in-onyx-granite-undermount-single-bowl-kitchen-sink-pkg11031ony,CSV anterior,32.0,18.75,9.5,34.0,20.75,11.5,8113.2,4.7,58.37
franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-double-bowl-kitchen-sink-pkg160ld-shg,CSV anterior,32.0,18.75,9.5,34.0,20.75,11.5,8113.2,4.7,58.37
franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-single-bowl-kitchen-sink-pkg11031shg,CSV anterior,32.0,18.75,9.5,34.0,20.75,11.5,8113.2,4.7,58.37
general-purpose-relay-with-dpdt-switching,Dimensions,1.88,2.16,2.38,3.88,4.16,4.38,70.7,0.04,0.51
general-purpose-relay-with-spdt-switching,Dimensions,1.88,2.16,2.38,3.88,4.16,4.38,70.7,0.04,0.51
general-purpose-transformer-with-foot-mounting,Dimensions,3.19,2.38,3.62,5.19,4.38,5.62,127.8,0.07,0.92
general-purpose-transformer-with-manual-reset,Dimensions,3.19,2.19,3.94,5.19,4.19,5.94,129.2,0.07,0.93
halsey-taylor-hydroboost-bottle-filling-station-surface-mount-non-filtered-non-refrigerated-stainless,L/W/H,17.94,8.19,25.44,19.94,10.19,27.44,5575.5,3.23,40.11
handle-repair-kit-for-exposed-manual-flush-valve-chrome,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
heat-only-thermostat,Dimensions,3.12,3.12,0.88,5.12,5.12,2.88,75.5,0.04,0.54
heat-only-thermostat-45-95-f,Dimensions,4.75,2.88,1.38,6.75,4.88,3.38,111.3,0.06,0.8
heat-only-thermostat-45-95-f-dual-scale-fahrenheit-and-celsius,Dimensions,4.75,2.88,1.38,6.75,4.88,3.38,111.3,0.06,0.8
heat-only-thermostat-50-90-f-for-vdc-and-millvoltage-systems,Dimensions,4.75,2.88,1.38,6.75,4.88,3.38,111.3,0.06,0.8
heat-only-thermostat-with-positive-off-switch-position,Dimensions,3.12,3.12,0.88,5.12,5.12,2.88,75.5,0.04,0.54
high-pressure-vacuum-breaker-backflow-preventer-assembly,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
humidipro-digital-humidity-control,Dimensions,3.44,4.5,1.31,5.44,6.5,3.31,117.0,0.07,0.84
in-wall-carrier-for-bi-level-on-wall-bottle-fillers-coolers-fountains,L/W/H,38.5,2.69,44.12,40.5,4.69,46.12,8760.3,5.07,63.02
inside-plastic-cover-for-exposed-manual-flush-valve,L/W/H,0.32,5.0,7.5,2.32,7.0,9.5,154.3,0.09,1.11
internal-transformer-switching-relay-with-low-voltage-contacts,Dimensions,5.25,4.25,2.31,7.25,6.25,4.31,195.3,0.11,1.41
k7-medium-single-handle-semi-pro-dual-spray-kitchen-faucet-1-75-gpm-in-grohe-supersteel,L/W/H,11.0,6.0,21.0,13.0,8.0,23.0,2392.0,1.38,17.21
l1-wifi-water-leak-and-freeze-detector-and-sensor-cable,Dimensions,3.9,2.0,1.1,5.9,4.0,3.1,73.2,0.04,0.53
l5-wifi-replacement-actuator,Dimensions,5.98,5.0,2.0,7.98,7.0,4.0,223.4,0.13,1.61
lever-adaptor-in-grohe-chrome,L/W/H,2.0,2.0,1.0,4.0,4.0,3.0,48.0,0.03,0.35
limit-control-fixed-200-f-range-3-in-insert-manual-reset,Dimensions,3.75,2.31,2.0,5.75,4.31,4.0,99.1,0.06,0.71
liven-dual-mount-laundry-sink-coal-black,CSV anterior,25.0,16.93,12.37,27.0,18.93,14.37,7344.7,4.25,52.84
liven-dual-mount-laundry-sink-white,L/W/H,25.0,22.0,12.37,27.0,24.0,14.37,9311.8,5.39,66.99
logan-square-1-28gpf-tank-12-rough-in-white,L/W/H,19.0,9.0,17.0,21.0,11.0,19.0,4389.0,2.54,31.58
logan-square-s-rim-lav-23-63x18-13-4cc-white,L/W/H,24.37,18.0,8.27,26.37,20.0,10.27,5416.4,3.13,38.97
logan-square-s-rim-lav-23-63x18-13-8cc-white,L/W/H,24.4,18.0,8.66,26.4,20.0,10.66,5628.5,3.26,40.49
logan-square-standard-undercounter-lav-20-75x17-38-white,L/W/H,22.62,17.0,9.5,24.62,19.0,11.5,5379.5,3.11,38.7
luxoval-s-rim-lav-20x17-4cc-white,L/W/H,20.67,17.0,10.63,22.67,19.0,12.63,5440.1,3.15,39.14
luxoval-undercounter-lav-19-25x15-75-white,L/W/H,20.67,15.0,9.84,22.67,17.0,11.84,4563.0,2.64,32.83
maxwell-1-28gpf-tank-10-rough-in-white,L/W/H,17.83,7.0,15.55,19.83,9.0,17.55,3132.1,1.81,22.53
maxwell-1-28gpf-tank-12-rough-in-for-floor-mount-back-outlet-bowl-g0021975-white,L/W/H,18.07,7.0,15.39,20.07,9.0,17.39,3141.2,1.82,22.6
maxwell-1-28gpf-tank-12-rough-in-for-wall-hung-back-outlet-bowl-g0021970-white,L/W/H,18.01,7.0,15.5,20.01,9.0,17.5,3151.6,1.82,22.67
maxwell-1-28gpf-tank-12-rough-in-right-hand-lever-white,L/W/H,18.19,8.0,15.59,20.19,10.0,17.59,3551.4,2.06,25.55
maxwell-1-28gpf-tank-12-rough-in-white,L/W/H,18.19,28.0,14.96,20.19,30.0,16.96,10272.7,5.94,73.9
maxwell-1-28gpf-tank-14-rough-in-white,L/W/H,18.11,11.0,14.96,20.11,13.0,16.96,4433.9,2.57,31.9
maxwell-1-6gpf-tank-10-ri-for-regular-bowl-or-12-ri-for-compact-elongated-bowl-white,L/W/H,17.87,7.0,14.96,19.87,9.0,16.96,3033.0,1.76,21.82
maxwell-s-rim-lav-20x17oval-1-hole-in-trapezoid-carton-white,L/W/H,18.12,17.0,9.0,20.12,19.0,11.0,4205.1,2.43,30.25
maxwell-s-rim-lav-20x17oval-4cc-in-trapezoid-carton-white,L/W/H,18.12,17.0,9.0,20.12,19.0,11.0,4205.1,2.43,30.25
maxwell-s-rim-lav-20x17oval-8cc-in-trapezoid-carton-white,L/W/H,18.12,17.0,9.0,20.12,19.0,11.0,4205.1,2.43,30.25
maxwell-se-1-6gpf-tank-10-rough-in-white,L/W/H,18.11,8.0,15.35,20.11,10.0,17.35,3489.1,2.02,25.1
maxwell-se-1-6gpf-tank-12-rough-in-white,L/W/H,17.72,8.0,15.75,19.72,10.0,17.75,3500.3,2.03,25.18
metroflush-exposed-manual-piston-flush-valve-w-high-efficiency-1-28-gpf-sweat-solder-kit-and-cast-wall-flange,L/W/H,2.25,4.75,11.5,4.25,6.75,13.5,387.3,0.22,2.79
moen-m-bition-commercial-4-in-centerset-2-handle-1-5-gpm-bathroom-faucet-with-lever-handles-in-chrome,L/W/H,8.1,7.0,5.4,10.1,9.0,7.4,672.7,0.39,4.84
monticello-ii-wall-hung-lav-20x18-4cc-white,L/W/H,21.25,18.0,19.25,23.25,20.0,21.25,9881.2,5.72,71.09
multi-function-aquastat-controller-high-and-low-limit-spst-high-circulator,Dimensions,3.88,4.12,2.75,5.88,6.12,4.75,170.9,0.1,1.23
multi-mount-40va-transformer,Dimensions,3.0,2.0,3.06,5.0,4.0,5.06,101.2,0.06,0.73
multisystem-electronic-oil-primary,Dimensions,4.16,4.34,2.5,6.16,6.34,4.5,175.7,0.1,1.26
multisystem-slow-opening-intermittent-and-direct-ignition-gas-valve,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
multisystem-switching-relay-with-internal-transformer,Dimensions,6.25,4.44,3.5,8.25,6.44,5.5,292.2,0.17,2.1
navien-high-efficiency-condensing-combi-boiler-max-htg-input-110-000-btu-h-max-dhw-input-199-900-btu-h-indoor-wall-hung-residential-ncb-240-110h,Dimensions,17.3,29.3,12.8,19.3,31.3,14.8,8940.5,5.17,64.32
navien-high-efficiency-condensing-combi-boiler-max-htg-input-110-000-btu-h-max-dhw-input-199-900-btu-h-indoor-wall-hung-residential-ncb-240-110h-navi-ncb-240-110h-ral,Dimensions,17.3,29.3,12.8,19.3,31.3,14.8,8940.5,5.17,64.32
