handle,sku,title,price,peso,vol,peso_dim,lam,perfil,tag
resideo-32006026-001-u-replacement-carbon-odor-filter-for-f500-hepa-air-cleaner-4-pack,HONE-32006026-001/U,"Resideo 32006026-001/U Replacement Carbon Odor Filter for F500 HEPA Air Cleaner, 4-Pack",25.30,0.1,,0.00,0.0040,General,free-ship-eligible
resideo-32006027-001-u-replacement-prefilter-for-f500-hepa-air-cleaner-2-in,HONE-32006027-001/U,"Resideo 32006027-001/U Replacement Prefilter for F500 HEPA Air Cleaner, 2 in",76.81,0.5,465.612700,3.35,0.0436,THS Standard - no free shipping,
resideo-32006028-001-u-replacement-hepa-filter-for-f500-hepa-air-cleaner,HONE-32006028-001/U,Resideo 32006028-001/U Replacement HEPA Filter for F500 HEPA Air Cleaner,298.31,1.9,518.825580,3.73,0.0125,General,free-ship-eligible
resideo-4074eth-u-airflow-switch-assembly-with-pin-connections,HONE-4074ETH/U,Resideo 4074ETH/U Airflow Switch Assembly with Pin Connections,87.07,0.3,,0.00,0.0034,General,free-ship-eligible
resideo-4074ezb-u-airflow-switch-bag-assembly-for-f50f-and-f300-electronic-air-cleaners,HONE-4074EZB/U,Resideo 4074EZB/U Airflow Switch Bag Assembly for F50F and F300 Electronic Air Cleaners,94.99,0.3,,0.00,0.0032,General,free-ship-eligible
resideo-50000293-002-u-replacement-post-filter-for-f300-and-f50f-electronic-air-cleaners-16-x-25,HONE-50000293-002/U,"Resideo 50000293-002/U Replacement Post Filter for F300 and F50F Electronic Air Cleaners, 16 x 25",35.54,0.3,67.462120,0.49,0.0137,General,free-ship-eligible
resideo-50063805-003-u-replacement-filter-for-vnt5070,HONE-50063805-003/U,Resideo 50063805-003/U Replacement Filter for VNT5070,45.39,0.4,,0.00,0.0088,General,free-ship-eligible
resideo-fc100a1045-u-fc100-replacement-media-filter-21-5-in-x-27-5-in-merv-11,HONE-FC100A1045/U,"Resideo FC100A1045/U FC100 Replacement Media Filter, 21.5 in x 27.5 in, MERV 11",40.23,1.7,2534.002572,18.23,0.4532,THS Standard - no free shipping,
resideo-fc100a1052-u-fc100-replacement-media-filter-20-in-x-12-5-in-merv-11,HONE-FC100A1052/U,"Resideo FC100A1052/U FC100 Replacement Media Filter, 20 in x 12.5 in, MERV 11",40.23,0.9,1086.474768,7.82,0.1943,THS Standard - no free shipping,
resideo-fc200e1003-u-fc200-replacement-media-filter-16-in-x-20-in-merv-13,HONE-FC200E1003/U,"Resideo FC200E1003/U FC200 Replacement Media Filter, 16 in x 20 in, MERV 13",62.90,1.4,1378.889700,9.92,0.1577,THS Standard - no free shipping,
resideo-fc200e1011-u-fc200-replacement-media-filter-20-in-x-20-in-merv-13,HONE-FC200E1011/U,"Resideo FC200E1011/U FC200 Replacement Media Filter, 20 in x 20 in, MERV 13",62.90,1.8,1724.909700,12.41,0.1973,THS Standard - no free shipping,
resideo-fc2200a1009-u-fc2200-replacement-media-filter-for-space-guard-2200-26-1-2-in-x-23-3-4-in-merv-10,HONE-FC2200A1009/U,"Resideo FC2200A1009/U FC2200 Replacement Media Filter for Space-Guard 2200, 26-1/2 in x 23-3/4 in, MERV 10",40.79,2.0,2946.37500,21.20,0.5197,THS Standard - no free shipping,
resideo-fc313r1414-u-return-grille-media-filter-14-in-x-14-in-x-3-in-merv-13,HONE-FC313R1414/U,"Resideo FC313R1414/U Return Grille Media Filter, 14 in x 14 in x 3 in, MERV 13",73.36,2.0,591.765625,4.26,0.0580,THS Standard - no free shipping,
resideo-fc313r1424-u-return-grille-media-filter-14-in-x-24-in-x-3-in-merv-13,HONE-FC313R1424/U,"Resideo FC313R1424/U Return Grille Media Filter, 14 in x 24 in x 3 in, MERV 13",73.36,2.0,1022.140625,7.35,0.1002,THS Standard - no free shipping,
resideo-fc313r1818-u-return-grille-media-filter-18-in-x-18-in-x-3-in-merv-13,HONE-FC313R1818/U,"Resideo FC313R1818/U Return Grille Media Filter, 18 in x 18 in x 3 in, MERV 13",81.49,2.0,986.145625,7.09,0.0871,THS Standard - no free shipping,
resideo-fc313r2020-u-return-grille-media-filter-20-in-x-20-in-x-3-in-merv-13,HONE-FC313R2020/U,"Resideo FC313R2020/U Return Grille Media Filter, 20 in x 20 in x 3 in, MERV 13",89.69,2.0,1220.895625,8.78,0.0979,THS Standard - no free shipping,
resideo-fc313r2024-u-return-grille-media-filter-20-in-x-24-in-x-3-in-merv-13,HONE-FC313R2024/U,"Resideo FC313R2024/U Return Grille Media Filter, 20 in x 24 in x 3 in, MERV 13",89.69,2.0,1468.165625,10.56,0.1178,THS Standard - no free shipping,
resideo-fc313r2025-u-return-grille-media-filter-20-in-x-25-in-x-3-in-merv-13,HONE-FC313R2025/U,"Resideo FC313R2025/U Return Grille Media Filter, 20 in x 25 in x 3 in, MERV 13",89.69,2.0,1529.983125,11.01,0.1227,THS Standard - no free shipping,
resideo-fc313r2030-u-return-grille-media-filter-20-in-x-30-in-x-3-in-merv-13,HONE-FC313R2030/U,"Resideo FC313R2030/U Return Grille Media Filter, 20 in x 30 in x 3 in, MERV 13",89.69,2.0,1839.070625,13.23,0.1475,THS Standard - no free shipping,
resideo-fc313r2036-u-return-grille-media-filter-20-in-x-36-in-x-3-in-merv-13,HONE-FC313R2036/U,"Resideo FC313R2036/U Return Grille Media Filter, 20 in x 36 in x 3 in, MERV 13",89.69,2.4,2209.975625,15.90,0.1773,THS Standard - no free shipping,
resideo-fc37a1049-u-electronic-air-cleaner-replacement-cell-9-8-in-x-20-in-x-4-4-in,HONE-FC37A1049/U,"Resideo FC37A1049/U Electronic Air Cleaner Replacement Cell, 9.8 in x 20 in x 4.4 in",360.33,8.1,888.63600,6.39,0.0225,General,free-ship-eligible
resideo-fc37a1064-u-electronic-air-cleaner-replacement-cell-12-4-in-x-20-in-x-4-4-in,HONE-FC37A1064/U,"Resideo FC37A1064/U Electronic Air Cleaner Replacement Cell, 12.4 in x 20 in x 4.4 in",402.70,9.4,1117.5000,8.04,0.0233,General,free-ship-eligible
resideo-fc37a1114-u-electronic-air-cleaner-replacement-cell-9-8-in-x-16-in-x-4-4-in,HONE-FC37A1114/U,"Resideo FC37A1114/U Electronic Air Cleaner Replacement Cell, 9.8 in x 16 in x 4.4 in",360.33,6.8,710.90880,5.11,0.0189,General,free-ship-eligible
resideo-fc37a1130-u-electronic-air-cleaner-replacement-cell-12-4-in-x-16-in-x-4-4-in,HONE-FC37A1130/U,"Resideo FC37A1130/U Electronic Air Cleaner Replacement Cell, 12.4 in x 16 in x 4.4 in",360.46,7.8,894.0000,6.43,0.0216,General,free-ship-eligible
resideo-fc40r1003-u-return-grille-media-filter-20-in-x-20-in-x-4-in-merv-10,HONE-FC40R1003/U,"Resideo FC40R1003/U Return Grille Media Filter, 20 in x 20 in x 4 in, MERV 10",61.67,1.1,1170.18750,8.42,0.1365,THS Standard - no free shipping,
resideo-fc40r1011-u-return-grille-media-filter-20-in-x-25-in-x-4-in-merv-10,HONE-FC40R1011/U,"Resideo FC40R1011/U Return Grille Media Filter, 20 in x 25 in x 4 in, MERV 10",61.67,1.4,1466.43750,10.55,0.1711,THS Standard - no free shipping,
resideo-fc40r1037-u-return-grille-media-filter-12-in-x-24-in-x-4-in-merv-10,HONE-FC40R1037/U,"Resideo FC40R1037/U Return Grille Media Filter, 12 in x 24 in x 4 in, MERV 10",49.96,0.8,837.18750,6.02,0.1206,THS Standard - no free shipping,
resideo-fc40r1045-u-return-grille-media-filter-14-in-x-25-in-x-4-in-merv-10,HONE-FC40R1045/U,"Resideo FC40R1045/U Return Grille Media Filter, 14 in x 25 in x 4 in, MERV 10",50.46,1.0,1020.93750,7.34,0.1456,THS Standard - no free shipping,
resideo-fc40r1052-u-return-grille-media-filter-16-in-x-20-in-x-4-in-merv-10,HONE-FC40R1052/U,"Resideo FC40R1052/U Return Grille Media Filter, 16 in x 20 in x 4 in, MERV 10",56.04,0.9,933.18750,6.71,0.1198,THS Standard - no free shipping,
resideo-fc40r1060-u-return-grille-media-filter-16-in-x-25-in-x-4-in-merv-10,HONE-FC40R1060/U,"Resideo FC40R1060/U Return Grille Media Filter, 16 in x 25 in x 4 in, MERV 10",56.04,1.1,1169.43750,8.41,0.1501,THS Standard - no free shipping,
resideo-fc40r1078-u-return-grille-media-filter-24-in-x-24-in-x-4-in-merv-10,HONE-FC40R1078/U,"Resideo FC40R1078/U Return Grille Media Filter, 24 in x 24 in x 4 in, MERV 10",61.67,1.4,1692.18750,12.17,0.1974,THS Standard - no free shipping,
resideo-fc40r1094-u-return-grille-media-filter-12-in-x-12-in-x-4-in-merv-10,HONE-FC40R1094/U,"Resideo FC40R1094/U Return Grille Media Filter, 12 in x 12 in x 4 in, MERV 10",50.46,0.5,414.18750,2.98,0.0591,THS Standard - no free shipping,
resideo-fc40r1102-u-return-grille-media-filter-14-in-x-14-in-x-4-in-merv-10,HONE-FC40R1102/U,"Resideo FC40R1102/U Return Grille Media Filter, 14 in x 14 in x 4 in, MERV 10",50.46,0.5,567.18750,4.08,0.0809,THS Standard - no free shipping,
resideo-fc40r1110-u-return-grille-media-filter-14-in-x-20-in-x-4-in-merv-10,HONE-FC40R1110/U,"Resideo FC40R1110/U Return Grille Media Filter, 14 in x 20 in x 4 in, MERV 10",50.46,0.8,814.68750,5.86,0.1162,THS Standard - no free shipping,
resideo-fc40r1128-u-return-grille-media-filter-14-in-x-24-in-x-4-in-merv-10,HONE-FC40R1128/U,"Resideo FC40R1128/U Return Grille Media Filter, 14 in x 24 in x 4 in, MERV 10",50.46,0.9,979.68750,7.05,0.1397,THS Standard - no free shipping,
resideo-fc40r1136-u-return-grille-media-filter-18-in-x-24-in-x-4-in-merv-10,HONE-FC40R1136/U,"Resideo FC40R1136/U Return Grille Media Filter, 18 in x 24 in x 4 in, MERV 10",56.04,1.2,1264.68750,9.10,0.1624,THS Standard - no free shipping,
resideo-fc40r1144-u-return-grille-media-filter-20-in-x-24-in-x-4-in-merv-10,HONE-FC40R1144/U,"Resideo FC40R1144/U Return Grille Media Filter, 20 in x 24 in x 4 in, MERV 10",61.67,1.3,1407.18750,10.12,0.1642,THS Standard - no free shipping,
resideo-fc40r1169-u-return-grille-media-filter-14-in-x-30-in-x-4-in-merv-10,HONE-FC40R1169/U,"Resideo FC40R1169/U Return Grille Media Filter, 14 in x 30 in x 4 in, MERV 10",50.46,1.2,1227.18750,8.83,0.1750,THS Standard - no free shipping,
resideo-fc40r1177-u-return-grille-media-filter-24-in-x-30-in-x-4-in-merv-10,HONE-FC40R1177/U,"Resideo FC40R1177/U Return Grille Media Filter, 24 in x 30 in x 4 in, MERV 10",61.67,1.8,2119.68750,15.25,0.2473,THS Standard - no free shipping,
resideo-fc40r1185-u-return-grille-media-filter-18-in-x-18-in-x-4-in-merv-10,HONE-FC40R1185/U,"Resideo FC40R1185/U Return Grille Media Filter, 18 in x 18 in x 4 in, MERV 10",56.04,1.2,945.18750,6.80,0.1213,THS Standard - no free shipping,
resideo-fc40r1830-u-return-grille-media-filter-18-in-x-30-in-x-4-in-merv-10,HONE-FC40R1830/U,"Resideo FC40R1830/U Return Grille Media Filter, 18 in x 30 in x 4 in, MERV 10",56.04,1.4,1584.18750,11.40,0.2034,THS Standard - no free shipping,
resideo-fr8000a1620-u-trueclean-replacement-filter-16-in-x-20-in-merv-15,HONE-FR8000A1620/U,"Resideo FR8000A1620/U TrueCLEAN Replacement Filter, 16 in x 20 in, MERV 15",183.50,3.7,1330.26520,9.57,0.0522,THS Standard - no free shipping,
resideo-fr8000a2020-u-trueclean-replacement-filter-20-in-x-20-in-merv-15,HONE-FR8000A2020/U,"Resideo FR8000A2020/U TrueCLEAN Replacement Filter, 20 in x 20 in, MERV 15",183.50,4.4,1598.15520,11.50,0.0627,THS Standard - no free shipping,
resideo-fr8000a2520-u-trueclean-replacement-filter-25-in-x-20-in-merv-15,HONE-FR8000A2520/U,"Resideo FR8000A2520/U TrueCLEAN Replacement Filter, 25 in x 20 in, MERV 15",183.50,4.8,1866.04520,13.42,0.0732,THS Standard - no free shipping,
resideo-fr8000f1625-u-trueclean-replacement-filter-16-in-x-25-in-merv-15,HONE-FR8000F1625/U,"Resideo FR8000F1625/U TrueCLEAN Replacement Filter, 16 in x 25 in, MERV 15",183.50,4.2,1494.07860,10.75,0.0586,THS Standard - no free shipping,
resideo-fr8000f2025-u-trueclean-replacement-filter-20-in-x-25-in-merv-15,HONE-FR8000F2025/U,"Resideo FR8000F2025/U TrueCLEAN Replacement Filter, 20 in x 25 in, MERV 15",183.50,4.5,1799.34860,12.94,0.0705,THS Standard - no free shipping,
resideo-popup1620-u-popup-replacement-media-filter-16-in-x-20-in,HONE-POPUP1620/U,"Resideo POPUP1620/U POPUP Replacement Media Filter, 16 in x 20 in",52.29,2.6,1661.821512,11.96,0.2286,THS Standard - no free shipping,
resideo-popup1625-u-popup-replacement-media-filter-16-in-x-25-in,HONE-POPUP1625/U,"Resideo POPUP1625/U POPUP Replacement Media Filter, 16 in x 25 in",52.29,3.0,2086.622512,15.01,0.2871,THS Standard - no free shipping,
resideo-popup2020-u-popup-replacement-media-filter-20-in-x-20-in,HONE-POPUP2020/U,"Resideo POPUP2020/U POPUP Replacement Media Filter, 20 in x 20 in",52.29,3.0,2078.840712,14.96,0.2860,THS Standard - no free shipping,
resideo-popup2025-u-popup-replacement-media-filter-20-in-x-25-in,HONE-POPUP2025/U,"Resideo POPUP2025/U POPUP Replacement Media Filter, 20 in x 25 in",52.29,3.4,2610.241712,18.78,0.3591,THS Standard - no free shipping,
resideo-ps1201a00-u-electronic-air-cleaner-power-supply-120v-bare-board,HONE-PS1201A00/U,"Resideo PS1201A00/U Electronic Air Cleaner Power Supply, 120V, Bare Board",246.50,1.2,,0.00,0.0049,General,free-ship-eligible
resideo-ps1201b20-u-electronic-air-cleaner-power-supply-120v-board-with-20-in-cover-assembly,HONE-PS1201B20/U,"Resideo PS1201B20/U Electronic Air Cleaner Power Supply, 120V, Board with 20 in Cover Assembly",506.83,6.7,,0.00,0.0132,General,free-ship-eligible
resideo-ps1201b25-u-electronic-air-cleaner-power-supply-120v-board-with-25-in-cover-assembly,HONE-PS1201B25/U,"Resideo PS1201B25/U Electronic Air Cleaner Power Supply, 120V, Board with 25 in Cover Assembly",506.83,8.1,,0.00,0.0160,General,free-ship-eligible
resideo-ps1201c00-u-electronic-air-cleaner-power-supply-120v-board-with-metal-chassis,HONE-PS1201C00/U,"Resideo PS1201C00/U Electronic Air Cleaner Power Supply, 120V, Board with Metal Chassis",258.70,1.3,,0.00,0.0050,General,free-ship-eligible
resideo-ps1201c01-u-electronic-air-cleaner-power-supply-120v-board-with-metal-chassis-and-lead-wires,HONE-PS1201C01/U,"Resideo PS1201C01/U Electronic Air Cleaner Power Supply, 120V, Board with Metal Chassis and Lead Wires",258.70,1.4,,0.00,0.0054,General,free-ship-eligible
resideo-ps1201c02-u-electronic-air-cleaner-power-supply-120v-metal-chassis-lead-wires-receptacles-and-plugs,HONE-PS1201C02/U,"Resideo PS1201C02/U Electronic Air Cleaner Power Supply, 120V, Metal Chassis, Lead Wires, Receptacles and Plugs",258.54,1.6,,0.00,0.0062,General,free-ship-eligible
resideo-ps1202a00-u-electronic-air-cleaner-power-supply-120v-bare-board-with-led-driver-board,HONE-PS1202A00/U,"Resideo PS1202A00/U Electronic Air Cleaner Power Supply, 120V, Bare Board with LED Driver Board",246.50,1.2,,0.00,0.0049,General,free-ship-eligible
resideo-ps1202b20-u-electronic-air-cleaner-power-supply-120v-20-in-cover-assembly-and-led-driver-board,HONE-PS1202B20/U,"Resideo PS1202B20/U Electronic Air Cleaner Power Supply, 120V, 20 in Cover Assembly and LED Driver Board",506.83,6.7,,0.00,0.0132,General,free-ship-eligible
resideo-ps1202b25-u-electronic-air-cleaner-power-supply-120v-25-in-cover-assembly-and-led-driver-board,HONE-PS1202B25/U,"Resideo PS1202B25/U Electronic Air Cleaner Power Supply, 120V, 25 in Cover Assembly and LED Driver Board",506.83,8.1,,0.00,0.0160,General,free-ship-eligible
resideo-ps1202c00-u-electronic-air-cleaner-power-supply-120v-board-with-metal-chassis-and-led-driver-board,HONE-PS1202C00/U,"Resideo PS1202C00/U Electronic Air Cleaner Power Supply, 120V, Board with Metal Chassis and LED Driver Board",258.70,1.5,,0.00,0.0058,General,free-ship-eligible
resideo-trn1427t1-u-replacement-filter-for-perfect-fit-14-5-in-x-27-in-x-5-in-merv-10,HONE-TRN1427T1/U,"Resideo TRN1427T1/U Replacement Filter for Perfect Fit, 14.5 in x 27 in x 5 in, MERV 10",56.27,1.6,1835.834,13.21,0.2347,THS Standard - no free shipping,
resideo-trn1727t1-u-replacement-filter-for-perfect-fit-17-5-in-x-27-in-x-5-in,HONE-TRN1727T1/U,"Resideo TRN1727T1/U Replacement Filter for Perfect Fit, 17.5 in x 27 in x 5 in",57.49,1.9,2220.974,15.98,0.2779,THS Standard - no free shipping,
resideo-trn2121t1-u-replacement-filter-for-perfect-fit-21-5-in-x-21-in-x-5-in,HONE-TRN2121T1/U,"Resideo TRN2121T1/U Replacement Filter for Perfect Fit, 21.5 in x 21 in x 5 in",57.17,1.8,2087.988,15.02,0.2628,THS Standard - no free shipping,
resideo-trn2127t1-u-replacement-filter-for-perfect-fit-21-in-x-27-in-x-5-in,HONE-TRN2127T1/U,"Resideo TRN2127T1/U Replacement Filter for Perfect Fit, 21 in x 27 in x 5 in",64.21,2.6,2670.304,19.21,0.2992,THS Standard - no free shipping,
resideo-trn2321t1-u-replacement-filter-for-perfect-fit-23-5-in-x-21-in-x-5-in,HONE-TRN2321T1/U,"Resideo TRN2321T1/U Replacement Filter for Perfect Fit, 23.5 in x 21 in x 5 in",60.41,2.0,2294.817,16.51,0.2733,THS Standard - no free shipping,
resideo-trn2427t1-u-replacement-filter-for-perfect-fit-24-in-x-27-in-x-5-in,HONE-TRN2427T1/U,"Resideo TRN2427T1/U Replacement Filter for Perfect Fit, 24 in x 27 in x 5 in",68.93,2.5,3119.634,22.44,0.3256,THS Standard - no free shipping,
resideo-trn2621t1-u-replacement-filter-for-perfect-fit-26-in-x-21-in-x-5-in,HONE-TRN2621T1/U,"Resideo TRN2621T1/U Replacement Filter for Perfect Fit, 26 in x 21 in x 5 in",62.24,2.2,2541.042,18.28,0.2937,THS Standard - no free shipping,
resideo-uv2400u2000-u-airbright-2-uv-treatment-kit,HONE-UV2400U2000/U,Resideo UV2400U2000/U AirBRIGHT 2 UV Treatment Kit,218.97,3.1,366.704,2.64,0.0142,General,free-ship-eligible
resideo-uv2400u6000-u-airbright-6-uv-air-purification-kit,HONE-UV2400U6000/U,Resideo UV2400U6000/U AirBRIGHT 6 UV Air Purification Kit,555.29,8.0,366.704,2.64,0.0144,General,free-ship-eligible
resideo-uv2400xcrb6-u-airbright-6-replacement-carbon-cartridge,HONE-UV2400XCRB6/U,Resideo UV2400XCRB6/U AirBRIGHT 6 Replacement Carbon Cartridge,287.93,2.3,,0.00,0.0080,General,free-ship-eligible
resideo-uv2400xlam2-u-airbright-2-replacement-lamp,HONE-UV2400XLAM2/U,Resideo UV2400XLAM2/U AirBRIGHT 2 Replacement Lamp,96.54,0.3,,0.00,0.0031,General,free-ship-eligible
resideo-uv2400xlam6-u-airbright-6-replacement-lamp,HONE-UV2400XLAM6/U,Resideo UV2400XLAM6/U AirBRIGHT 6 Replacement Lamp,96.54,0.3,,0.00,0.0031,General,free-ship-eligible
resideo-at140b1016-u-40-va-control-transformer-120v-60hz-foot-mount,HONE-AT140B1016/U,"Resideo AT140B1016/U 40 VA Control Transformer, 120V 60Hz, Foot Mount",19.86,1.5,,0.00,0.0755,THS Standard - no free shipping,
resideo-vr4304m4519-u-line-voltage-intermittent-pilot-gas-valve-3-4-in-x-3-4-in-standard-opening,HONE-VR4304M4519/U,"Resideo VR4304M4519/U Line Voltage Intermittent Pilot Gas Valve, 3/4 in x 3/4 in, Standard Opening",369.51,2.1,89.337052,0.64,0.0057,General,free-ship-eligible
resideo-vr8200a2124-u-standing-pilot-gas-valve-1-2-in-x-1-2-in-standard-opening-3-5-in-wc,HONE-VR8200A2124/U,"Resideo VR8200A2124/U Standing Pilot Gas Valve, 1/2 in x 1/2 in, Standard Opening, 3.5 in WC",167.11,2.3,69.662775,0.50,0.0138,General,free-ship-eligible
resideo-vr8200a2744-u-standing-pilot-gas-valve-1-2-in-x-1-2-in-standard-opening-3-5-in-wc,HONE-VR8200A2744/U,"Resideo VR8200A2744/U Standing Pilot Gas Valve, 1/2 in x 1/2 in, Standard Opening, 3.5 in WC",162.61,2.4,,0.00,0.0148,General,free-ship-eligible
resideo-vr8200c1041-u-standing-pilot-gas-valve-1-2-in-x-1-2-in-step-opening,HONE-VR8200C1041/U,"Resideo VR8200C1041/U Standing Pilot Gas Valve, 1/2 in x 1/2 in, Step Opening",325.36,2.0,,0.00,0.0061,General,free-ship-eligible
resideo-vr8204c1019-u-intermittent-pilot-gas-valve-1-2-in-x-1-2-in-step-opening,HONE-VR8204C1019/U,"Resideo VR8204C1019/U Intermittent Pilot Gas Valve, 1/2 in x 1/2 in, Step Opening",245.89,2.1,,0.00,0.0085,General,free-ship-eligible
resideo-vr8204m1091-u-intermittent-pilot-gas-valve-1-2-in-x-1-2-in-standard-opening-3-5-in-wc,HONE-VR8204M1091/U,"Resideo VR8204M1091/U Intermittent Pilot Gas Valve, 1/2 in x 1/2 in, Standard Opening, 3.5 in WC",221.83,2.1,,0.00,0.0095,General,free-ship-eligible
resideo-vr8205c1024-u-direct-ignition-gas-valve-1-2-in-x-1-2-in-step-opening,HONE-VR8205C1024/U,"Resideo VR8205C1024/U Direct Ignition Gas Valve, 1/2 in x 1/2 in, Step Opening",246.27,2.1,,0.00,0.0085,General,free-ship-eligible
resideo-vr8205h1003-u-direct-ignition-gas-valve-slow-opening-1-2-in-x-1-2-in-3-5-in-wc,HONE-VR8205H1003/U,"Resideo VR8205H1003/U Direct Ignition Gas Valve, Slow Opening, 1/2 in x 1/2 in, 3.5 in WC",210.69,1.8,,0.00,0.0085,General,free-ship-eligible
resideo-vr8205m2823t-u-direct-ignition-single-stage-gas-valve-standard-opening-1-2-in-x-1-2-in-3-5-in-wc,HONE-VR8205M2823T/U,"Resideo VR8205M2823T/U Direct Ignition Single Stage Gas Valve, Standard Opening, 1/2 in x 1/2 in, 3.5 in WC",169.50,0.4,,0.00,0.0024,General,free-ship-eligible
resideo-vr8205n8829t-u-direct-ignition-two-stage-gas-valve-slow-opening-1-2-in-x-1-2-in-1-6-3-5-in-wc,HONE-VR8205N8829T/U,"Resideo VR8205N8829T/U Direct Ignition Two Stage Gas Valve, Slow Opening, 1/2 in x 1/2 in, 1.6/3.5 in WC",211.59,2.3,,0.00,0.0109,General,free-ship-eligible
resideo-vr8205q2555-u-direct-ignition-two-stage-gas-valve-standard-opening-1-2-in-x-1-2-in-1-7-3-5-in-wc,HONE-VR8205Q2555/U,"Resideo VR8205Q2555/U Direct Ignition Two Stage Gas Valve, Standard Opening, 1/2 in x 1/2 in, 1.7/3.5 in WC",247.71,2.4,,0.00,0.0097,General,free-ship-eligible
resideo-vr8205q2746t-u-direct-ignition-two-stage-gas-valve-standard-opening-1-2-in-x-1-2-in-1-7-3-5-in-wc,HONE-VR8205Q2746T/U,"Resideo VR8205Q2746T/U Direct Ignition Two Stage Gas Valve, Standard Opening, 1/2 in x 1/2 in, 1.7/3.5 in WC",211.59,0.3,,0.00,0.0014,General,free-ship-eligible
resideo-vr8215s1230t-u-direct-ignition-single-stage-gas-valve-standard-opening-1-2-in-x-1-2-in-3-5-in-wc,HONE-VR8215S1230T/U,"Resideo VR8215S1230T/U Direct Ignition Single Stage Gas Valve, Standard Opening, 1/2 in x 1/2 in, 3.5 in WC",109.57,1.5,40.51944,0.29,0.0137,General,free-ship-eligible
resideo-vr8215t1502-u-direct-ignition-gas-valve-slow-opening-1-2-in-x-1-2-in-3-5-in-wc-multipoise,HONE-VR8215T1502/U,"Resideo VR8215T1502/U Direct Ignition Gas Valve, Slow Opening, 1/2 in x 1/2 in, 3.5 in WC, Multipoise",112.53,1.5,40.51944,0.29,0.0133,General,free-ship-eligible
resideo-vr8300a3500-u-standing-pilot-gas-valve-standard-opening-1-2-in-x-3-4-in-3-5-in-wc,HONE-VR8300A3500/U,"Resideo VR8300A3500/U Standing Pilot Gas Valve, Standard Opening, 1/2 in x 3/4 in, 3.5 in WC",177.79,2.1,58.757132,0.42,0.0118,General,free-ship-eligible
resideo-vr8300a3518-u-standing-pilot-gas-valve-kit-1-2-in-x-3-4-in-3-5-in-wc-with-q340-thermocouple,HONE-VR8300A3518/U,"Resideo VR8300A3518/U Standing Pilot Gas Valve Kit, 1/2 in x 3/4 in, 3.5 in WC, with Q340 Thermocouple",194.59,2.4,,0.00,0.0123,General,free-ship-eligible
resideo-vr8300a4508-u-standing-pilot-gas-valve-standard-opening-3-4-in-x-3-4-in-3-5-in-wc,HONE-VR8300A4508/U,"Resideo VR8300A4508/U Standing Pilot Gas Valve, Standard Opening, 3/4 in x 3/4 in, 3.5 in WC",190.61,2.3,58.757132,0.42,0.0121,General,free-ship-eligible
resideo-vr8300c4035-u-standing-pilot-gas-valve-step-opening-3-4-in-x-3-4-in-10-in-wc-full-rate,HONE-VR8300C4035/U,"Resideo VR8300C4035/U Standing Pilot Gas Valve, Step Opening, 3/4 in x 3/4 in, 10 in WC Full Rate",353.89,2.4,,0.00,0.0068,General,free-ship-eligible
resideo-vr8300c4506-u-standing-pilot-gas-valve-step-opening-3-4-in-x-3-4-in-3-5-in-wc-full-rate,HONE-VR8300C4506/U,"Resideo VR8300C4506/U Standing Pilot Gas Valve, Step Opening, 3/4 in x 3/4 in, 3.5 in WC Full Rate",322.41,2.6,58.757132,0.42,0.0081,General,free-ship-eligible
resideo-vr8300h4501-u-standing-pilot-gas-valve-slow-opening-3-4-in-x-3-4-in-3-5-in-wc,HONE-VR8300H4501/U,"Resideo VR8300H4501/U Standing Pilot Gas Valve, Slow Opening, 3/4 in x 3/4 in, 3.5 in WC",282.70,2.2,,0.00,0.0078,General,free-ship-eligible
resideo-vr8304h4503-u-intermittent-pilot-gas-valve-slow-opening-3-4-in-x-3-4-in-3-5-in-wc,HONE-VR8304H4503/U,"Resideo VR8304H4503/U Intermittent Pilot Gas Valve, Slow Opening, 3/4 in x 3/4 in, 3.5 in WC",294.63,1.8,,0.00,0.0061,General,free-ship-eligible
resideo-vr8304m2501-u-intermittent-pilot-gas-valve-standard-opening-1-2-in-x-1-2-in-3-5-in-wc,HONE-VR8304M2501/U,"Resideo VR8304M2501/U Intermittent Pilot Gas Valve, Standard Opening, 1/2 in x 1/2 in, 3.5 in WC",302.91,1.9,,0.00,0.0063,General,free-ship-eligible
resideo-vr8304p4256t-u-intermittent-pilot-single-stage-gas-valve-step-opening-3-4-in-x-3-4-in-0-7-3-5-in-wc,HONE-VR8304P4256T/U,"Resideo VR8304P4256T/U Intermittent Pilot Single Stage Gas Valve, Step Opening, 3/4 in x 3/4 in, 0.7/3.5 in WC",293.16,2.1,,0.00,0.0072,General,free-ship-eligible
resideo-vr8304q4511-u-intermittent-pilot-two-stage-gas-valve-standard-opening-3-4-in-x-3-4-in-1-7-3-5-in-wc,HONE-VR8304Q4511/U,"Resideo VR8304Q4511/U Intermittent Pilot Two Stage Gas Valve, Standard Opening, 3/4 in x 3/4 in, 1.7/3.5 in WC",360.36,2.5,,0.00,0.0069,General,free-ship-eligible
resideo-vr8305p2224-u-direct-ignition-gas-valve-step-opening-1-2-in-x-1-2-in-10-in-wc-full-rate,HONE-VR8305P2224/U,"Resideo VR8305P2224/U Direct Ignition Gas Valve, Step Opening, 1/2 in x 1/2 in, 10 in WC Full Rate",291.21,2.1,,0.00,0.0072,General,free-ship-eligible
