Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
abs-loose-set-dome-strainer,UPDATE,"{""value"": 8.9, ""unit"": ""in""}","{""value"": 8.8, ""unit"": ""in""}","{""value"": 4.9, ""unit"": ""in""}"
actuator-for-vc-series-valves-spst-2-position-24-vac,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
actuator-with-with-power-failure-reposition-2-to-10-vdc,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
ada-handle-assembly-for-exposed-manual-flush-valve-chrome-plated-brass,UPDATE,"{""value"": 9.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
advanced-electrode-humidifier-replacement-cylinder,UPDATE,"{""value"": 8.0, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}","{""value"": 7.57, ""unit"": ""in""}"
advanced-electrode-humidifier-replacement-pc-board,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 3.65, ""unit"": ""in""}","{""value"": 11.5, ""unit"": ""in""}"
advanced-electrode-humidifier-valve-kit,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
aqua-fit-camaya-series-single-post-sensor-faucet-in-chrome,UPDATE,"{""value"": 9.5, ""unit"": ""in""}","{""value"": 4.25, ""unit"": ""in""}","{""value"": 6.62, ""unit"": ""in""}"
aquasense-6-vdc-a-c-power-converter-for-sensor-faucets,UPDATE,"{""value"": 9.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
aquasense-e-z-flush-retrofit-kit-with-metal-cover-chrome,UPDATE,"{""value"": 6.69, ""unit"": ""in""}","{""value"": 5.94, ""unit"": ""in""}","{""value"": 6.88, ""unit"": ""in""}"
aquasense-lead-free-thermostatic-mixing-valve-for-single-sensor-faucets,UPDATE,"{""value"": 9.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
aquasense-zer-tm-series-ez-gear-driven-0-125-gpf-exposed-sensor-diaphragm-urinal-flush-valve,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}"
aquaspec-4-centerset-faucet-4-integral-spout-0-5-gpm-vandal-resistant-pressure-comp-aerator-4-wrist-blade-handles,UPDATE,"{""value"": 11.75, ""unit"": ""in""}","{""value"": 9.25, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
aquaspec-deck-mount-gooseneck-faucet-with-2-2-gpm-pressure-compensating-aerator-8-spout-4-wrist-blade-handles,UPDATE,"{""value"": 18.0, ""unit"": ""in""}","{""value"": 14.1, ""unit"": ""in""}","{""value"": 17.88, ""unit"": ""in""}"
aquaspec-metering-faucet-deck-mount-with-1-0-gpm-spray-outlet-4-1-4-in-spout-push-button-handles-chrome,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}","{""value"": 6.31, ""unit"": ""in""}"
aquaspec-wall-mount-service-sink-faucet-vacuum-breaker-pail-hook-wall-brace-metal-lever-handles-chrome,UPDATE,"{""value"": 14.0, ""unit"": ""in""}","{""value"": 16.7, ""unit"": ""in""}","{""value"": 4.8, ""unit"": ""in""}"
aquastat-relay-140-to-240-f-range-with-8-degree-f-fixed-differential-low-volt-millivolt,UPDATE,"{""value"": 6.31, ""unit"": ""in""}","{""value"": 8.12, ""unit"": ""in""}","{""value"": 5.12, ""unit"": ""in""}"
aquastat-relay-180-to-240-f-range-with-15-degree-f-fixed-differential-low-volt-millivolt,UPDATE,"{""value"": 8.12, ""unit"": ""in""}","{""value"": 6.31, ""unit"": ""in""}","{""value"": 5.12, ""unit"": ""in""}"
aquastat-relay-180-to-240-f-range-with-15-degree-f-fixed-differential-low-volt-millivolt-hone-l8148e1299-u,UPDATE,"{""value"": 8.12, ""unit"": ""in""}","{""value"": 6.31, ""unit"": ""in""}","{""value"": 5.12, ""unit"": ""in""}"
aquatrol-zoning-control-for-4-zones-of-4-wire-valves-with-end-switches-24-vac-used-for-hydronic-zoning-systems,UPDATE,"{""value"": 11.5, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}","{""value"": 5.38, ""unit"": ""in""}"
aquatrol-zoning-panel-for-4-zone-2-wire-valves-24-vac-used-for-hydronic-zoning-systems,UPDATE,"{""value"": 11.5, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}","{""value"": 5.38, ""unit"": ""in""}"
assembled-water-heater-stand-21w-x-21d-x-18h-18ga-650-rating,UPDATE,"{""value"": 23.0, ""unit"": ""in""}","{""value"": 23.0, ""unit"": ""in""}","{""value"": 20.0, ""unit"": ""in""}"
assembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,UPDATE,"{""value"": 26.0, ""unit"": ""in""}","{""value"": 26.0, ""unit"": ""in""}","{""value"": 20.0, ""unit"": ""in""}"
at100-electric-elongated-spalet-bidet-seat-in-canvas-white,UPDATE,"{""value"": 23.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
bonded-neo-seal-closet-gasket-kit-4,UPDATE,"{""value"": 7.5, ""unit"": ""in""}","{""value"": 7.4, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}"
brush-gold-baseboard-electric-heat-thermostat,UPDATE,"{""value"": 6.56, ""unit"": ""in""}","{""value"": 4.88, ""unit"": ""in""}","{""value"": 3.94, ""unit"": ""in""}"
brush-gold-electric-heat-thermostat-for-electric-baseboard-heat,UPDATE,"{""value"": 6.56, ""unit"": ""in""}","{""value"": 4.88, ""unit"": ""in""}","{""value"": 3.94, ""unit"": ""in""}"
c7189u1005-remote-indoor-temperature-sensor,UPDATE,"{""value"": 3.5, ""unit"": ""in""}","{""value"": 4.25, ""unit"": ""in""}","{""value"": 2.75, ""unit"": ""in""}"
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-bracket-and-higher-sensitivity-cad-cell,UPDATE,"{""value"": 3.88, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}","{""value"": 2.5, ""unit"": ""in""}"
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-mounting-bracket-and-130367-cad-cell,UPDATE,"{""value"": 3.88, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}","{""value"": 2.5, ""unit"": ""in""}"
cerana-33-apron-single-bowl-farmhouse-sink-white,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 19.63, ""unit"": ""in""}","{""value"": 11.62, ""unit"": ""in""}"
co2450-adjustable-floor-cleanout-nickel-top-3-pvc,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}","{""value"": 7.19, ""unit"": ""in""}"
co2450-adjustable-floor-cleanout-nickel-top-4-abs,UPDATE,"{""value"": 7.25, ""unit"": ""in""}","{""value"": 7.25, ""unit"": ""in""}","{""value"": 5.87, ""unit"": ""in""}"
commercialpro-7000-programmable-thermostat,UPDATE,"{""value"": 8.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}","{""value"": 3.38, ""unit"": ""in""}"
contemporary-soap-dispenser-in-grohe-chrome,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
cool-only-thermostat-dual-scale-fahrenheit-and-celsius,UPDATE,"{""value"": 6.75, ""unit"": ""in""}","{""value"": 4.88, ""unit"": ""in""}","{""value"": 3.38, ""unit"": ""in""}"
dayton-stainless-steel-15-x-15-x-5-3-16-2-hole-single-bowl-drop-in-bar-sink-with-2-drain-opening,UPDATE,"{""value"": 17.0, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}","{""value"": 7.19, ""unit"": ""in""}"
dayton-stainless-steel-16-1-2-x-18-1-4-x-8-single-bowl-undermount-bar-sink,UPDATE,"{""value"": 18.5, ""unit"": ""in""}","{""value"": 20.25, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
dayton-stainless-steel-17-x-19-x-6-1-8-3-hole-single-bowl-drop-in-bar-sink,UPDATE,"{""value"": 19.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 8.19, ""unit"": ""in""}"
dayton-stainless-steel-20-x-20-x-10-1-8-1-hole-single-bowl-drop-in-laundry-sink,UPDATE,"{""value"": 22.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 12.12, ""unit"": ""in""}"
dayton-stainless-steel-25-x-19-x-6-5-16-1-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 8.31, ""unit"": ""in""}"
dayton-stainless-steel-25-x-21-1-4-x-5-3-8-3-hole-single-bowl-drop-in-sink-with-right-drain,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 23.25, ""unit"": ""in""}","{""value"": 7.38, ""unit"": ""in""}"
dayton-stainless-steel-25-x-21-1-4-x-6-9-16-4-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 23.25, ""unit"": ""in""}","{""value"": 8.56, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-6-9-16-3-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 8.56, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 8.56, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-8-1-16-3-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.06, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-8-1-16-4-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.06, ""unit"": ""in""}"
dayton-stainless-steel-26-1-2-x-18-1-2-x-8-single-bowl-undermount-sink,UPDATE,"{""value"": 28.5, ""unit"": ""in""}","{""value"": 20.5, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink,UPDATE,"{""value"": 32.5, ""unit"": ""in""}","{""value"": 20.25, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink-dayt-dxuh2816,UPDATE,"{""value"": 32.5, ""unit"": ""in""}","{""value"": 20.25, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
dayton-stainless-steel-31-3-4-x-18-1-4-x-8-equal-double-bowl-undermount-sink,UPDATE,"{""value"": 33.75, ""unit"": ""in""}","{""value"": 20.25, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
dayton-stainless-steel-33-x-19-x-6-7-16-3-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 8.44, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 8.56, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink-10-pack,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 8.56, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-7-1-16-4-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 9.06, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-8-1-16-1-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.06, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-8-1-16-3-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.06, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-8-1-16-4-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.06, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-anthracite,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-caf,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-cinder,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-truffle,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-volcano-gray,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 20.88, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-kitchen-sink-cinder,UPDATE,"{""value"": 34.07, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-equal-double-bowl-kitchen-sink-coal-black,UPDATE,"{""value"": 34.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-anthracite,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-caf,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-cinder,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-metallic-gray,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-truffle,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-single-bowl-dual-mount-kitchen-sink-metallic-gray,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 12.37, ""unit"": ""in""}"
diamond-super-single-bowl-kitchen-sink-cinder,UPDATE,"{""value"": 35.5, ""unit"": ""in""}","{""value"": 18.5, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-anthracite,UPDATE,"{""value"": 35.5, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-cinder,UPDATE,"{""value"": 35.5, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-coal-black,UPDATE,"{""value"": 35.5, ""unit"": ""in""}","{""value"": 18.5, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-truffle,UPDATE,"{""value"": 35.5, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 11.87, ""unit"": ""in""}"
direct-spark-ignition-control-two-rod-with-21-second-trial-and-lockout-time,UPDATE,"{""value"": 7.25, ""unit"": ""in""}","{""value"": 6.06, ""unit"": ""in""}","{""value"": 3.94, ""unit"": ""in""}"
direct-spark-ignition-hot-surface-ignition-or-intermittent-pilot-ignition-gas-valve,UPDATE,"{""value"": 7.38, ""unit"": ""in""}","{""value"": 6.06, ""unit"": ""in""}","{""value"": 4.69, ""unit"": ""in""}"
diverter-tub-spout-in-grohe-brushed-nickel-groh-13-611en0,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}"
double-pole-line-voltage-programmable-thermostat,UPDATE,"{""value"": 6.88, ""unit"": ""in""}","{""value"": 4.75, ""unit"": ""in""}","{""value"": 2.88, ""unit"": ""in""}"
dual-direct-ignition-intermittent-pilot-gas-valve,UPDATE,"{""value"": 7.38, ""unit"": ""in""}","{""value"": 6.06, ""unit"": ""in""}","{""value"": 4.69, ""unit"": ""in""}"
dxv-modulus-24-towel-bar-in-matte-black,UPDATE,"{""value"": 26.0, ""unit"": ""in""}","{""value"": 27.0, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}"
dxv-modulus-towel-hook-in-matte-black,UPDATE,"{""value"": 4.0, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-semi-gloss-white-1-piece-single-threshold-rectangle-42-x-34-x-5-1-2,UPDATE,"{""value"": 44.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-48-x-32-x-5-1-2,UPDATE,"{""value"": 50.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-60-x-32-x-5-1-2,UPDATE,"{""value"": 62.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-48-x-34-x-5-1-2,UPDATE,"{""value"": 50.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-60-x-34-x-5-1-2,UPDATE,"{""value"": 62.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-square-single-threshold-32-x-32-x-5,UPDATE,"{""value"": 34.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-barrier-free-rectangle-30-x-60-x-4,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 62.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-barrier-free-rectangle-30-x-60-x-4-must-360r,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 62.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-36-x-42-x-5-1-2,UPDATE,"{""value"": 38.0, ""unit"": ""in""}","{""value"": 44.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-36-x-5-1-2,UPDATE,"{""value"": 62.0, ""unit"": ""in""}","{""value"": 38.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-square-36-x-36-x-5-1-2,UPDATE,"{""value"": 38.0, ""unit"": ""in""}","{""value"": 38.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
e-l-mustee-sons-durastone-mop-service-sink-colorfast-marbleized-white-single-bowl-sinks-molded-fiberglass-36-x-24-x-10,UPDATE,"{""value"": 38.0, ""unit"": ""in""}","{""value"": 26.0, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}"
e-l-mustee-sons-mop-service-sink-colorfast-marbleized-white-single-bowl-sinks-molded-fiberglass-24-x-24-x-10,UPDATE,"{""value"": 26.0, ""unit"": ""in""}","{""value"": 26.0, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}"
e-l-mustee-sons-shower-base-white-1-piece-standard-threshold-rectangle-60-x-30-x-5-1-2,UPDATE,"{""value"": 62.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
econoswitch-for-lights-and-motors-with-solar-timetable-white,UPDATE,"{""value"": 3.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}"
electric-heat-thermostat-hiperf-premier-white-baseboard,UPDATE,"{""value"": 6.5, ""unit"": ""in""}","{""value"": 4.88, ""unit"": ""in""}","{""value"": 4.62, ""unit"": ""in""}"
electric-heat-thermostat-with-gold-baseboard,UPDATE,"{""value"": 6.56, ""unit"": ""in""}","{""value"": 4.88, ""unit"": ""in""}","{""value"": 3.94, ""unit"": ""in""}"
electromechanical-heating-relay-with-208-240v-transformer,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}"
electromechanical-relay-with-24-v-to-120-v-transformer,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}"
electromechanical-relay-without-transformer,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.69, ""unit"": ""in""}","{""value"": 3.69, ""unit"": ""in""}"
electronic-oil-primary-with-15-seconds-lock-out,UPDATE,"{""value"": 6.16, ""unit"": ""in""}","{""value"": 6.34, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}"
elkay-4-centerset-with-exposed-deck-faucet-integral-spout-4-wristblade-handles,UPDATE,"{""value"": 14.0, ""unit"": ""in""}","{""value"": 7.62, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
elkay-crosstown-black-silicone-11-7-8-x-16-3-4-x-3-8-drying-rack,UPDATE,"{""value"": 18.75, ""unit"": ""in""}","{""value"": 13.88, ""unit"": ""in""}","{""value"": 2.38, ""unit"": ""in""}"
elkay-dayton-drop-in-sink-satin-single-bowl-sinks300-series-stainless-steel-15-x-15-x-5-3-16,UPDATE,"{""value"": 17.0, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
elkay-everyday-three-hole-deck-mount-kitchen-faucet-with-lever-handle-and-deck-plate-escutcheon-chrome,UPDATE,"{""value"": 12.12, ""unit"": ""in""}","{""value"": 11.5, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-17-x-16-x-6-1-2-2-hole-single-bowl-drop-in-ada-sink,UPDATE,"{""value"": 19.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}","{""value"": 8.5, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-22-x-19-1-2-x-10-1-8-1-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 24.0, ""unit"": ""in""}","{""value"": 21.5, ""unit"": ""in""}","{""value"": 12.12, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-25-x-17-x-6-1-2-4-hole-single-bowl-drop-in-classroom-ada-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 8.5, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-25-x-22-x-8-1-8-3-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.12, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-31-x-22-x-6-1-2-3-hole-single-bowl-drop-in-ada-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 8.5, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-33-x-22-x-6-1-2-1-hole-equal-double-bowl-drop-in-ada-sink-with-perfect-drain,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
elkay-quartz-classic-33-x-19-x-10-equal-double-bowl-undermount-sink-with-aqua-divide-white,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}"
elkay-quartz-perfect-drain-3-1-2-removable-polymer-basket-strainer-and-rubber-stopper-ricotta,UPDATE,"{""value"": 6.12, ""unit"": ""in""}","{""value"": 6.12, ""unit"": ""in""}","{""value"": 5.06, ""unit"": ""in""}"
elkay-stainless-steel-classroom-bubbler,UPDATE,"{""value"": 7.05, ""unit"": ""in""}","{""value"": 3.94, ""unit"": ""in""}","{""value"": 7.69, ""unit"": ""in""}"
ez1-abs-floor-drain-5-round-nickel-bronze-strainer-with-3-x-4-bottom-outlet,UPDATE,"{""value"": 10.27, ""unit"": ""in""}","{""value"": 10.27, ""unit"": ""in""}","{""value"": 7.56, ""unit"": ""in""}"
ez1-pvc-drain-with-5-round-nickel-bronze-strainer-and-4-solvent-weld-outlet,UPDATE,"{""value"": 10.27, ""unit"": ""in""}","{""value"": 10.27, ""unit"": ""in""}","{""value"": 8.25, ""unit"": ""in""}"
ez1-pvc-floor-drain-5-round-nickel-bronze-strainer-with-2-x-3-bottom-outlet,UPDATE,"{""value"": 7.69, ""unit"": ""in""}","{""value"": 7.69, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
ez1-pvc-floor-drain-5-round-nickel-bronze-strainer-with-3-x-4-bottom-outlet,UPDATE,"{""value"": 10.27, ""unit"": ""in""}","{""value"": 10.27, ""unit"": ""in""}","{""value"": 7.56, ""unit"": ""in""}"
