Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
1-1-4-x-1-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-125.100.050-TEE-G,0.742,lb,510-653,1.29,0.742,1.74,15.06,0.0857,0.0493,"Mueller Streamline 510-653 1-1/4"" x 1"" x 1/2"" - Galvanized Tee"
1-1-4-carbon-steel-press-fittings-gas-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-125-MA-G,0.553,lb,CP01171G,0.95,0.553,1.72,55.77,0.017,0.0099,"Mueller Streamline CP01171G 1-1/4"" Carbon Steel Press Fittings - Gas - Male Adapter P x MPT"
3-4-black-iron-union,UPDATE,UPDATE,BLIF-075-UNI,0.621,lb,521-704,1.06,0.621,1.71,9.46,0.1121,0.0656,"Mueller Streamline 521-704 3/4"" Black Iron Union"
1-1-2-black-iron-floor-flange,UPDATE,UPDATE,BLIF-150-FFLG,1.389,lb,521-607,2.38,1.389,1.71,10.63,0.2239,0.1307,"Mueller Streamline 521-607 1-1/2"" Black Iron Floor Flange"
2-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-200.075-BSH,0.631,lb,521-984,1.08,0.631,1.71,6.24,0.1731,0.1011,"Mueller Streamline 521-984 2"" x 3/4"" Black Iron Bushing"
2-1-2-black-iron-cap,UPDATE,UPDATE,BLIF-250-CAP,1.547,lb,521-409,2.64,1.547,1.71,16.95,0.1558,0.0913,"Mueller Streamline 521-409 2-1/2"" Black Iron Cap"
3-4-galvanized-union,UPDATE,UPDATE,GAIF-075-UNI-G,0.621,lb,511-704,1.06,0.621,1.71,11.02,0.0962,0.0564,"Mueller Streamline 511-704 3/4"" - Galvanized Union"
1-1-2-galvanized-floor-flange,UPDATE,UPDATE,GAIF-150-FFLG-G,1.389,lb,511-607,2.38,1.389,1.71,22.59,0.1054,0.0615,"Mueller Streamline 511-607 1-1/2"" - Galvanized Floor Flange"
2-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.075-BSH-G,0.631,lb,511-984,1.08,0.631,1.71,10.3,0.1049,0.0613,"Mueller Streamline 511-984 2"" x 3/4"" - Galvanized Bushing - MPT x FPT"
2-1-2-galvanized-cap,UPDATE,UPDATE,GAIF-250-CAP-G,1.547,lb,511-409,2.64,1.547,1.71,25.08,0.1053,0.0617,"Mueller Streamline 511-409 2-1/2"" - Galvanized Cap"
3-4-x-1-2-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-075.050.050-TEE,0.401,lb,520-433,0.68,0.401,1.7,5.31,0.1281,0.0755,"Mueller Streamline 520-433 3/4"" x 1/2"" x 1/2"" Black Iron Tee"
1-2-galvanized-coupling,UPDATE,UPDATE,GAIF-050-CPL-G,0.176,lb,511-203,0.3,0.176,1.7,2.86,0.1049,0.0615,"Mueller Streamline 511-203 1/2"" - Galvanized Coupling"
3-4-x-1-2-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-075.050.050-TEE-G,0.401,lb,510-433,0.68,0.401,1.7,6.54,0.104,0.0613,"Mueller Streamline 510-433 3/4"" x 1/2"" x 1/2"" - Galvanized Tee"
1-1-4-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-125.050-CPL,0.549,lb,521-363,0.92,0.549,1.68,6.4,0.1437,0.0858,"Mueller Streamline 521-363 1-1/4"" x 1/2"" Black Iron Coupling"
1-1-4-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-125.050-CPL-G,0.549,lb,511-363,0.92,0.549,1.68,8.79,0.1047,0.0625,"Mueller Streamline 511-363 1-1/4"" x 1/2"" - Galvanized Reducing Coupling"
1-4-copper-sweat-fittings-two-hole-strap,UPDATE,UPDATE,COPF-025-2HSTR-C,0.006,lb,A 01278,0.01,0.006,1.67,0.96,0.0104,0.0063,"Mueller Streamline A 01278 1/4"" Copper Sweat Fittings - Two Hole Strap"
1-1-4-x-3-4-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.075.075-TEE,0.801,lb,520-644,1.33,0.801,1.66,13.52,0.0984,0.0592,"Mueller Streamline 520-644 1-1/4"" x 3/4"" x 3/4"" Black Iron Tee"
1-1-4-x-1-carbon-steel-press-fittings-gas-coupling-p-x-p,UPDATE,UPDATE,CRBN-125.100-CPL-G,0.573,lb,CP01056G,0.95,0.573,1.66,57.7,0.0165,0.0099,"Mueller Streamline CP01056G 1-1/4"" x 1"" Carbon Steel Press Fittings - Gas - Coupling P x P"
1-1-4-x-3-4-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-125.075.075-TEE-G,0.801,lb,510-644,1.33,0.801,1.66,16.53,0.0805,0.0485,"Mueller Streamline 510-644 1-1/4"" x 3/4"" x 3/4"" - Galvanized Tee"
1-2-x-3-8-black-iron-elbow-90,UPDATE,UPDATE,BLIF-050.038-90EL,0.224,lb,520-132,0.37,0.224,1.65,3.29,0.1125,0.0681,"Mueller Streamline 520-132 1/2"" x 3/8"" Black Iron Elbow - 90°"
1-black-iron-floor-flange,UPDATE,UPDATE,BLIF-100-FFLG,1.012,lb,521-605,1.67,1.012,1.65,9.12,0.1831,0.111,"Mueller Streamline 521-605 1"" Black Iron Floor Flange"
3-black-iron-coupling,UPDATE,UPDATE,BLIF-300-CPL,3.263,lb,521-210,5.37,3.263,1.65,39.86,0.1347,0.0819,"Mueller Streamline 521-210 3"" Black Iron Coupling"
1-galvanized-floor-flange,UPDATE,UPDATE,GAIF-100-FFLG-G,1.012,lb,511-605,1.67,1.012,1.65,15.9,0.105,0.0636,"Mueller Streamline 511-605 1"" - Galvanized Floor Flange"
1-1-2-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-150-ST45-G,1.055,lb,510-507,1.74,1.055,1.65,16.58,0.1049,0.0636,"Mueller Streamline 510-507 1-1/2"" - Galvanized Street Elbow - 45°"
3-galvanized-coupling,UPDATE,UPDATE,GAIF-300-CPL-G,3.263,lb,511-210,5.37,3.263,1.65,54.45,0.0986,0.0599,"Mueller Streamline 511-210 3"" - Galvanized Coupling"
3-copper-fittings-dwv-test-cap-c,UPDATE,UPDATE,COPF-DWV-300-TCAP-C,0.043,lb,W 07640,0.07,0.043,1.63,12.27,0.0057,0.0035,"Mueller Streamline W 07640 3"" Copper Fittings - DWV - Test Cap C"
1-copper-press-fittings-union-pxf-p-x-fpt,UPDATE,UPDATE,CPPF-100-UFA,0.621,lb,PF 11424,1.01,0.621,1.63,64.68,0.0156,0.0096,"Mueller Streamline PF 11424 1"" Copper Press Fittings - Union PxF P x FPT"
1-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-025-CLS,0.031,lb,561-001,0.05,0.031,1.61,2.54,0.0197,0.0122,"Mueller Streamline 561-001 1/4"" x Close - Galvanized Nipple"
1-1-4-copper-sweat-fittings-union-cxm-c-x-mpt,UPDATE,UPDATE,COPF-125-UMA-LF,0.937,lb,A 11213NL,1.5,0.937,1.6,280.08,0.0054,0.0033,"Mueller Streamline A 11213NL 1-1/4"" Copper Sweat Fittings - Union CxM C x MPT"
1-1-2-copper-press-fittings-union-p-x-p,UPDATE,UPDATE,CPPF-150-UNI,1.203,lb,PF 11206,1.92,1.203,1.6,140.09,0.0137,0.0086,"Mueller Streamline PF 11206 1-1/2"" Copper Press Fittings - Union P x P"
3-4-copper-sweat-fittings-union-cxm-c-x-mpt,UPDATE,UPDATE,COPF-075-UMA-LF,0.22,lb,A 11211NL,0.35,0.22,1.59,91.61,0.0038,0.0024,"Mueller Streamline A 11211NL 3/4"" Copper Sweat Fittings - Union CxM C x MPT"
3-galvanized-elbow-90,UPDATE,UPDATE,GAIF-300-90EL-G,4.872,lb,510-010,7.73,4.872,1.59,64.92,0.1191,0.075,"Mueller Streamline 510-010 3"" - Galvanized Elbow - 90°"
3-4-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-075.050-CPL,0.223,lb,521-343,0.35,0.223,1.57,2.86,0.1224,0.078,"Mueller Streamline 521-343 3/4"" x 1/2"" Black Iron Coupling"
1-black-iron-plug,UPDATE,UPDATE,BLIF-100-PLG,0.197,lb,521-805,0.31,0.197,1.57,2.06,0.1505,0.0956,"Mueller Streamline 521-805 1"" Black Iron Plug"
3-4-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-075.050-CPL-G,0.223,lb,511-343,0.35,0.223,1.57,3.36,0.1042,0.0664,"Mueller Streamline 511-343 3/4"" x 1/2"" - Galvanized Reducing Coupling"
1-galvanized-plug,UPDATE,UPDATE,GAIF-100-PLG-G,0.197,lb,511-805,0.31,0.197,1.57,3.24,0.0957,0.0608,"Mueller Streamline 511-805 1"" - Galvanized Plug"
1-black-iron-union,UPDATE,UPDATE,BLIF-100-UNI,0.891,lb,521-705,1.39,0.891,1.56,12.38,0.1123,0.072,"Mueller Streamline 521-705 1"" Black Iron Union"
1-1-2-copper-press-fittings-female-adapter-p-x-fpt,UPDATE,UPDATE,CPPF-150-FA,0.527,lb,PF 01279,0.82,0.527,1.56,64.16,0.0128,0.0082,"Mueller Streamline PF 01279 1-1/2"" Copper Press Fittings - Female Adapter P x FPT"
3-4-carbon-steel-press-fittings-gas-union-p-x-p,UPDATE,UPDATE,CRBN-075-UNI-G,0.61,lb,CP08004G,0.95,0.61,1.56,142.32,0.0067,0.0043,"Mueller Streamline CP08004G 3/4"" Carbon Steel Press Fittings - Gas - Union P x P"
1-galvanized-union,UPDATE,UPDATE,GAIF-100-UNI-G,0.891,lb,511-705,1.39,0.891,1.56,13.73,0.1012,0.0649,"Mueller Streamline 511-705 1"" - Galvanized Union"
1-1-4-black-iron-plug,UPDATE,UPDATE,BLIF-125-PLG,0.337,lb,521-806,0.52,0.337,1.54,2.59,0.2008,0.1301,"Mueller Streamline 521-806 1-1/4"" Black Iron Plug"
1-1-2-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-150.050-CPL,0.706,lb,521-373,1.09,0.706,1.54,8.14,0.1339,0.0867,"Mueller Streamline 521-373 1-1/2"" x 1/2"" Black Iron Coupling"
1-1-2-x-1-1-4-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-150.125.125-TEE,1.4,lb,520-769,2.15,1.4,1.54,21.81,0.0986,0.0642,"Mueller Streamline 520-769 1-1/2"" x 1-1/4"" x 1-1/4"" Black Iron Tee"
2-x-1-black-iron-bushing,UPDATE,UPDATE,BLIF-200.100-BSH,0.661,lb,521-985,1.02,0.661,1.54,5.85,0.1744,0.113,"Mueller Streamline 521-985 2"" x 1"" Black Iron Bushing"
3-4-copper-sweat-fittings-two-hole-strap,UPDATE,UPDATE,COPF-075-2HSTR-C,0.013,lb,A 02574,0.02,0.013,1.54,1.84,0.0109,0.0071,"Mueller Streamline A 02574 3/4"" Copper Sweat Fittings - Two Hole Strap"
1-1-4-copper-press-fittings-female-adapter-p-x-fpt,UPDATE,UPDATE,CPPF-125-FA,0.345,lb,PF 01271,0.53,0.345,1.54,45.81,0.0116,0.0075,"Mueller Streamline PF 01271 1-1/4"" Copper Press Fittings - Female Adapter P x FPT"
1-1-4-galvanized-plug,UPDATE,UPDATE,GAIF-125-PLG-G,0.337,lb,511-806,0.52,0.337,1.54,4.98,0.1044,0.0677,"Mueller Streamline 511-806 1-1/4"" - Galvanized Plug"
1-1-2-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-150.050-CPL-G,0.706,lb,511-373,1.09,0.706,1.54,10.35,0.1053,0.0682,"Mueller Streamline 511-373 1-1/2"" x 1/2"" - Galvanized Reducing Coupling"
2-x-1-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.100-BSH-G,0.661,lb,511-985,1.02,0.661,1.54,9.73,0.1048,0.0679,"Mueller Streamline 511-985 2"" x 1"" - Galvanized Bushing - MPT x FPT"
1-1-4-x-1-2-black-iron-elbow-90,UPDATE,UPDATE,BLIF-125.050-90EL,0.602,lb,520-163,0.92,0.602,1.53,9.39,0.098,0.0641,"Mueller Streamline 520-163 1-1/4"" x 1/2"" Black Iron Elbow - 90°"
2-x-1-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-200.150-BSH,0.588,lb,521-987,0.9,0.588,1.53,6.52,0.138,0.0902,"Mueller Streamline 521-987 2"" x 1-1/2"" Black Iron Bushing"
2-x-1-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.150-BSH-G,0.588,lb,511-987,0.9,0.588,1.53,8.54,0.1054,0.0689,"Mueller Streamline 511-987 2"" x 1-1/2"" - Galvanized Bushing - MPT x FPT"
2-x-2-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-200.075-TEE-G,1.753,lb,510-884,2.67,1.753,1.52,22.41,0.1191,0.0782,"Mueller Streamline 510-884 2"" x 2"" x 3/4"" - Galvanized Tee"
1-x-3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-100.075-CPL,0.357,lb,521-354,0.54,0.357,1.51,4.46,0.1211,0.08,"Mueller Streamline 521-354 1"" x 3/4"" Black Iron Coupling"
1-x-3-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-100.075-CPL-G,0.357,lb,511-354,0.54,0.357,1.51,5.19,0.104,0.0688,"Mueller Streamline 511-354 1"" x 3/4"" - Galvanized Reducing Coupling"
1-1-4-x-1-1-4-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-125.050-TEE,0.926,lb,520-663,1.38,0.926,1.49,11.82,0.1168,0.0783,"Mueller Streamline 520-663 1-1/4"" x 1-1/4"" x 1/2"" Black Iron Tee"
1-1-2-black-iron-plug,UPDATE,UPDATE,BLIF-150-PLG,0.478,lb,521-807,0.71,0.478,1.49,3.62,0.1961,0.132,"Mueller Streamline 521-807 1-1/2"" Black Iron Plug"
1-copper-press-fittings-union-pxm-p-x-mpt,UPDATE,UPDATE,CPPF-100-UMA,0.772,lb,PF 11212,1.15,0.772,1.49,67.05,0.0172,0.0115,"Mueller Streamline PF 11212 1"" Copper Press Fittings - Union PxM P x MPT"
1-1-4-x-1-1-4-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-125.050-TEE-G,0.926,lb,510-663,1.38,0.926,1.49,13.12,0.1052,0.0706,"Mueller Streamline 510-663 1-1/4"" x 1-1/4"" x 1/2"" - Galvanized Tee"
1-1-2-galvanized-plug,UPDATE,UPDATE,GAIF-150-PLG-G,0.478,lb,511-807,0.71,0.478,1.49,6.72,0.1057,0.0711,"Mueller Streamline 511-807 1-1/2"" - Galvanized Plug"
1-2-black-iron-elbow-45,UPDATE,UPDATE,BLIF-050-45EL,0.223,lb,520-203,0.33,0.223,1.48,2.94,0.1122,0.0759,"Mueller Streamline 520-203 1/2"" Black Iron Elbow - 45°"
1-2-galvanized-elbow-45,UPDATE,UPDATE,GAIF-050-45EL-G,0.223,lb,510-203,0.33,0.223,1.48,3.17,0.1041,0.0703,"Mueller Streamline 510-203 1/2"" - Galvanized Elbow - 45°"
1-1-2-x-1-1-4-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-150.125.075-TEE,1.092,lb,520-764,1.59,1.092,1.46,16.14,0.0985,0.0677,"Mueller Streamline 520-764 1-1/2"" x 1-1/4"" x 3/4"" Black Iron Tee"
2-black-iron-floor-flange,UPDATE,UPDATE,BLIF-200-FFLG,2.152,lb,521-608,3.13,2.152,1.45,13.88,0.2255,0.155,"Mueller Streamline 521-608 2"" Black Iron Floor Flange"
2-x-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-200.100-TEE,1.839,lb,520-785,2.67,1.839,1.45,20.5,0.1302,0.0897,"Mueller Streamline 520-785 2"" x 2"" x 1"" Black Iron Tee"
2-galvanized-floor-flange,UPDATE,UPDATE,GAIF-200-FFLG-G,2.152,lb,511-608,3.13,2.152,1.45,29.76,0.1052,0.0723,"Mueller Streamline 511-608 2"" - Galvanized Floor Flange"
2-x-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-200.100-TEE-G,1.839,lb,510-785,2.67,1.839,1.45,22.41,0.1191,0.0821,"Mueller Streamline 510-785 2"" x 2"" x 1"" - Galvanized Tee"
1-x-1-x-1-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-100.150-TEE-C,0.471,lb,W 40101,0.68,0.471,1.44,75.9,0.009,0.0062,"Mueller Streamline W 40101 1"" x 1"" x 1-1/2"" Copper Sweat Fittings - Tee C x C x C"
1-1-4-copper-press-fittings-male-adapter-p-x-mpt,UPDATE,UPDATE,CPPF-125-MA,0.367,lb,PF 01171,0.53,0.367,1.44,38.54,0.0138,0.0095,"Mueller Streamline PF 01171 1-1/4"" Copper Press Fittings - Male Adapter P x MPT"
1-2-copper-press-fittings-union-pxf-p-x-fpt,UPDATE,UPDATE,CPPF-050-UFA,0.21,lb,PF 11422,0.3,0.21,1.43,30.41,0.0099,0.0069,"Mueller Streamline PF 11422 1/2"" Copper Press Fittings - Union PxF P x FPT"
2-copper-press-fittings-female-adapter-p-x-fpt,UPDATE,UPDATE,CPPF-200-FA,0.783,lb,PF 01287,1.12,0.783,1.43,106.81,0.0105,0.0073,"Mueller Streamline PF 01287 2"" Copper Press Fittings - Female Adapter P x FPT"
3-4-black-iron-elbow-45,UPDATE,UPDATE,BLIF-075-45EL,0.324,lb,520-204,0.46,0.324,1.42,3.58,0.1285,0.0905,"Mueller Streamline 520-204 3/4"" Black Iron Elbow - 45°"
1-1-4-black-iron-union,UPDATE,UPDATE,BLIF-125-UNI,1.378,lb,521-706,1.96,1.378,1.42,16.42,0.1194,0.0839,"Mueller Streamline 521-706 1-1/4"" Black Iron Union"
3-4-galvanized-elbow-45,UPDATE,UPDATE,GAIF-075-45EL-G,0.324,lb,510-204,0.46,0.324,1.42,4.43,0.1038,0.0731,"Mueller Streamline 510-204 3/4"" - Galvanized Elbow - 45°"
1-galvanized-coupling,UPDATE,UPDATE,GAIF-100-CPL-G,0.4,lb,511-205,0.57,0.4,1.42,5.46,0.1044,0.0733,"Mueller Streamline 511-205 1"" - Galvanized Coupling"
1-1-4-galvanized-union,UPDATE,UPDATE,GAIF-125-UNI-G,1.378,lb,511-706,1.96,1.378,1.42,18.64,0.1052,0.0739,"Mueller Streamline 511-706 1-1/4"" - Galvanized Union"
2-x-1-black-iron-elbow-90,UPDATE,UPDATE,BLIF-200.100-90EL,1.174,lb,520-185,1.65,1.174,1.41,16.74,0.0986,0.0701,"Mueller Streamline 520-185 2"" x 1"" Black Iron Elbow - 90°"
2-x-2-x-1-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-200.150-TEE-G,2.227,lb,510-787,3.14,2.227,1.41,26.07,0.1204,0.0854,"Mueller Streamline 510-787 2"" x 2"" x 1-1/2"" - Galvanized Tee"
1-1-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.075.100-TEE,0.887,lb,520-645,1.24,0.887,1.4,12.6,0.0984,0.0704,"Mueller Streamline 520-645 1-1/4"" x 3/4"" x 1"" Black Iron Tee"
1-1-4-x-1-1-4-x-1-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-125.150-TEE-C,0.487,lb,W 40100,0.68,0.487,1.4,76.12,0.0089,0.0064,"Mueller Streamline W 40100 1-1/4"" x 1-1/4"" x 1-1/2"" Copper Sweat Fittings - Tee C x C x C"
1-1-2-copper-sweat-fittings-union-cxm-c-x-mpt,UPDATE,UPDATE,COPF-150-UMA-LF,1.291,lb,A 11214NL,1.81,1.291,1.4,294.3,0.0062,0.0044,"Mueller Streamline A 11214NL 1-1/2"" Copper Sweat Fittings - Union CxM C x MPT"
1-2-copper-press-fittings-male-adapter-p-x-mpt,UPDATE,UPDATE,CPPF-050-MA,0.107,lb,PF 01131,0.15,0.107,1.4,5.59,0.0268,0.0192,"Mueller Streamline PF 01131 1/2"" Copper Press Fittings - Male Adapter P x MPT"
3-4-copper-press-fittings-female-adapter-p-x-fpt,UPDATE,UPDATE,CPPF-075-FA,0.172,lb,PF 01246,0.24,0.172,1.4,10.86,0.0221,0.0158,"Mueller Streamline PF 01246 3/4"" Copper Press Fittings - Female Adapter P x FPT"
1-copper-press-fittings-female-adapter-p-x-fpt,UPDATE,UPDATE,CPPF-100-FA,0.25,lb,PF 01263,0.35,0.25,1.4,20.75,0.0169,0.012,"Mueller Streamline PF 01263 1"" Copper Press Fittings - Female Adapter P x FPT"
1-1-4-x-3-4-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-125.075.100-TEE-G,0.887,lb,510-645,1.24,0.887,1.4,15.84,0.0783,0.056,"Mueller Streamline 510-645 1-1/4"" x 3/4"" x 1"" - Galvanized Tee"
3-4-x-1-2-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075.050-90EL,0.309,lb,520-143,0.43,0.309,1.39,3.41,0.1261,0.0906,"Mueller Streamline 520-143 3/4"" x 1/2"" Black Iron Elbow - 90°"
1-1-4-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.050.100-TEE,0.93,lb,520-635,1.29,0.93,1.39,13.17,0.0979,0.0706,"Mueller Streamline 520-635 1-1/4"" x 1/2"" x 1"" Black Iron Tee"
1-1-4-x-1-2-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.050.125-TEE,0.959,lb,520-636,1.33,0.959,1.39,13.52,0.0984,0.0709,"Mueller Streamline 520-636 1-1/4"" x 1/2"" x 1-1/4"" Black Iron Tee"
1-1-2-black-iron-union,UPDATE,UPDATE,BLIF-150-UNI,1.743,lb,521-707,2.42,1.743,1.39,20.04,0.1208,0.087,"Mueller Streamline 521-707 1-1/2"" Black Iron Union"
1-2-copper-sweat-fittings-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-050-ST90-C,0.036,lb,W 01652,0.05,0.036,1.39,2.91,0.0172,0.0124,"Mueller Streamline W 01652 1/2"" Copper Sweat Fittings - 90 Degree Street Elbow Ftg x C"
3-4-x-1-2-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075.050-90EL-G,0.309,lb,510-143,0.43,0.309,1.39,4.14,0.1039,0.0746,"Mueller Streamline 510-143 3/4"" x 1/2"" - Galvanized Elbow - 90°"
1-1-2-galvanized-union,UPDATE,UPDATE,GAIF-150-UNI-G,1.743,lb,511-707,2.42,1.743,1.39,23.89,0.1013,0.073,"Mueller Streamline 511-707 1-1/2"" - Galvanized Union"
1-x-1-2-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.050-TEE,0.528,lb,520-533,0.73,0.528,1.38,7.43,0.0983,0.0711,"Mueller Streamline 520-533 1"" x 1/2"" x 1/2"" Black Iron Tee"
2-x-1-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-200.125-BSH,0.739,lb,521-986,1.02,0.739,1.38,5.85,0.1744,0.1263,"Mueller Streamline 521-986 2"" x 1-1/4"" Black Iron Bushing"
2-1-2-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-250-ST90,3.432,lb,520-309,4.74,3.432,1.38,42.59,0.1113,0.0806,"Mueller Streamline 520-309 2-1/2"" Black Iron Elbow - 90° (Street)"
2-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-250-TEE,4.586,lb,520-609,6.31,4.586,1.38,41.31,0.1527,0.111,"Mueller Streamline 520-609 2-1/2"" Black Iron Tee"
1-x-1-2-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.050-TEE-G,0.528,lb,510-533,0.73,0.528,1.38,9.68,0.0754,0.0545,"Mueller Streamline 510-533 1"" x 1/2"" x 1/2"" - Galvanized Tee"
2-x-1-1-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.125-BSH-G,0.739,lb,511-986,1.02,0.739,1.38,9.75,0.1046,0.0758,"Mueller Streamline 511-986 2"" x 1-1/4"" - Galvanized Bushing - MPT x FPT"
2-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-250-TEE-G,4.586,lb,510-609,6.31,4.586,1.38,59.93,0.1053,0.0765,"Mueller Streamline 510-609 2-1/2"" - Galvanized Tee"
2-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-200.050-CPL,1.142,lb,521-383,1.57,1.142,1.37,13.27,0.1183,0.0861,"Mueller Streamline 521-383 2"" x 1/2"" Black Iron Coupling"
1-carbon-steel-press-fittings-gas-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-100-90EL-G,0.692,lb,CP02747G,0.95,0.692,1.37,36.95,0.0257,0.0187,"Mueller Streamline CP02747G 1"" Carbon Steel Press Fittings - Gas - 90 Degree Elbow P x P"
2-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-200.050-CPL-G,1.142,lb,511-383,1.57,1.142,1.37,14.92,0.1052,0.0765,"Mueller Streamline 511-383 2"" x 1/2"" - Galvanized Reducing Coupling"
1-1-4-x-1-1-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.100-TEE,1.081,lb,520-765,1.47,1.081,1.36,10.37,0.1418,0.1042,"Mueller Streamline 520-765 1-1/4"" x 1-1/4"" x 1"" Black Iron Tee"
2-x-3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-200.075-CPL,1.154,lb,521-384,1.57,1.154,1.36,11.69,0.1343,0.0987,"Mueller Streamline 521-384 2"" x 3/4"" Black Iron Coupling"
1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-025-TEE-C,0.022,lb,W 04000,0.03,0.022,1.36,11.08,0.0027,0.002,"Mueller Streamline W 04000 1/4"" Copper Sweat Fittings - Tee C x C x C"
1-2-copper-sweat-fittings-union-c-x-c,UPDATE,UPDATE,COPF-050-UNI-C,0.162,lb,W 08003,0.22,0.162,1.36,20.57,0.0107,0.0079,"Mueller Streamline W 08003 1/2"" Copper Sweat Fittings - Union C x C"
1-1-4-x-1-1-4-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-125.100-TEE-G,1.081,lb,510-765,1.47,1.081,1.36,12.42,0.1184,0.087,"Mueller Streamline 510-765 1-1/4"" x 1-1/4"" x 1"" - Galvanized Tee"
2-x-3-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-200.075-CPL-G,1.154,lb,511-384,1.57,1.154,1.36,14.92,0.1052,0.0773,"Mueller Streamline 511-384 2"" x 3/4"" - Galvanized Reducing Coupling"
1-1-2-x-1-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-150.100.100-TEE,1.18,lb,520-755,1.59,1.18,1.35,16.14,0.0985,0.0731,"Mueller Streamline 520-755 1-1/2"" x 1"" x 1"" Black Iron Tee"
3-black-iron-cap,UPDATE,UPDATE,BLIF-300-CAP,2.39,lb,521-410,3.2,2.39,1.34,25.2,0.127,0.0948,"Mueller Streamline 521-410 3"" Black Iron Cap"
3-4-copper-press-fittings-union-pxm-p-x-mpt,UPDATE,UPDATE,CPPF-075-UMA,0.491,lb,PF 11211,0.66,0.491,1.34,45.86,0.0144,0.0107,"Mueller Streamline PF 11211 3/4"" Copper Press Fittings - Union PxM P x MPT"
3-8-copper-sweat-fittings-coupling-dimple-stop-c-x-c,UPDATE,UPDATE,COPF-038-CPL/DS-C,0.015,lb,W 10144,0.02,0.015,1.33,1.72,0.0116,0.0087,"Mueller Streamline W 10144 3/8"" Copper Sweat Fittings - Coupling - Dimple Stop C x C"
3-8-x-1-4-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-038.025-CPL-C,0.015,lb,W 01019,0.02,0.015,1.33,2.85,0.007,0.0053,"Mueller Streamline W 01019 3/8"" x 1/4"" Copper Sweat Fittings - Coupling C x C"
