sku,handle,categoria,preco,peso_efetivo_lb,lambda,perfil_atual,perfil_sugerido
GERB-D511030TC,amalfi-1h-tub-shower-trim-kit-w-diverter-on-spout-treysta-cartridge-1-75gpm-chrome,Tub-Shower Trim Sets,161.19,80.00,0.4963,THS Freight & Oversize,THS Standard - no free shipping
MOEN-8915,moen-m-bition-commercial-4-in-centerset-2-handle-1-5-gpm-bathroom-faucet-with-lever-handles-in-chrome,Centerset Faucets,161.18,5.00,0.0310,THS Standard - no free shipping,General profile
GROH-26.545000,hand-shower-3-sprays-1-75-gpm-in-grohe-chrome,Hand Shower Heads,160.23,5.00,0.0312,THS Standard - no free shipping,General profile
MOEN-T2139EP,moen-eva-chrome-posi-temp-r-tub-shower,Tub-Shower Trim Sets,159.81,80.00,0.5006,THS Freight & Oversize,THS Standard - no free shipping
DELT-RP50841,delta-universal-single-setting-raincan-shower-head-chrome-delt-rp50841,Single-Function Shower Heads,159.03,2.22,0.0140,THS Standard - no free shipping,General profile
MOEN-4792,moen-m-pact-2-handle-3-hole-roman-tub-adjustable-rough-in-valve-1-2-in-cc-connection,Roman Tub Valves,158.88,3.99,0.0251,THS Freight & Oversize,General profile
MOEN-L64625,moen-chateau-chrome-one-handle-bathroom-faucet,Centerset Faucets,158.81,3.35,0.0211,THS Standard - no free shipping,General profile
GROH-26.465000,stick-hand-shower-1-spray-1-75-gpm-in-grohe-chrome,Hand Shower Heads,157.95,5.00,0.0317,THS Standard - no free shipping,General profile
S&DF-G600-SANT-S,6-sanitary-tee-gasketed-sewer-drain-fitting,Sewer & Drain Fittings,157.38,4.85,0.0308,THS Standard - no free shipping,General profile
MOEN-L64621,moen-chateau-4-in-centerset-single-handle-low-arc-bathroom-faucet-with-metal-plastic-drain-assembly-in-chrome-1-2-ips,Centerset Faucets,157.22,3.44,0.0219,THS Standard - no free shipping,General profile
HGRO-26277001,hansgrohe-vernis-blend-showerhead-200-1-jet-1-75-gpm-in-chrome,Rain Heads,156.60,5.00,0.0319,THS Standard - no free shipping,General profile
HGRO-26281001,hansgrohe-vernis-blend-showerhead-230-1-jet-2-5-gpm-in-chrome,Single-Function Shower Heads,156.60,5.00,0.0319,THS Standard - no free shipping,General profile
MOUN-MT202/MB,classic-complete-stopper-strainer-unit-waste-disposer-trim-extended-flange-matte-black,Flanges & Stoppers,156.00,5.00,0.0321,THS Standard - no free shipping,General profile
MOUN-MT202/ORB,classic-complete-stopper-strainer-unit-waste-disposer-trim-extended-flange-oil-rubbed-bronze,Flanges & Stoppers,156.00,5.00,0.0321,THS Standard - no free shipping,General profile
MOEN-T2693NH,moen-voss-posi-temp-tub-and-shower-trim-kit-less-showerhead-in-chrome-valve-not-included,Tub-Shower Trim Sets,155.64,16.12,0.1036,THS Freight & Oversize,THS Standard - no free shipping
ASFC-7500.145.002,monterrey-4-inch-centerset-gooseneck-faucet-with-lever-handles-0-5-gpm-1-9-lpm-chrome,Centerset Faucets,155.49,5.00,0.0322,THS Standard - no free shipping,General profile
MPEX-1671010,mr-pex-1-1-2-x-20-white-potable-pex-a-tubing,Non-Barrier Tubing,154.57,13.14,0.0850,THS Freight & Oversize,THS Standard - no free shipping
DXVF-D35700312.100,contemporary-right-angle-12-shower-arm-in-polished-chrome,Shower Arms,154.35,5.00,0.0324,THS Standard - no free shipping,General profile
ROHL-16295APC,59-metal-shower-hose-in-polished-chrome,Hand Shower Hoses,154.05,1.00,0.0065,THS Standard - no free shipping,General profile
MOEN-6302EPBN,moen-brushed-nickel-one-function-4-3-8-diameter-spray-head-eco-performance-showerhead,Single-Function Shower Heads,152.44,5.00,0.0328,THS Standard - no free shipping,General profile
PASC-50750,7-8-x-50-code-dw-drain-hose,Miscellaneous Tools,151.50,0.37,0.0024,THS Standard - no free shipping,General profile
GERB-41-813-76,gerber-classics-trip-lever-drain-for-roman-tub-with-retaining-ring-chrome,Trip Levers,150.66,80.00,0.5310,THS Freight & Oversize,THS Standard - no free shipping
ASFC-7074.040.002,colony-pro-single-handle-kitchen-faucet-1-5-gpm-5-7-l-min-with-side-spray-chrome,Standard Kitchen Faucets,150.44,5.00,0.0332,THS Standard - no free shipping,General profile
DELT-B510LF,delta-foundations-single-handle-centerset-bathroom-faucet-chrome-delt-b510lf,Centerset Faucets,148.03,3.03,0.0205,THS Standard - no free shipping,General profile
DELT-T13420,delta-classic-monitor-13-series-tub-shower-trim-chrome,Tub-Shower Trim Sets,148.03,4.62,0.0312,THS Freight & Oversize,General profile
MOEN-7425,moen-chateau-low-arc-single-handle-standard-kitchen-faucet-in-chrome,Standard Kitchen Faucets,146.32,4.26,0.0291,THS Standard - no free shipping,General profile
HGRO-28274820,hansgrohe-isiflex-handshower-hose-80-in-brushed-nickel,Hand Shower Hoses,144.00,0.97,0.0067,THS Standard - no free shipping,General profile
MOEN-67425,moen-chateau-single-handle-kitchen-faucet-without-sprayer-low-arc-spout-in-chrome-finish,Standard Kitchen Faucets,143.41,3.71,0.0259,THS Standard - no free shipping,General profile
GERB-D500122BNTC,antioch-1h-tub-shower-trim-kit-w-diverter-on-spout-treysta-cartridge-1-75gpm-brushed-nickel,Tub-Shower Trim Sets,142.56,80.00,0.5612,THS Freight & Oversize,THS Standard - no free shipping
WATT-0274513,3-4-bronze-boiler-pressure-relief-valve-50-psi-threaded-female-connections,Relief Valves,141.84,120.00,0.8460,THS Freight & Oversize,THS Standard - no free shipping
NAVA-NTF66,flaring-tool-3-4-od-max-6-sizes,Refrigeration Tools,139.73,4.50,0.0322,THS Standard - no free shipping,General profile
TOTO-TS221X-CP,toto-connelly-three-way-diverter-trim-with-off-polished-chrome-ts221x-cp,Diverter Valve Trims,139.43,1.70,0.0122,THS Standard - no free shipping,General profile
META-WHS-28-AB,assembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,Water Heater Stands & Straps,139.14,74.60,0.5362,THS Freight & Oversize,THS Standard - no free shipping
MLWV-UPBA-480BH-34,3-4-press-x-hose-low-lead-brass-full-port-ball-valve-200-psi,Press Ball Valves,137.46,3.58,0.0260,THS Standard - no free shipping,General profile
MOEN-T2470BL,moen-genta-lx-matte-black-posi-temp-r-with-diverter-tub-shower-valve-only,Diverter Valves,131.79,80.00,0.6070,THS Freight & Oversize,THS Standard - no free shipping
MOEN-T90331BN,moen-tub-shower-drain-covers-in-brushed-nickel,Shower Drains,131.55,80.00,0.6081,THS Freight & Oversize,THS Standard - no free shipping
META-WHS-2,unassembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,Water Heater Stands & Straps,130.26,74.60,0.5727,THS Freight & Oversize,THS Standard - no free shipping
S&DF-G600-WYE-S,6-wye-gasketed-sewer-drain-fitting,Sewer & Drain Fittings,128.28,4.18,0.0326,THS Standard - no free shipping,General profile
MOEN-L64601,moen-chateau-single-hole-single-handle-bathroom-faucet-in-chrome,Single-Hole Faucets,127.94,2.77,0.0217,THS Standard - no free shipping,General profile
TURB-AH-12,h-12-12-hose,Torches & Gas,127.62,11.00,0.0862,THS Freight & Oversize,THS Standard - no free shipping
DELT-50560-CZ,delta-universal-wall-elbow-for-handshower-champagne-bronze,Supply Outlets,124.86,0.88,0.0070,THS Standard - no free shipping,General profile
DONN-YB5108BN,moen-voss-pivoting-double-post-toilet-paper-holder-in-brushed-nickel,Paper Holders & Brush Sets,123.75,1.20,0.0097,THS Standard - no free shipping,General profile
GERB-40-023,viper-1h-lavatory-faucet-single-hole-mount-w-50-50-touch-down-drain-1-2gpm-chrome,Single-Hole Faucets,121.50,3.90,0.0321,THS Standard - no free shipping,General profile
DELT-50560-SS-PR,delta-universal-wall-elbow-for-handshower-lumicoat-stainless,Supply Outlets,121.43,0.80,0.0066,THS Standard - no free shipping,General profile
MATC-VE-870C,ve-870c-three-handle-tub-shower-trim-slip-on-spout-chrome,Tub-Shower Trim Sets,119.15,80.00,0.6714,THS Freight & Oversize,THS Standard - no free shipping
DELT-B501LF,delta-foundations-single-handle-centerset-bathroom-faucet-chrome,Centerset Faucets,119.07,2.98,0.0250,THS Standard - no free shipping,General profile
HLNK-20245,heatlink-1-1-2-x-20-black-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,118.44,13.14,0.1109,THS Freight & Oversize,THS Standard - no free shipping
MLWV-UPBA-480B-114,1-1-4-low-lead-bronze-full-port-press-ball-valve,Press Ball Valves,116.55,1.86,0.0160,THS Standard - no free shipping,General profile
GERB-D520030LSTC,amalfi-1h-tub-shower-trim-kit-treysta-cartridge-w-diverter-on-spout-less-showerhead-chrome,Tub-Shower Trim Sets,115.02,80.00,0.6955,THS Freight & Oversize,THS Standard - no free shipping
WATT-0382008,3-4-iron-boiler-pressure-relief-valve-30-psi-expanded-outlets,Relief Valves,115.02,120.00,1.0433,THS Freight & Oversize,THS Standard - no free shipping
GERB-D500122TC,antioch-1h-tub-shower-trim-kit-w-diverter-on-spout-treysta-cartridge-1-75gpm-chrome,Tub-Shower Trim Sets,114.21,80.00,0.7005,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1661010,mr-pex-1-1-4-x-20-white-potable-pex-a-tubing,Non-Barrier Tubing,113.34,13.14,0.1159,THS Freight & Oversize,THS Standard - no free shipping
LEGE-101-007NL,1-1-2-press-x-press-legendpress-no-lead-forged-brass-full-port-ball-valve,Press Ball Valves,112.81,3.58,0.0317,THS Standard - no free shipping,General profile
GROH-28.629000,wall-union-with-hand-shower-holder-in-grohe-chrome,Supply Outlets,112.50,0.40,0.0036,THS Standard - no free shipping,General profile
DELT-RP62283,delta-universal-single-setting-raincan-shower-head-chrome-delt-rp62283,Single-Function Shower Heads,110.81,1.37,0.0124,THS Standard - no free shipping,General profile
BRIZ-RP49645NK,brizo-essential-handshower-hose-and-gaskets-luxe-nickel,Hand Shower Hoses,110.55,0.82,0.0074,THS Standard - no free shipping,General profile
DONN-YB5408CH,moen-kingsley-pivoting-double-post-toilet-paper-holder-in-chrome,Paper Holders & Brush Sets,109.88,1.10,0.0100,THS Standard - no free shipping,General profile
HGRO-28274000,hansgrohe-isiflex-handshower-hose-80-in-chrome,Hand Shower Hoses,108.90,0.97,0.0089,THS Standard - no free shipping,General profile
MOEN-4903,moen-chateau-2-handle-high-arc-bar-faucet-in-chrome,Standard Prep/Bar Faucets,108.14,2.39,0.0221,THS Standard - no free shipping,General profile
LIBE-LCU-20ST,condensate-pump-115v-auto-w-safety-switch-20-max-head-with-20-tubing-kit,Drain & Condensate Pumps,107.82,6.00,0.0556,THS Freight & Oversize,THS Standard - no free shipping
LIBE-LCU-SP220S,condensate-pump-shallow-pan-230v-auto-with-safety-switch-20-max-head,Drain & Condensate Pumps,107.82,20.50,0.1901,THS Freight & Oversize,THS Standard - no free shipping
DELT-50570-BL,delta-universal-square-wall-elbow-for-handshower-matte-black,Supply Outlets,107.53,0.45,0.0042,THS Standard - no free shipping,General profile
MOEN-178755,moen-shower-escutcheon-chrome,Escutcheons,106.31,1.50,0.0141,THS Standard - no free shipping,General profile
VEGA-11515,viega-1-1-2-x-20-red-stripe-on-black-o2-barrier-pex-tubing,Barrier Tubing,104.20,20.95,0.2010,THS Freight & Oversize,THS Standard - no free shipping
DELT-50570-SS-PR,delta-universal-square-wall-elbow-for-handshower-lumicoat-stainless,Supply Outlets,101.18,0.45,0.0044,THS Standard - no free shipping,General profile
MPEX-1261010,mr-pex-1-1-4-x-20-red-o2-barrier-pex-a-tubing,Barrier Tubing,98.32,29.20,0.2970,THS Freight & Oversize,THS Standard - no free shipping
MOEN-T2663EP,moen-vichy-single-handle-eco-performance-posi-temp-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,97.60,80.00,0.8197,THS Freight & Oversize,THS Standard - no free shipping
MOEN-T2903EP,moen-gibson-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-chrome-valve-not-included,Tub-Shower Trim Sets,97.60,3.50,0.0359,THS Freight & Oversize,THS Standard - no free shipping
LIBE-LCU-SP20S,condensate-pump-shallow-pan-115v-auto-with-safety-switch-20-max-head,Drain & Condensate Pumps,97.50,4.00,0.0410,THS Freight & Oversize,THS Standard - no free shipping
WEBS-H-80433W,3-4-fip-union-x-press-full-port-ball-valve-single-union-with-hose-drain-lf,Specialty Ball Valves,95.86,3.00,0.0313,THS Standard - no free shipping,General profile
CALE-573409A,backflow-preventer-1-2-sweat-asse-1012,Backflow Preventers,94.17,1.68,0.0178,THS Standard - no free shipping,General profile
ZURN-P1900-SEMI-DOME,abs-loose-set-dome-strainer,Roof Drains,93.75,0.50,0.0053,THS Standard - no free shipping,General profile
GERB-D481116BN,13-s-shaped-showerarm-w-escutcheon-brushed-nickel,Shower Arms,92.34,1.64,0.0178,THS Standard - no free shipping,General profile
LIBE-LCU-20S,condensate-pump-115v-automatic-with-safety-switch-20-max-head,Drain & Condensate Pumps,91.88,5.00,0.0544,THS Freight & Oversize,THS Standard - no free shipping
LEGE-105-006NL,1-1-4-press-x-press-legendpress-no-lead-forged-brass-swing-check-valve,Check Valves,90.95,3.00,0.0330,THS Standard - no free shipping,General profile
GERB-G00GS505S,treysta-tub-shower-valve-horizontal-inputs-with-stops-ips-sweat,Shower and Tub-Shower Valves,90.72,80.00,0.8818,THS Freight & Oversize,THS Standard - no free shipping
HLNK-20235,heatlink-1-1-4-x-20-black-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,89.79,13.14,0.1463,THS Freight & Oversize,THS Standard - no free shipping
MILW-48-00-5542,9-6-tpi-wrecker-with-carbide-teeth-sawzall-blade-for-multi-material-5-pack,Sawzall & Hackzall Blades,89.61,3.00,0.0335,THS Standard - no free shipping,General profile
WEBS-H-81705W,1-1-4-press-full-port-ball-valve-lf,Press Ball Valves,88.09,1.85,0.0210,THS Standard - no free shipping,General profile
SIOU-696-RG1010WF,oxbox-ice-maker-box-with-mini-rester-pex-f1960-fire-rated,Ice Maker,87.86,1.18,0.0134,THS Standard - no free shipping,General profile
JOMA-100-206G,1-1-4-press-full-port-2-piece-press-connection-dezincification-resistant-brass-250-wog,Press Ball Valves,87.33,2.08,0.0238,THS Standard - no free shipping,General profile
DELT-RP46870,delta-shower-arm-16-chrome,Shower Arms,87.30,1.20,0.0137,THS Standard - no free shipping,General profile
ECCO-300706,6-x-10-aluminum-flex-ducting,Galvanized Pipe & Fittings,87.00,2.19,0.0252,THS Freight & Oversize,General profile
VEGA-15056,1-1-4-x-1-union-x-fpt-nickel-plated-brass-ball-valve,Manifolds (Radiant Heating),86.70,2.80,0.0323,THS Standard - no free shipping,General profile
SIOU-696-RG1010XF,oxbox-ice-maker-box-with-mini-rester-pex-f1807-fire-rated,Ice Maker,85.17,1.18,0.0139,THS Standard - no free shipping,General profile
DELT-50560,delta-universal-wall-elbow-for-handshower-chrome,Supply Outlets,84.36,0.88,0.0104,THS Standard - no free shipping,General profile
GERB-D606425BN,8-wall-mount-tub-spout-with-diverter-brushed-nickel,Tub Spouts,83.43,1.46,0.0175,THS Standard - no free shipping,General profile
VEGA-11510,viega-1-1-4-x-20-red-stripe-on-black-o2-barrier-pex-tubing,Barrier Tubing,82.80,17.25,0.2084,THS Freight & Oversize,THS Standard - no free shipping
MOEN-6313BN,moen-single-function-showerhead-in-brushed-nickel,Single-Function Shower Heads,82.74,0.48,0.0058,THS Standard - no free shipping,General profile
BRIZ-RP74751PN,brizo-essential-7-linear-round-wall-mount-shower-arm-and-flange-polished-nickel,Shower Arms,80.53,0.65,0.0081,THS Standard - no free shipping,General profile
OS&B-TR02Q-W,clicker-tub-drain-trim-kit-white,Tub Drains,79.50,80.00,1.0063,THS Freight & Oversize,THS Standard - no free shipping
MILW-48-73-6030,dynamic-knee-pad-with-wide-strap,Knee Pads,75.03,2.34,0.0312,THS Standard - no free shipping,General profile
HONE-VCZAL3100/U,2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow-hone-vczal3100-u,2-Way Zone Valve,74.05,2.25,0.0304,THS Standard - no free shipping,General profile
WATC-38190-BZ,push-pull-tub-drain-kit-rubbed-bronze,Tub Drains,72.36,80.00,1.1056,THS Freight & Oversize,THS Standard - no free shipping
HONE-DS05-101-PEX-LF/U,3-4-in-dn20-pex-connection-pressure-regulating-valve,Pressure Reducing Valves,71.64,2.40,0.0335,THS Standard - no free shipping,General profile
MPEX-1251020,mr-pex-1-x-20-red-o2-barrier-pex-a-tubing,Barrier Tubing,71.59,29.20,0.4079,THS Freight & Oversize,THS Standard - no free shipping
GERB-D481116,13-s-shaped-showerarm-w-escutcheon-chrome,Shower Arms,71.28,1.64,0.0230,THS Standard - no free shipping,General profile
GROH-27.575002,100-hand-shower-4-sprays-2-5-gpm-in-grohe-chrome,Hand Shower Heads,71.11,0.58,0.0082,THS Standard - no free shipping,General profile
PRIE-409-12,12-3-4-x-1-2-mip-sweat-freezless-wall-hydrant-with-vacuum-breaker,Freezeless Hydrants,71.07,1.54,0.0217,THS Standard - no free shipping,General profile
DELT-50570,delta-universal-square-wall-elbow-for-handshower-chrome,Supply Outlets,70.30,0.45,0.0064,THS Standard - no free shipping,General profile
PRIE-409-10,10-3-4-x-1-2-mip-sweat-freezless-wall-hydrant-with-vacuum-breaker,Freezeless Hydrants,68.64,1.50,0.0219,THS Standard - no free shipping,General profile
GERB-G00GS505,treysta-tub-shower-valve-horizontal-inputs-without-stops-ips-sweat,Shower and Tub-Shower Valves,68.04,80.00,1.1758,THS Freight & Oversize,THS Standard - no free shipping
MOEN-CL155748BN,moen-brushed-nickel-handheld-shower-hose,Hand Shower Hoses,67.86,1.20,0.0177,THS Standard - no free shipping,General profile
NORI-CVP-ADAPT-M2M,concentric-male-to-male-adapter,Noritz Parts,67.70,2.19,0.0323,THS Standard - no free shipping,General profile
BRIZ-RP74751PC,brizo-essential-7-linear-round-wall-mount-shower-arm-and-flange-chrome,Shower Arms,67.36,0.65,0.0096,THS Standard - no free shipping,General profile
TRUE-101-EZ,truebro-82192-lav-guard-2-100-series-undersink-piping-cover-with-angle-valve-and-supply-cover-for-tubular-p-traps-china-white,ADA Cover Kits,67.23,2.20,0.0327,THS Standard - no free shipping,General profile
MOEN-T62152EP,moen-brantford-1-handle-eco-shower-trim-kit-in-chrome,Shower Trim Sets,66.18,2.21,0.0334,THS Standard - no free shipping,General profile
BURN-103005-01,ignitor-and-gasket-set-alpine-080-thru-399,US Boiler Parts,65.98,1.00,0.0152,THS Standard - no free shipping,General profile
S&DF-G600-45EL-S,6-1-8-bend-45-elbow-gasketed-sewer-drain-fitting,Sewer & Drain Fittings,65.76,2.21,0.0336,THS Standard - no free shipping,General profile
MLWV-UPBA-480B-100,1-low-lead-bronze-full-port-press-ball-valve,Press Ball Valves,65.75,1.18,0.0179,THS Standard - no free shipping,General profile
T&SB-133X,swivel-gooseneck-5-11-16-spread-10-3-8-height-6-3-8-clearance,Faucet & Tap Parts & Accessories,65.73,1.00,0.0152,THS Standard - no free shipping,General profile
MILW-48-22-7213,10l-aluminum-pipe-wrench-with-powerlength-handle,Wrenches,65.53,2.20,0.0336,THS Standard - no free shipping,General profile
MILW-48-32-4096,55-piece-shockwave-impact-duty-driver-bit-set,Bit Sets,64.28,2.12,0.0330,THS Standard - no free shipping,General profile
PRIE-409-06,6-3-4-x-1-2-mip-sweat-freezless-wall-hydrant-with-vacuum-breaker,Freezeless Hydrants,64.00,1.33,0.0208,THS Standard - no free shipping,General profile
BRAS-CR1900DVX-C,1-2-x-3-8-x-1-4-dual-angle-stop-comp-chrome,Stops,63.30,0.40,0.0063,THS Standard - no free shipping,General profile
BRAS-CR1901DVX-C,1-2-x-3-8-x-3-8-dual-angle-stop-comp-chrome,Stops,63.30,0.40,0.0063,THS Standard - no free shipping,General profile
GERB-D606425,8-wall-mount-tub-spout-with-diverter-chrome,Tub Spouts,63.18,1.46,0.0231,THS Standard - no free shipping,General profile
DELT-RP1991,delta-stem-unit-seats-1600-series,Faucet & Tap Parts & Accessories,62.86,0.20,0.0032,THS Standard - no free shipping,General profile
BRAS-KTCR1900DVX-R,1-2-x-3-8-x-1-4-straight-stop-comp-rough-brass,Stops,62.73,0.41,0.0065,THS Standard - no free shipping,General profile
ARRO-485-06LKLF,self-draining-anti-siphon-frost-proof-hydrant-1-2-fip-or-3-4-mip-loose-key-lead-free-6,Freezeless Hydrants,62.41,1.94,0.0311,THS Standard - no free shipping,General profile
GERB-D481027BN,15-right-angle-showerarm-w-escutcheon-brushed-nickel,Shower Arms,62.37,1.09,0.0175,THS Standard - no free shipping,General profile
APOL-77CLF-243-01A,apollo-bronze-2-piece-full-port-ball-valve-with-ss-ball-stem-standard-configuration-1-2-2-x-solder,Sweat Ball Valves,62.19,2.06,0.0331,THS Standard - no free shipping,General profile
ARRO-485-08LF,self-draining-anti-siphon-frost-proof-hydrant-1-2-fip-or-3-4-mip-lead-free-8,Freezeless Hydrants,61.74,2.04,0.0330,THS Standard - no free shipping,General profile
MILW-48-22-7210,10-aluminum-pipe-wrench,Wrenches,60.72,2.00,0.0329,THS Standard - no free shipping,General profile
DELT-U495D-60-PK,delta-universal-60-80-handshower-hose-chrome,Hand Shower Hoses,60.68,0.95,0.0157,THS Standard - no free shipping,General profile
ARRO-485-06LF,self-draining-anti-siphon-frost-proof-hydrant-1-2-fip-or-3-4-mip-lead-free-6,Freezeless Hydrants,60.36,1.88,0.0311,THS Standard - no free shipping,General profile
GROH-45.025000,shank-mounting-kit-m28-x-1-5mm-in-grohe-chrome,Faucet & Tap Parts & Accessories,60.30,2.00,0.0332,THS Standard - no free shipping,General profile
PRIE-408-06,6-1-2-mip-sweat-freezless-wall-hydrant-with-vacuum-breaker,Freezeless Hydrants,59.67,1.33,0.0223,THS Standard - no free shipping,General profile
PASC-9220,knee-pads-w-hard-poly-cap,Miscellaneous Tools,59.43,2.00,0.0337,THS Standard - no free shipping,General profile
JOMA-150-106G,1-1-4-fip-full-port-2-piece-threaded-connection-600-wog,FIP Ball Valves,59.39,1.65,0.0278,THS Standard - no free shipping,General profile
ARRO-425-10QTLF,anti-siphon-frost-proof-hydrant-1-2-fip-or-3-4-mip-quickturn-lead-free-10,Freezeless Hydrants,58.98,1.96,0.0332,THS Standard - no free shipping,General profile
WEBS-H-81704W,1-press-full-port-ball-valve-lf,Press Ball Valves,58.76,1.17,0.0199,THS Standard - no free shipping,General profile
BURN-105883-01,flue-temperature-sensor-080-180-mbh-k2wt,US Boiler Parts,58.70,1.00,0.0170,THS Standard - no free shipping,General profile
MILW-49-56-0744,4-1-4-hole-dozer-with-carbide-teeth-hole-saw,Carbide Hole Saws,58.28,1.18,0.0202,THS Standard - no free shipping,General profile
MILL-76085,compression-tape-1-x-12-ft-roll,"Water Treatment, Anti-Freeze & Condensate",57.69,0.35,0.0061,THS Freight & Oversize,General profile
ARRO-425-08QTLF,anti-siphon-frost-proof-hydrant-1-2-fip-or-3-4-mip-quickturn-lead-free-8,Freezeless Hydrants,57.61,1.83,0.0318,THS Standard - no free shipping,General profile
JOMA-150-116G,1-1-4-sweat-full-port-2-piece-solder-connectiopn-600-wog,Sweat Ball Valves,57.18,1.55,0.0271,THS Standard - no free shipping,General profile
GERB-D606225BN,5-1-2-wall-mount-tub-spout-with-diverter-brushed-nickel,Tub Spouts,56.70,1.11,0.0196,THS Standard - no free shipping,General profile
MOEN-A725,moen-drop-ell-in-chrome,Supply Outlets,56.25,0.25,0.0044,THS Standard - no free shipping,General profile
MLWV-BA-400-A100,1-fip-x-fip-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,FIP Ball Valves,54.86,1.83,0.0334,THS Standard - no free shipping,General profile
BURN-107862-01,air-proving-switch-080b-180b-k2wt-phtm-x-c-shdw-ghe,US Boiler Parts,54.82,1.00,0.0182,THS Standard - no free shipping,General profile
MLWV-BA-475B-100,1-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,FIP Ball Valves,54.48,1.18,0.0217,THS Standard - no free shipping,General profile
BRAS-R1700DVX-R,1-2-x-3-8-x-1-4-dual-angle-stop-fip-x-comp-x-comp-rough-brass,Stops,53.67,0.40,0.0075,THS Standard - no free shipping,General profile
HGRO-27411003,hansgrohe-showerarm-standard-6-in-chrome,Shower Arms,53.10,0.66,0.0124,THS Standard - no free shipping,General profile
DEAR-ADA101,dearborn-safety-series-brass-plastic-p-trap-full-cover-kit-straight-grid-drain-two-supply-line-and-valve-covers,ADA Cover Kits,53.05,0.57,0.0107,THS Standard - no free shipping,General profile
DELT-U4980-PK,delta-universal-wall-supply-elbow-for-handshower-chrome,Supply Outlets,52.95,0.58,0.0110,THS Standard - no free shipping,General profile
DAHL-621-01-04-PK2,1-2-x-1-2-mip-sweat-x-hose-thread-boiler-drain,Boiler Drains,52.66,120.00,2.2788,THS Freight & Oversize,THS Standard - no free shipping
MILW-48-22-7412,12-adjustable-wrench,Wrenches,51.42,1.65,0.0321,THS Standard - no free shipping,General profile
BRAS-CR1900DVX-R,1-2-x-3-8-x-1-4-dual-angle-stop-comp-rough-brass,Stops,51.16,0.43,0.0084,THS Standard - no free shipping,General profile
JOMA-100-205G,1-press-full-port-2-piece-press-connection-dezincification-resistant-brass-250-wog,Press Ball Valves,50.88,1.63,0.0320,THS Standard - no free shipping,General profile
ARRO-455-08LF,standard-frost-proof-hydrant-1-2-fip-or-3-4-mip-lead-free-8,Freezeless Hydrants,50.76,1.67,0.0329,THS Standard - no free shipping,General profile
ACCG-CG45,white-convenient-pre-packaged-kit-includes-three-48x-4-5-wide-channel-bases-and-covers-12-two-4-5-couplers-a-4-5-wall-inlet-a-4-5-end-cap-a-4-5-flat-90-elbow-complete-with-tie-in-clips-and-cam-screws,Equipment Installation & Mounting,50.16,7.00,0.1396,THS Freight & Oversize,THS Standard - no free shipping
ARRO-455-06LF,standard-frost-proof-hydrant-1-2-fip-or-3-4-mip-lead-free-6,Freezeless Hydrants,49.38,1.54,0.0312,THS Standard - no free shipping,General profile
MPEX-1651010,mr-pex-1-x-20-white-potable-pex-a-tubing,Non-Barrier Tubing,49.23,13.14,0.2669,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1751010,mr-pex-1-x-20-red-potable-pex-a-tubing,Non-Barrier Tubing,49.23,13.14,0.2669,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1851010,mr-pex-1-x-20-blue-potable-pex-a-tubing,Non-Barrier Tubing,49.23,13.14,0.2669,THS Freight & Oversize,THS Standard - no free shipping
MLWV-BA-100-A34,3-4-fip-x-fip-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,FIP Ball Valves,49.20,0.99,0.0201,THS Standard - no free shipping,General profile
MLWV-UPBA-480B-34,3-4-low-lead-bronze-full-port-press-ball-valve,Press Ball Valves,48.81,0.82,0.0168,THS Standard - no free shipping,General profile
WEBS-H-50612W,1-2-sweat-full-port-ball-valve-with-hose-drain-lf,Sweat Ball Valves,48.81,0.83,0.0170,THS Standard - no free shipping,General profile
MOEN-226651,moen-12-in-shower-arm-in-chrome,Shower Arms,48.07,0.98,0.0204,THS Standard - no free shipping,General profile
GERB-D481027,15-right-angle-showerarm-w-escutcheon-chrome,Shower Arms,47.79,1.09,0.0228,THS Standard - no free shipping,General profile
WATC-617-PP-ABS-CP,push-pull-half-kit-with-drain-tee-abs-chrome,Tub Drains,47.70,1.45,0.0304,THS Standard - no free shipping,General profile
T&SB-B-WH4H,4-wrist-action-handle-hot-index-screw,Faucet & Tap Parts & Accessories,47.45,0.25,0.0053,THS Standard - no free shipping,General profile
IPSC-87041,32-id-x-34-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,47.31,4.20,0.0888,THS Freight & Oversize,THS Standard - no free shipping
