sku,variant_id,titulo,preco_usd,peso_real_lb,peso_dimensional_lb,peso_efetivo_lb,lambda,perfil_ANTES,perfil_DEPOIS,motivo
MOEN-T3003EP,44350989074535,Moen T3003EP Gibson 1-Handle Posi-Temp Rain Shower Tub and Shower Faucet Trim Kit in Chrome (Valve Not Included),143.7,4.2,5.07,5.07,0.0353,General profile,THS Standard - no free shipping,reprova por volume
RBRN-MC1240D4FPR,44351359778919,"Robern MC1240D4FPR 12"" x 4"" x 40"", 10-1/2"" x 4"" x 38-5/8"" Recessed Rough-In, Flat/Plain Door, Right Hand Hinge, Satin Anodized Aluminum, Surface Mount",1754.1,1.0,125.18,125.18,0.0714,General profile,THS Standard - no free shipping,reprova por volume
TOTO-LT191G-01,44353395425383,"TOTO® Rectangular Undermount Bathroom Sink with CEFIONTECT, Cotton White - LT191G#01",450.84,24.8,,24.8,0.055,General profile,THS Standard - no free shipping,reprova por peso
CTRO-ISVL082,44350395514983,"Centrotherm 8"" x 24"" - PolyPro Single Wall Vent Pipe",191.9,3.45,15.42,15.42,0.0804,General profile,THS Standard - no free shipping,reprova por volume
FLUI-642,44350699044967,"Fluidmaster 642 Perfect Fit Toilet Tank Lever, Brushed Nickel",13.75,0.4,0.65,0.65,0.0473,General profile,THS Standard - no free shipping,reprova por volume
CHER-271020,44350500569191,Cherne® 271020 2 in. Long Test-Ball® Plug,100.44,1.1,12.43,12.43,0.1238,General profile,THS Standard - no free shipping,reprova por volume
SIOU-652-AS,44351390253159,"Sioux Chief 652-AS 1/2"" Male Sweat Hydra-Rester ASSE-A",28.76,0.7,3.12,3.12,0.1085,General profile,THS Standard - no free shipping,reprova por volume
AMST-0356.015.020,44350231707751,American Standard 0356015.020 Lucerne Wall-Hung Sink With 8-Inch Widespread White,100.69,43.9,44.19,44.19,0.4389,General profile,THS Standard - no free shipping,reprova por peso
RBRN-RC1620D4FP1,44351359877223,"Robern K-RC1620D4FP1 16"" x 4"" x 20"", Satin, Anodized Aluminum, Flat/Polished Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",419.65,1.0,20.85,20.85,0.0497,General profile,THS Standard - no free shipping,reprova por volume
SUNT-SUS-5,44353373667431,"Suntemp SUS-5 5' Baseboard Heater Complete - 700 Series - 3/4"" Element",116.62,12.5,,12.5,0.1072,General profile,THS Standard - no free shipping,reprova por peso
SIOU-696-RG1010XF,44351394709607,Sioux Chief 696RG1010XF OxBox Ice Maker Box with Mini-Rester PEX F1807 Fire Rated,85.17,1.18,21.07,21.07,0.2474,General profile,THS Standard - no free shipping,reprova por volume
SIOU-660-HB,44351390842983,Sioux Chief 660-HB Hose Tee Mini-Rester,23.89,0.46,2.51,2.51,0.1051,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T3002EP,44350989008999,Moen T3002EP Gibson 1-Handle Posi-Temp Rainshower Shower Only Faucet Trim Kit in Chrome (Valve Not Included),110.97,3.2,4.99,4.99,0.045,General profile,THS Standard - no free shipping,reprova por volume
DURA-0857910000,44350673059943,Duravit 0857910000 1930 series Pedestal in White,287.62,28.0,29.91,29.91,0.104,General profile,THS Standard - no free shipping,reprova por peso
BRAS-G2PS09X-C,44350359339111,"BrassCraft G2PS09X C 1/2"" x 1/4"" Angle Stop - Push x Comp, Chrome",20.05,0.25,4.19,4.19,0.209,General profile,THS Standard - no free shipping,reprova por volume
BRAS-CR1900DVX-R,44350356258919,"BrassCraft CR1900DVX R 1/2"" x 3/8"" x 1/4"" Dual Angle Stop - Comp, Rough Brass",51.16,0.43,3.87,3.87,0.0756,General profile,THS Standard - no free shipping,reprova por volume
DAYT-D-23319-3,44350519443559,"Dayton D233193 Stainless Steel 33"" x 19"" x 6-7/16"" 3-Hole Equal Double Bowl Drop-in Sink",438.0,13.0,41.54,41.54,0.0948,General profile,THS Standard - no free shipping,reprova por volume
SIOU-821-2AQRB,44351398936679,"Sioux Chief 821-2AQRB ABS 2"" Shower Drain, Oil Rubbed Bronze Square Grate",82.88,0.88,6.98,6.98,0.0842,General profile,THS Standard - no free shipping,reprova por volume
TOTO-THU773-BN-A,44353398931559,"Toto THU773#BN-A Trip Lever Handle, Brushed Nickel",78.11,0.63,6.58,6.58,0.0842,General profile,THS Standard - no free shipping,reprova por volume
MOEN-52012,44350972756071,Moen 52012 Vacuum Breaker Service Kit Chrome,23.73,0.8,,0.8,0.0337,General profile,THS Standard - no free shipping,reprova por peso
FRAN-PKG160LD-ONY,44350702551143,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Double Bowl Kitchen Sink - PKG160LD-ONY,910.46,40.0,,40.0,0.0439,General profile,THS Standard - no free shipping,reprova por peso
GERB-D495002,44350717231207,"Gerber D495002 1 1/4"" Metal Pop-Up Drain Assembly with Lift Chrome",37.26,0.7,17.4,17.4,0.467,General profile,THS Standard - no free shipping,reprova por volume
SIOU-672X06C0,44351391203431,"Sioux Chief 672X06C0 PEX Manifold 1"" CPVC Trunk with 6 1/2"" ports",49.03,1.07,5.16,5.16,0.1052,General profile,THS Standard - no free shipping,reprova por volume
OATE-12805,44351216746599,Oatey® 12805 1/2 in. - 2-1/2 in. Sideflash 8.5 in.-8 in. Base Vertical Flashing,8.62,0.25,0.36,0.36,0.0418,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T470,44350989959271,Moen T470 Chateau Standard Valve Trim in Chrome,39.86,0.83,1.57,1.57,0.0394,General profile,THS Standard - no free shipping,reprova por volume
ELKA-EDFP217C,44350690328679,Elkay EDFP217C Soft Sides Bi-Level Fountain Non-Filtered Non-Refrigerated Stainless,3310.95,42.0,133.55,133.55,0.0403,General profile,THS Standard - no free shipping,reprova por volume
SIOU-842-4LNR,44351402704999,"Sioux Chief 842-4LNR 4"" Top Only with Round Grate 5-1/2"" Nickel Bronze Finish",84.31,2.06,11.36,11.36,0.1347,General profile,THS Standard - no free shipping,reprova por volume
TOTO-SS234-01,44353396834407,"TOTO® SoftClose® Ultra Slim, Non-Slamming Toilet Seat and Lid, Cotton White - SS234#01",260.52,5.8,11.67,11.67,0.0448,General profile,THS Standard - no free shipping,reprova por volume
MOEN-920-003,44350979276903,Moen 920-003 Flo by Moen 25' Extension Cable,20.73,0.6,0.72,0.72,0.0347,General profile,THS Standard - no free shipping,reprova por volume
DELT-300LF-WF,44350529110119,Delta 300 Series Single Handle Kitchen Faucet with Integral Spray Chrome 300LF-WF,196.63,3.71,6.93,6.93,0.0352,General profile,THS Standard - no free shipping,reprova por volume
GERB-D481027,44350715166823,"Gerber D481027 15"" Right Angle Showerarm w/ Escutcheon Chrome",47.79,1.09,18.03,18.03,0.3773,General profile,THS Standard - no free shipping,reprova por volume
SIOU-863-U,44351404015719,Sioux Chief 863-U Aluminum Dome Bottom Strainer,22.3,0.32,2.05,2.05,0.0919,General profile,THS Standard - no free shipping,reprova por volume
SIOU-644WG32,44351388090471,"Sioux Chief 644WG32 3/4"" x 1/2"" PEX F1960 Female Sweat Adapter Brass",9.12,0.05,0.7,0.7,0.0768,General profile,THS Standard - no free shipping,reprova por volume
SIOU-652-A,44351390220391,"Sioux Chief 652-A 1/2"" MIP Hydra-Rester ASSE-A",26.73,0.65,2.51,2.51,0.0939,General profile,THS Standard - no free shipping,reprova por volume
SIOU-630VG248,44351384584295,"Sioux Chief 630VG248 1/2"" x 3-1/2"" x 8-1/2"" Pre Stainless Steel Stub Out Elbow",14.14,0.26,4.71,4.71,0.3331,General profile,THS Standard - no free shipping,reprova por volume
AMST-0124.024.020,44350231183463,"American Standard 0124024.020 Comrade® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger Included White",150.63,40.0,43.21,43.21,0.2869,General profile,THS Standard - no free shipping,reprova por peso
DELT-400LF-WF,44350532649063,Delta 400 Series Single Handle Kitchen Faucet with Spray Chrome 400LF-WF,202.42,3.82,8.05,8.05,0.0398,General profile,THS Standard - no free shipping,reprova por volume
AMST-0355.012.020,44350231543911,American Standard 0355012.020 Lucerne Wall-Hung Sink With 4-Inch Centerset White,100.69,43.9,44.19,44.19,0.4389,General profile,THS Standard - no free shipping,reprova por peso
DELT-140-DST,44350528520295,Delta 140-DST Collins™ Single Handle Kitchen Faucet Chrome,190.83,3.47,7.13,7.13,0.0374,General profile,THS Standard - no free shipping,reprova por volume
MOEN-1248,44350968135783,Moen Cartridge 1248,22.07,0.81,,0.81,0.0367,General profile,THS Standard - no free shipping,reprova por peso
TOTO-LT931-01,44353395753063,"TOTO® Lloyd® Rectangular Undermount Bathroom Sink, Cotton White - LT931#01",553.02,25.0,35.4,35.4,0.064,General profile,THS Standard - no free shipping,reprova por peso
DAYT-DSE-23322-4,44350519804007,"Dayton DSE233224 Stainless Steel 33"" x 22"" x 8-1/16"" 4-Hole Equal Double Bowl Drop-in Sink",712.5,18.25,65.47,65.47,0.0919,General profile,THS Standard - no free shipping,reprova por volume
FRAN-PKG11031ONY,44350702387303,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Single Bowl Kitchen Sink - PKG11031ONY,919.25,38.0,,38.0,0.0413,General profile,THS Standard - no free shipping,reprova por peso
AMST-0497.300.020,44350232592487,American Standard 0497300.020 Ovalyn Large Under Counter Sink With Glazed Underside White,135.65,23.0,23.72,23.72,0.1749,General profile,THS Standard - no free shipping,reprova por peso
DXVF-D20030008.415,44350685839463,"DXV D20030008.415 Fitzgerald® 24"" Sink Top, 3-Hole in CANVAS WHITE",470.4,42.3,,42.3,0.0899,General profile,THS Standard - no free shipping,reprova por peso
FLUI-12IM120,44350698422375,"Fluidmaster 12IM120 1/4"" x 1/4"" x 120"" COMP x COMP - Ice Maker Supply - No-Burst",32.58,0.56,4.6,4.6,0.1412,General profile,THS Standard - no free shipping,reprova por volume
SIOU-672X04C0,44351391137895,"Sioux Chief 672X04C0 PEX Manifold 1"" CPVC Trunk with 4 1/2"" ports",39.83,0.84,3.16,3.16,0.0793,General profile,THS Standard - no free shipping,reprova por volume
ZOEL-30-0020,44353498808423,"Zoeller Pump 30-0020 2"" COMPRESSION UNICHECK",111.91,1.7,17.0,17.0,0.1519,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T8360,44350991433831,"Moen T8360 Commercial 3-Function Transfer Valve Trim Kit Without Valve, Lever Handle in Chrome",54.22,1.27,1.94,1.94,0.0358,General profile,THS Standard - no free shipping,reprova por volume
SIOU-672X1240,44351391236199,"Sioux Chief 1"" Male Sweat Manifold 4 Port 1/2"" F1960 672X1240",70.52,1.77,12.58,12.58,0.1784,General profile,THS Standard - no free shipping,reprova por volume
ELKA-DLR-2522-10-3,44350690197607,"Elkay DLR2522103 Lustertone Classic Stainless Steel 25"" x 22"" x 10-3/8"" 3-Hole Single Bowl Drop-in Sink",1186.83,18.5,72.52,72.52,0.0611,General profile,THS Standard - no free shipping,reprova por volume
GERB-D606425,44350717788263,"Gerber D606425 8"" Wall Mount Tub Spout with Diverter Chrome",63.18,1.46,25.48,25.48,0.4033,General profile,THS Standard - no free shipping,reprova por volume
ELKA-ELUHAD-2115-55,44350690623591,"Elkay ELUHAD211555 Lustertone Classic Stainless Steel 23-1/2"" x 18-1/4"" x 5-3/8"" Single Bowl Undermount ADA Sink",594.88,15.0,55.13,55.13,0.0927,General profile,THS Standard - no free shipping,reprova por volume
ZOEL-10-0763,44353498546279,"Zoeller Pump FLOOD ALERT® HIGH WATER ALARM - Power 3- AAA batteries, Optional AC power adapter capability, requires Class 2 transformer, type B plug",41.38,0.25,4.57,4.57,0.1104,General profile,THS Standard - no free shipping,reprova por volume
ZOEL-30-0021,44353498841191,"Zoeller Pump 30-0021 2"" UNICHECK PLASTIC CHECK VALVE",54.55,1.6,7.83,7.83,0.1435,General profile,THS Standard - no free shipping,reprova por volume
SIOU-847-2,44351403032679,"Sioux Chief 847-2 3"" Snap Drain Cover 2"" Pipe Size",8.21,0.16,1.91,1.91,0.2326,General profile,THS Standard - no free shipping,reprova por volume
SIOU-840-20ANR,44351402508391,"Sioux Chief 840-20ANR 2"" Floor Drain ABS",43.91,0.83,4.74,4.74,0.1079,General profile,THS Standard - no free shipping,reprova por volume
MOEN-159060,44350969053287,Moen 159060 Hose guide,24.75,0.7,7.97,7.97,0.322,General profile,THS Standard - no free shipping,reprova por volume
AMST-0955.001EC.020,44350236393575,American Standard 0955001EC.020 Murro® Wall-Hung EverClean® Sink With Center Hole Only White,217.22,46.1,,46.1,0.2122,General profile,THS Standard - no free shipping,reprova por peso
SIOU-656-ES,44351390646375,"Sioux Chief 656-ES 1"" Male Sweat Hydra-Rester ASSE-E",144.23,0.59,5.16,5.16,0.0358,General profile,THS Standard - no free shipping,reprova por volume
SIOU-869-2A,44351404671079,"Sioux Chief 869-2A 2"" ABS Backwater Valve",33.26,0.63,7.6,7.6,0.2285,General profile,THS Standard - no free shipping,reprova por volume
HGRO-04186003,44350754848871,"hansgrohe 04186003 Showerarm Standard 9"" in Chrome",108.9,3.74,,3.74,0.0343,General profile,THS Standard - no free shipping,reprova por peso
GERB-D205012SS,44350712119399,Gerber D205012SS Melrose Wall Mount Pot Filler 2.2gpm Stainless Steel,440.64,6.54,15.04,15.04,0.0341,General profile,THS Standard - no free shipping,reprova por volume
DELT-400-DST,44350532550759,Delta 400 Series Single Handle Kitchen Faucet with Spray Chrome 400-DST,187.52,3.9,7.75,7.75,0.0413,General profile,THS Standard - no free shipping,reprova por volume
DIAB-DHS3625,44350600544359,"Diablo DHS3625 3-5/8"" Bi-Metal Hole Saw",27.12,0.49,1.09,1.09,0.0402,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T2471,44350987632743,Moen T2471 Genta LX 1-Handle Posi-Temp Valve Trim Kit in Chrome (Valve Not Included),56.86,1.65,2.04,2.04,0.0359,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T5152EP,44350990090343,Moen T5152EP Seena Chrome Posi-Temp(R) shower only,54.22,1.0,3.0,3.0,0.0553,General profile,THS Standard - no free shipping,reprova por volume
SIOU-521-728,44351377113191,"Sioux Chief 521-728 Carrier Bracket 1"" CTS notch for prefab",17.92,0.48,0.95,0.95,0.053,General profile,THS Standard - no free shipping,reprova por volume
TOTO-TSU08W.10,44353399586919,"TOTO® Unifit 10"" Rough-In Outlet Adapter Trapway for Select Toilets - TSU08W.10",114.56,0.63,5.26,5.26,0.0459,General profile,THS Standard - no free shipping,reprova por volume
SIOU-879-20,44351406866535,"Sioux Chief 879-20 2"" ABS C/O Plug with Threaded Brass Insert",2.06,0.06,1.37,1.37,0.665,General profile,THS Standard - no free shipping,reprova por volume
GVLF-7061-500.400-PNTD,44350742986855,"Gruvlok 5"" x 4"" Tee (Reducing) - Painted - GR x GR x GR",2118.16,16.75,208.23,208.23,0.0983,General profile,THS Standard - no free shipping,reprova por volume
BRAS-SCR19X-C,44350360944743,"BrassCraft SCR19X C 1/2"" x 3/8"" Loose Key Angle Stop - Comp x Comp, Chrome",21.96,0.3,4.19,4.19,0.1908,General profile,THS Standard - no free shipping,reprova por volume
RECT-97052,44351290605671,"RectorSeal Hubsett 97052 Test Coupling, Holds Pressure, No Tools Needed, Plumbing, 4""",45.44,0.76,2.55,2.55,0.0561,General profile,THS Standard - no free shipping,reprova por volume
OATE-12806,44351216812135,Oatey® 12806 3 in. - 6 in. Sideflash 12.5 in.-12 in. Base Vertical Flashing,10.73,0.25,0.42,0.42,0.0391,General profile,THS Standard - no free shipping,reprova por volume
MILW-48-22-2881,44350922948711,Milwaukee Tools 48-22-2881 13in1 Cushion Grip Screwdriver with Schrader Bit,33.67,9.84,,9.84,0.2922,General profile,THS Standard - no free shipping,reprova por peso
GERB-D606225BN,44350717722727,"Gerber D606225BN 5 1/2"" Wall Mount Tub Spout with Diverter Brushed Nickel",56.7,1.11,17.9,17.9,0.3157,General profile,THS Standard - no free shipping,reprova por volume
DIAB-DHS11SLD,44350596710503,Diablo DHS11SLD 11 pc Bi-Metal Hole Saw Set,210.99,0.49,8.32,8.32,0.0394,General profile,THS Standard - no free shipping,reprova por volume
DIAB-DHS4125,44350605394023,"Diablo DHS4125 4-1/8"" Bi-Metal Hole Saw",36.3,0.49,1.41,1.41,0.0388,General profile,THS Standard - no free shipping,reprova por volume
TOTO-TSU08W.12,44353399652455,"Toto TSU08W.12 12"" Unifit Rough-In - for Aquia IV",114.56,0.63,6.24,6.24,0.0545,General profile,THS Standard - no free shipping,reprova por volume
ELKA-DLR-3319-10-3,44350690263143,"Elkay DLR3319103 Lustertone Classic Stainless Steel 33"" x 19-1/2"" x 10-1/8"" 3-Hole Equal Double Bowl Drop-in Sink",1631.34,23.0,89.22,89.22,0.0547,General profile,THS Standard - no free shipping,reprova por volume
ZURN-EZC-PV3,44353499791463,"Zurn EZC-PV3 EZC PVC Floor Drain Cleanout, 5"" Round Nickel Bronze Head, with 3"" x 4"" Solvent Weld Outlet",93.75,3.86,,3.86,0.0412,General profile,THS Standard - no free shipping,reprova por peso
MILW-48-28-1060,44350931239015,"Milwaukee Tools 48-28-1060 24"" x 7/16"" Universal QUIK-LOK™ Extension",45.0,1.75,,1.75,0.0389,General profile,THS Standard - no free shipping,reprova por peso
MOEN-62390,44350974361703,Moen 62390 M-Pact Posi-Temp Tub and Shower Valve IPS Bulk,145.8,1.86,12.69,12.69,0.087,General profile,THS Standard - no free shipping,reprova por volume
MOEN-TL470,44350992613479,Moen TL470 Chateau Standard Valve Trim in Chrome,39.86,1.41,1.57,1.57,0.0394,General profile,THS Standard - no free shipping,reprova por peso
BRAS-CR1901DVX-C,44350356291687,"BrassCraft CR1901DVX C 1/2"" x 3/8"" x 3/8"" Dual Angle Stop - Comp, Chrome",63.3,0.4,3.87,3.87,0.0611,General profile,THS Standard - no free shipping,reprova por volume
SIOU-832-2PNR,44351400968295,"Sioux Chief 832-2PNR 2"" Solvent Weld FinishLine Complete Floor Drain with 5-1/2"" Round Grate Nickel Bronze Finish PVC Body",90.6,1.98,4.96,4.96,0.0547,General profile,THS Standard - no free shipping,reprova por volume
AMST-0641.001.020,44350234886247,American Standard 0641001.020 Boulevard® Center Hole Only Pedestal Sink Top White,236.35,53.3,,53.3,0.2255,General profile,THS Standard - no free shipping,reprova por peso
RBRN-RC2026D4FP1,44351360237671,"Robern K-RC2026D4FP1 20"" x 4"" x 26"", Satin, Anodized Aluminum, Flat/Polished Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",821.55,25.0,32.13,32.13,0.0391,General profile,THS Standard - no free shipping,reprova por volume
SUNT-SUS-8,44353373896807,"Suntemp SUS-8 8' Baseboard Heater Complete - 700 Series - 3/4"" Element",186.6,20.0,,20.0,0.1072,General profile,THS Standard - no free shipping,reprova por peso
ELKA-LRAD-2521-65-1,44350691836007,"Elkay LRAD2521651 Lustertone Classic Stainless Steel 25"" x 21-1/4"" x 6-1/2"" Single Bowl Drop-in ADA Sink",982.37,15.0,55.13,55.13,0.0561,General profile,THS Standard - no free shipping,reprova por volume
AMST-0475.047.020,44350232199271,American Standard 0475047.020 Aqualyn® Drop-In Sink With Center Hole Only White,86.55,23.34,,23.34,0.2697,General profile,THS Standard - no free shipping,reprova por peso
SIOU-645XC4,44351388680295,"Sioux Chief 645XC4 1"" PEX F1807 to CPVC Adapter",18.39,0.3,1.37,1.37,0.0745,General profile,THS Standard - no free shipping,reprova por volume
ELKA-MPW101,44350692294759,Elkay MPW101 In-wall Mounting Plate for Single-station Non-refrigerated Fountains,278.95,9.9,,9.9,0.0355,General profile,THS Standard - no free shipping,reprova por peso
CHER-271039,44350500962407,Cherne® 271039 3-in. Long Test-Ball® Plug,125.31,1.88,12.43,12.43,0.0992,General profile,THS Standard - no free shipping,reprova por volume
DIAB-DHS2563,44350598807655,"Diablo DHS2563 2-9/16"" Bi-Metal Hole Saw",20.34,0.49,0.69,0.69,0.0339,General profile,THS Standard - no free shipping,reprova por volume
SIOU-653-B,44351390351463,"Sioux Chief 653-B 3/4"" Hydra-Restor Threaded",31.29,0.94,2.51,2.51,0.0802,General profile,THS Standard - no free shipping,reprova por volume
WOOD-RK-ADJ-PRV,44353497759847,Woodford RK-ADJ-PRV Adjustable Operating Rod 4-14,46.79,2.0,,2.0,0.0427,General profile,THS Standard - no free shipping,reprova por peso
DURA-0330480017,44350672470119,"Duravit 0330480017 Vero 19 1/8"" Rectangular Undermount Sink in White with Overflow",424.12,1.0,18.35,18.35,0.0433,General profile,THS Standard - no free shipping,reprova por volume
DAYT-GE-12521-R3,44350520000615,"Dayton GE12521R3 Stainless Steel 25"" x 21-1/4"" x 5-3/8"" 3-Hole Single Bowl Drop-in Sink with Right Drain",459.0,9.9,36.88,36.88,0.0803,General profile,THS Standard - no free shipping,reprova por volume
SIOU-822-2PNR,44351400509543,"Sioux Chief 822-2PNR 2"" Round Grate Floor Drain 5-7/8"" Nickel Bronze PVC",80.73,1.98,11.36,11.36,0.1407,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T62153EP,44350990844007,Moen T62153EP Brantford 1 Handle Eco Tub and Shower Trim Kit in Chrome,99.7,3.52,,3.52,0.0353,General profile,THS Standard - no free shipping,reprova por peso
DURA-0481460000,44350672863335,"Duravit 0481460000 Design Classics 18 1/8"" Oval Undermount Sink in White with Overflow",170.62,13.23,21.66,21.66,0.1269,General profile,THS Standard - no free shipping,reprova por peso
MOEN-T2470,44350987501671,Moen T2470 Genta LX Posi-Temp Valve Trim with Diverter in Chrome,84.41,1.0,2.85,2.85,0.0338,General profile,THS Standard - no free shipping,reprova por volume
SIOU-490-10341,44351376031847,Sioux Chief 490-10341 Mansfield Flush Valve Gasket New Style,2.94,0.02,0.47,0.47,0.1599,General profile,THS Standard - no free shipping,reprova por volume
TOTO-SS224-01,44353396768871,"TOTO® Guinevere® SoftClose® Non Slamming, Slow Close Elongated Toilet Seat and Lid, Cotton White - SS224#01",194.22,6.0,6.61,6.61,0.034,General profile,THS Standard - no free shipping,reprova por volume
MPEX-6114001,44351042355303,MrPEX Systems 6114001 15.75 x 31.5 - RetroPanel Straight for 1/2 PEX Tubing,652.59,2.04,46.04,46.04,0.0705,General profile,THS Standard - no free shipping,reprova por volume
AMST-0475.020.020,44350232035431,American Standard 0475020.020 Aqualyn® Drop-In Sink With 8-Inch Widespread White,87.38,23.34,23.34,23.34,0.2671,General profile,THS Standard - no free shipping,reprova por peso
SIOU-695-01,44351391694951,Sioux Chief 695-01 Prime Perfect Trap Primer 0 to 8 Traps,81.82,1.26,10.02,10.02,0.1225,General profile,THS Standard - no free shipping,reprova por volume
GERB-12-559,44350709825639,"Gerber G0012559 Logan Square Petite Ped Top 24.25""x20.13"" 8""CC White",320.62,45.0,,45.0,0.1404,General profile,THS Standard - no free shipping,reprova por peso
SIOU-881-54,44351408046183,"Sioux Chief 881-54 4"" Mechanical Plug",85.72,0.38,4.74,4.74,0.0553,General profile,THS Standard - no free shipping,reprova por volume
CTRO-ISLPT0303,44350394761319,"Centrotherm 3"" Low Profile Wall Termination",118.27,1.95,4.1,4.1,0.0347,General profile,THS Standard - no free shipping,reprova por volume
SIOU-633-G3TM11,44351386124391,"Sioux Chief 633-G3TM11 11"" Water Heater Connector for Expansion Tank",35.25,0.73,6.98,6.98,0.198,General profile,THS Standard - no free shipping,reprova por volume
GERB-D481136,44350715363431,"Gerber D481136 6"" Showerarm w/ Escutcheon Chrome",22.68,0.5,10.94,10.94,0.4824,General profile,THS Standard - no free shipping,reprova por volume
TOTO-TS630C2-CP,44353399259239,Toto TS630C2-CP UPTON CONTROL TRIM 1-WAY BRASS-Polished Chrome,220.42,4.4,18.65,18.65,0.0846,General profile,THS Standard - no free shipping,reprova por volume
AMST-0426.000.020,44350231871591,American Standard 0426000.020 Studio Carre® Under Counter Sink White,245.5,20.5,,20.5,0.0835,General profile,THS Standard - no free shipping,reprova por peso
AMST-0552.001.020,44350232789095,American Standard 0552001.020 Loft® Above Counter Sink With Center Hole Only White,257.99,43.7,,43.7,0.1694,General profile,THS Standard - no free shipping,reprova por peso
VEGA-50520,44353472561255,"Viega 50520 Plastic Coated Steel, Drop Ear, Bend Support for 3/8"" and 1/2"" PureFlow PEX Fitting",2.98,0.08,0.5,0.5,0.1678,General profile,THS Standard - no free shipping,reprova por volume
TOTO-UT105U-01,44353399881831,"TOTO® Wall-Mount ADA Compliant 0.125 GPF Urinal with Top Spud Inlet, Cotton White - UT105U#01",487.5,41.03,,41.03,0.0842,General profile,THS Standard - no free shipping,reprova por peso
SIOU-630WGD288E,44351385370727,"Sioux Chief 630WGD288E 1/2"" x 8"" x 8"" PEX F1960 Stub Out Elbow with Nail Flange",30.45,0.65,10.02,10.02,0.3291,General profile,THS Standard - no free shipping,reprova por volume
MOEN-62370,44350974165095,"Moen 62370 M-Pact Moen Posi-Temp Valve, 1/2 In. Connection, 1/4 Turn Stops, 12 Per Case",145.8,1.6,12.69,12.69,0.087,General profile,THS Standard - no free shipping,reprova por volume
MOEN-105895SRS,44350966628455,Moen 105895SRS Air Gaps in Spot Resist Stainless,38.84,0.5,1.35,1.35,0.0348,General profile,THS Standard - no free shipping,reprova por volume
GERB-12-514,44350709727335,"Gerber G0012514 Maxwell Ped Top 25.2""X20.5"" 4""CC White",148.12,40.0,,40.0,0.2701,General profile,THS Standard - no free shipping,reprova por peso
BRAS-OR07X-C,44350360715367,"BrassCraft OR07X C 1/2"" x 1/4"" Angle Stop - FIP x Comp, Chrome",23.73,0.22,4.19,4.19,0.1766,General profile,THS Standard - no free shipping,reprova por volume
WHIT-IG16,44350827167847,J.C. Whitlam IG16 BLUE MAGIC Industrial Grade Thread Sealant - 1 Pint,28.04,0.84,12.43,12.43,0.4433,General profile,THS Standard - no free shipping,reprova por volume
AMST-1297.001.020,44350236524647,American Standard 1297001.020 Studio® S 24-Inch Vitreous China Vanity Sink Top Center Hole Only White,419.43,1.0,30.16,30.16,0.0719,General profile,THS Standard - no free shipping,reprova por volume
MILW-48-32-4096,44350931763303,Milwaukee Tools 48-32-4096 55 Piece SHOCKWAVE™ Impact Duty Driver Bit Set,64.28,2.12,2.52,2.52,0.0392,General profile,THS Standard - no free shipping,reprova por volume
RBRN-PLM2430GBLE,44351359811687,"Robern PLM2430GBLE 24"" x 4-5/8"" x 30"", Classic Gray, Rust-Free Aluminum Cabinet, Glass Shelf, Recessed/Surface Mount, Beveled Front Mirror, Left 170D",1466.1,43.0,71.21,71.21,0.0486,General profile,THS Standard - no free shipping,reprova por volume
SIOU-833-2PNR,44351401427047,"Sioux Chief 833-2PNR 2"" PVC Round Floor Drain with Nickel Top",111.24,1.98,4.96,4.96,0.0446,General profile,THS Standard - no free shipping,reprova por volume
WOOD-X34-1,44353497989223,Woodford X34-1 Model X34 Yard Hydrant 1 Foot,159.34,12.2,,12.2,0.0766,General profile,THS Standard - no free shipping,reprova por peso
DIAB-DHS4750,44350609621095,"Diablo DHS4750 4-3/4"" Bi-Metal Hole Saw",42.62,0.49,1.85,1.85,0.0434,General profile,THS Standard - no free shipping,reprova por volume
ZOEL-30-0015,44353498775655,"Zoeller Pump 30-0015 1-1/2"" COMPRESSION UNICHECK",86.52,1.1,7.76,7.76,0.0897,General profile,THS Standard - no free shipping,reprova por volume
SIOU-822-CKIT,44351400575079,Sioux Chief 822-CKIT Clamp Collar for Halo Drains,24.06,0.5,5.51,5.51,0.229,General profile,THS Standard - no free shipping,reprova por volume
BRAS-CR1900DVX-C,44350356226151,"BrassCraft CR1900DVX C 1/2"" x 3/8"" x 1/4"" Dual Angle Stop - Comp, Chrome",63.3,0.4,3.87,3.87,0.0611,General profile,THS Standard - no free shipping,reprova por volume
TOTO-UT104E-01,44353399816295,Toto UT104E#01 COMMERCIAL WASHOUT URINAL W/ TOP SPUD--COTTON,250.38,34.0,36.08,36.08,0.1441,General profile,THS Standard - no free shipping,reprova por peso
