sku,handle,categoria,preco,peso_lb,lambda,perfil_atual,nota
MOEN-T943ORB,moen-eva-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Deck-Mount Tub Faucets,488.91,6.1,0.0125,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-22519-1,dayton-stainless-steel-25-x-19-x-6-5-16-1-hole-equal-double-bowl-drop-in-sink,Drop-In Sinks,487.50,1.0,0.0021,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T2759-SS,delta-trinsic-roman-tub-trim-stainless,Deck-Mount Tub Faucets,485.19,5.95,0.0326,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NHSP-500,5-x-10-nh-x-nh-gray-cast-iron-soil-pipe-24-per-bundle,No Hub Pipe,483.90,8.3,0.0172,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-TS2713EP,moen-90-degree-posi-temp-single-handle-1-spray-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,477.53,5.8,0.0121,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MUEL-01220500C,3-4-x-50-x-1-2-insulation-uv-line-set,Coated Line Sets,474.21,15.24,0.0321,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
CPVP-300-20-SCH80,3-x-20-cpvc-pipe-corzan-sch80,CPVC Pipe,469.00,2.09,0.0045,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ANVI-AS200-EH-BTB-20-PGV,1-5-8-x-20-back-to-back-galvanized-slotted-strut,Strut (Channel),467.40,1.89,0.0040,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-GE-12521-R3,dayton-stainless-steel-25-x-21-1-4-x-5-3-8-3-hole-single-bowl-drop-in-sink-with-right-drain,Drop-In Sinks,459.00,9.9,0.0216,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
PVCP-1200-SCH40-BE,12-x-20-pvc-sch40-belled-end-pipe,PVC SCH40 Belled End,456.40,10.33,0.0226,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
PVCP-1200-SCH40-PE,12-x-20-pvc-sch40-plain-end-pipe,PVC SCH40 Plain End,456.40,10.19,0.0223,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
PERF-CI155391461525,1-1-4-ips-anodel-riser-sdr10-w-cpl,Gas Fittings & Risers,452.36,15.0,0.0332,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T373BN,moen-glyde-2-handle-high-arc-roman-tub-faucet-in-brushed-nickel-valve-sold-separately,Deck-Mount Tub Faucets,444.40,6.05,0.0136,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T933BN,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Deck-Mount Tub Faucets,444.40,5.13,0.0115,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T943BN,moen-eva-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Deck-Mount Tub Faucets,444.40,6.06,0.0136,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-200-10MH,2-x-10-copper-tube-m-hard,Type M Hard,442.30,14.6,0.0330,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
GERB-D205012SS,melrose-wall-mount-pot-filler-2-2gpm-stainless-steel,Pot Fillers,440.64,6.54,0.0148,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-23319-3,dayton-stainless-steel-33-x-19-x-6-7-16-3-hole-equal-double-bowl-drop-in-sink,Drop-In Sinks,438.00,13.0,0.0297,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
CTSF-WRG1004,4-roll-grooved-copper-coated-4-bolt-flange-adapter-150-125-lb,Copper Sweat Fittings,434.55,13.8,0.0318,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
VEGA-32063,viega-1-x-300-white-pureflow-pex-tubing,Non-Barrier Tubing,430.38,13.14,0.0305,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T2193NHBL,moen-align-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-matte-black-shower-head-and-valve-not-included,Tub-Shower Trim Sets,425.78,3.2,0.0075,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1720050,mr-pex-1-2-x-500-red-potable-pex-a-tubing,Non-Barrier Tubing,421.85,13.14,0.0311,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1820050,mr-pex-1-2-x-500-blue-potable-pex-a-tubing,Non-Barrier Tubing,421.85,13.14,0.0311,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
ASFC-6063.051.002,ultima-selectronic-touchless-urinal-flush-valve-piston-type-battery-0-5-gpf-1-9-lpf-chrome,Urinal Flush Valves,420.92,8.17,0.0194,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
ASFC-6065.161.002,ultima-selectronic-touchless-toilet-flush-valve-piston-type-battery-1-6-gpf-6-0-lpf-chrome,Toilet Flush Valves,420.92,8.3,0.0197,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T6906,moen-voss-wall-mount-2-handle-low-arc-lavatory-faucet-trim-kit-in-chrome-valve-sold-separately,Wall-Mount Faucets,418.61,5.07,0.0121,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-125-MH,1-1-4-x-20-copper-tube-m-hard,Type M Hard,418.20,13.6,0.0325,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T14459-BL,delta-trinsic-monitor-14-series-h2okinetic-tub-shower-trim-matte-black,Tub-Shower Trim Sets,410.40,3.25,0.0079,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T14467,delta-ara-monitor-14-series-h2okinetic-tub-shower-trim-chrome,Tub-Shower Trim Sets,410.40,4.57,0.0111,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ELKA-LK810HA08T4,elkay-8-centerset-with-exposed-deck-faucet-with-8-high-arc-spout-4-wristblade-handles-chrome,Widespread Faucets,407.21,6.2,0.0152,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-118-ACR,1-1-8-x-20-copper-tube-l-hard-acr-oxy-med,Type L Hard ACR-OXY-MED,405.60,0.66,0.0016,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T5722-SS,delta-classic-garden-tub-trim-stainless,Deck-Mount Tub Faucets,404.19,4.2,0.0118,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
BLIP-400-PE,4-x-21-black-steel-pipe-sch40-plain-end-import,Plain End,396.48,10.89,0.0275,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
LIBE-331,1-2-hp-portable-water-transfer-pump-115v-garden-hose-connect,Sump Pumps,395.62,12.0,0.0303,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1740030,mr-pex-3-4-x-300-red-potable-pex-a-tubing,Non-Barrier Tubing,395.37,13.14,0.0332,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1840030,mr-pex-3-4-x-300-blue-potable-pex-a-tubing,Non-Barrier Tubing,395.37,13.14,0.0332,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-23322-4,dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink,Drop-In Sinks,394.50,12.4,0.0314,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-S176EPBL,moen-align-1-spray-eco-performance-7-single-tub-wall-mount-fixed-shower-head-in-matte-black,Rain Heads,380.62,2.9,0.0078,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
CPVP-250-20-SCH80,2-1-2-x-20-cpvc-pipe-corzan-sch80,CPVC Pipe,378.20,1.56,0.0041,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ASFC-8354.112.002,top-brace-wall-mount-service-sink-faucet-with-6-inch-vacuum-breaker-spout-and-offset-shanks-chrome,Wall-Mount Laundry/Service Faucets,376.80,6.28,0.0167,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MUEL-01020500C,5-8-x-50-x-1-2-insulation-uv-line-set,Coated Line Sets,374.25,12.58,0.0336,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-9793,moen-m-pact-2-handle-4-hole-roman-tub-adjustable-rough-in-valve-with-shower-diverter-1-2-in-pex-cpvc-connection,Deck-Mount Tub Faucets,366.41,6.9,0.0188,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-200-10DWV,2-x-10-copper-tube-dwv,DWV,365.70,1.07,0.0029,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ANVI-AS100-EH-20-PGV,3-1-4-x-20-galvanized-slotted-strut,Strut (Channel),361.60,1.89,0.0052,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
BLIP-300-A53B-PE,3-x-21-black-steel-pipe-a53-type-e-grade-b-erw-plain-end-0-216-w-import,Plain End A53,360.99,0.94,0.0026,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-9792,moen-m-pact-2-handle-4-hole-roman-tub-adjustable-rough-in-valve-with-shower-diverter-1-2-in-cc-connection,Deck-Mount Tub Faucets,358.02,5.28,0.0147,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-TMU1NNC-12,toto-usa-urinal-flush-valve-1-1-6-gpf,Urinal Flush Valves,355.17,6.0,0.0169,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-11719-3,dayton-stainless-steel-17-x-19-x-6-1-8-3-hole-single-bowl-drop-in-bar-sink,Drop-In Sinks,354.00,9.0,0.0254,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MUEL-00410500C,1-4-x-1-x-50-uv-suction-line-only,Coated Line Sets,351.86,10.85,0.0308,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-TMT1LN32-CP,toto-toilet-1-28-gpf-manual-commercial-flush-valve-polished-chrome-tmt1ln32-cp,Toilet Flush Valves,350.49,6.0,0.0171,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-TMT1NNC-32,toto-usa-toilet-flush-valve-1-1-6-gpf,Toilet Flush Valves,350.49,6.0,0.0171,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
PVCP-1000-SCH40-BE,10-x-20-pvc-sch40-belled-end-pipe,PVC SCH40 Belled End,345.00,7.81,0.0226,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
PVCP-1000-SCH40-PE,10-x-20-pvc-sch40-plain-end-pipe,PVC SCH40 Plain End,345.00,7.71,0.0223,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
T&SB-B-0665-BSTP,service-sink-faucet-wall-mount-8-centers-built-in-stops-vacuum-breaker-polished-t-sb-b-0665-bstp,Wall-Mount Laundry/Service Faucets,342.48,7.0,0.0204,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
SIOU-672XV4L-11313,1-male-sweat-x-female-sweat-manifold-4-port-with-valves-1-2-f1807,Distribution Manifolds,341.40,6.13,0.0180,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NHSP-400,4-x-10-nh-x-nh-gray-cast-iron-soil-pipe-30-per-bundle,No Hub Pipe,336.30,7.4,0.0220,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
CTRO-ISVL066,6-x-72-polypro-single-wall-vent-pipe,Polypropylene Single Wall Venting,325.83,8.5,0.0261,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T4943ORB,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Deck-Mount Tub Faucets,321.78,4.6,0.0143,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
CHER-271063,cherne-6-in-long-test-ball-plug,Air and Water Test,318.94,5.3,0.0166,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
ASFC-8354.112.004,top-brace-wall-mount-service-sink-faucet-with-6-inch-vacuum-breaker-spout-and-offset-shanks-rough-chrome,Wall-Mount Laundry/Service Faucets,317.49,6.72,0.0212,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-L4006E1067/U,aquastat-breaks-on-rise-130-270f-range-250f-factory-stop-less-well,Aquastats & Wells,306.81,5.0,0.0163,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-12521-4,dayton-stainless-steel-25-x-21-1-4-x-6-9-16-4-hole-single-bowl-drop-in-sink,Drop-In Sinks,306.00,9.7,0.0317,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-12522-3,dayton-stainless-steel-25-x-22-x-6-9-16-3-hole-single-bowl-drop-in-sink,Drop-In Sinks,306.00,9.8,0.0320,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-12522-4,dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,Drop-In Sinks,306.00,1.0,0.0033,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
STIE-220817,mini-6-tankl-wtr-htr-208-240v,Point of Use Heaters,303.64,5.0,0.0165,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
STIE-222039,mini-4-tankl-wtr-htr-208-240v,Point of Use Heaters,303.64,5.0,0.0165,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
SIOU-869-6P,6-pvc-hub-backwater-valve,"Backwater Valves, Traps & Primers",301.12,1.13,0.0038,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
ABSP-600-20,6-x-20-abs-foam-core-pipe-sch40,ABS Pipe,300.00,2.05,0.0068,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
CTSF-WRG1003,3-roll-grooved-copper-coated-4-bolt-flange-adapter-150-125-lb,Copper Sweat Fittings,298.41,9.5,0.0318,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
ANVI-AS200-EH-10-304SS,1-5-8-x-10-stainless-steel-strut-with-elongaged-holes,Strut (Channel),297.60,1.89,0.0064,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ELKA-LK60,elkay-drain-fitting-center-outlet-for-triple-bowl-sinks-with-aligned-drains,Other Kitchen Sink Accessories,297.09,5.01,0.0169,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T933,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Deck-Mount Tub Faucets,297.03,4.8,0.0162,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T943,moen-eva-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Deck-Mount Tub Faucets,297.03,5.93,0.0200,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
FRAN-PKG31-36RM,franke-25-8-in-x-13-8-in-stainless-steel-bottom-roller-mat-for-peak-pkg11031-sinks,"Cutting Boards, Colanders & Sink Grids",295.75,2.25,0.0076,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T2193EP,moen-align-single-handle-posi-temp-eco-performance-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,293.95,3.66,0.0125,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T2813EP,moen-rizon-1-handle-1-spray-posi-temp-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,293.95,3.4,0.0116,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TACO-0015-MSF3-1IFC,0015-3-speed-cast-iron-integral-flow-check-flanged-rotated-115v-60-1,Fixed Speed Circulators,291.39,8.0,0.0275,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T961,moen-gibson-2-handle-deck-mount-roman-tub-faucet-in-chrome,Deck-Mount Tub Faucets,290.72,5.47,0.0188,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
HDPE-400,4-x-20-hdpe-geothermal-pipe-160-psi-sdr-17-cenfuse,HDPE & Poly Pipe,289.00,0.22,0.0008,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-150-10MH,1-1-2-x-10-copper-tube-m-hard,Type M Hard,287.70,9.4,0.0327,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TACO-007-F5,007-series-cast-iron-flanged-115v-60-1,Fixed Speed Circulators,287.13,8.0,0.0279,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
PANA-FV-0511VQL1,whisperceiling-dc-fan-light-50-80-110-cfm,Bath Fans,285.15,9.6,0.0337,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MILW-0970-20,m18-fuel-2-5-gallon-wet-dry-vacuum-w-packout-compatibility,Vacuums,283.94,4.8,0.0169,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-078-ACR,7-8-x-20-copper-tube-l-hard-acr-oxy-med,Type L Hard ACR-OXY-MED,282.00,0.46,0.0016,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
T&SB-B-0665-BSTR,service-sink-faucet-wall-mount-8-centers-built-in-stops-vacuum-breaker-rough,Metering Faucets,281.08,7.25,0.0258,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T990,moen-chateau-2-handle-low-arc-roman-tub-faucet-trim-in-chrome-valve-sold-separately,Deck-Mount Tub Faucets,280.31,4.0,0.0143,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-150-10DWV,1-1-2-x-10-copper-tube-dwv,DWV,278.40,0.81,0.0029,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ZILM-ZFT18R,4-8-gallon-expansion-tank-rectangular,Expansion Tanks (Heating),276.44,9.0,0.0326,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
BLIP-250-A53B-PE,2-1-2-x-21-black-steel-pipe-a53-type-e-grade-b-erw-plain-end-0-203-w-import,Plain End A53,276.15,0.94,0.0034,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
T&SB-B-0667-RGH,service-sink-faucet-wall-mount-adjustable-centers-vacuum-breaker-wall-brace-rough,Wall-Mount Laundry/Service Faucets,275.55,7.98,0.0290,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD24X10TZ/U,24-in-x-10-in-parallel-blade-damper,Zone Dampers,273.31,7.0,0.0256,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-AM102-UP-1LF/U,1-in-union-propress-mixing-valve-lf-std,"Mixing Valve - Lead Free - 1""",272.02,9.0,0.0331,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T2705,delta-classic-roman-tub-trim-chrome,Deck-Mount Tub Faucets,271.83,2.33,0.0270,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD12X20TZ/U,12-in-x-20-in-parallel-blade-damper,Zone Dampers,267.34,3.0,0.0112,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD12X12TZ/U,12-in-x-12-in-parallel-blade-damper,Zone Dampers,264.41,3.0,0.0113,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
LIBE-ALM-2W,alarm-indoor-outdoor-115v-weatherproof-with-20-cord,Sewage Pumps,263.44,4.0,0.0152,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DAYT-D-11515-2,dayton-stainless-steel-15-x-15-x-5-3-16-2-hole-single-bowl-drop-in-bar-sink-with-2-drain-opening,Drop-In Sinks,261.00,4.5,0.0172,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T17438,delta-lahara-monitor-17-series-tub-shower-trim-chrome,Tub-Shower Trim Sets,260.25,3.18,0.0246,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T17464,delta-ashlyn-monitor-17-series-tub-shower-trim-chrome,Tub-Shower Trim Sets,260.25,3.7,0.0158,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NHSP-300,3-x-10-nh-x-nh-gray-cast-iron-soil-pipe-48-per-bundle,No Hub Pipe,259.20,5.2,0.0201,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD16X12TZ/U,16-in-x-12-in-parallel-blade-damper,Zone Dampers,258.78,7.0,0.0271,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD16X8TZ/U,16-in-x-8-in-parallel-blade-damper,Zone Dampers,257.20,7.0,0.0272,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-TMT1LN-CP,toto-toilet-1-28-gpf-manual-commercial-flush-valve-only-polished-chrome-tmt1ln-cp,Toilet Flush Valves,255.47,3.45,0.0135,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-RP54870SS,delta-renovation-kit-600-series-tub-shower-stainless,Tub & Shower Repair Parts,254.07,1.19,0.0047,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ASFC-6047.121.002,ultima-manual-toilet-flush-valve-piston-type-1-28-gpf-4-8-lpf-chrome,Toilet Flush Valves,253.86,5.86,0.0231,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T2153EPORB,moen-brantford-single-handle-1-spray-posi-temp-tub-and-shower-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Tub-Shower Trim Sets,249.28,3.96,0.0159,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
CPVP-200-20-SCH80,2-x-20-cpvc-pipe-corzan-sch80,CPVC Pipe,249.00,1.02,0.0041,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
PVCP-800-SCH40-BE,8-x-20-pvc-sch40-belled-end-pipe,PVC SCH40 Belled End,247.80,0.63,0.0025,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
PVCP-800-SCH40-PE,8-x-20-pvc-sch40-plain-end-pipe,PVC SCH40 Plain End,247.80,0.54,0.0022,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
FRAN-UV-36RM,franke-18-4-in-x-20-0-in-universal-roller-mat,"Cutting Boards, Colanders & Sink Grids",239.81,2.25,0.0094,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-075-ACR,3-4-x-20-copper-tube-l-hard-acr-oxy-med,Type L Hard ACR-OXY-MED,237.40,0.36,0.0015,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD10X18TZ/U,10-in-x-18-in-parallel-blade-damper,Zone Dampers,232.38,3.0,0.0129,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD18X10TZ/U,18-in-x-10-in-parallel-blade-damper,Zone Dampers,232.38,7.0,0.0301,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
SIOU-851-36T,6-abs-cleanout-with-top,Cleanouts,230.53,0.38,0.0016,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
AXIM-AXTH-CF9AL,clean-f9-al-boiler-combustion-side-cleaner-for-aluminum-heat-exchangers,"Water Treatment, Anti-Freeze & Condensate",230.28,7.0,0.0304,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD20X12TZ/U,20-in-x-12-in-parallel-blade-damper,Zone Dampers,228.83,7.0,0.0306,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MILW-48-22-8201,ultimate-jobsite-backpack,Storage Bags & Buckets,228.21,6.82,0.0299,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD12X14TZ/U,12-in-x-14-in-parallel-blade-damper,Zone Dampers,227.75,7.0,0.0307,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD14X12TZ/U,14-in-x-12-in-parallel-blade-damper,Zone Dampers,227.75,3.0,0.0132,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
CTRO-ISVL063,6-x-36-polypro-single-wall-vent-pipe,Polypropylene Single Wall Venting,227.67,4.5,0.0198,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
RECT-87001,pro-fit-87001-flaring-kit-quick-flaring-hvac-5-bits-1-4-3-4,Equipment Installation & Mounting,226.75,7.0,0.0309,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T2133EPBN,moen-eva-1-handle-posi-temp-tub-and-shower-trim-kit-with-eco-performance-showerhead-in-brushed-nickel-valve-sold-separately,Tub-Shower Trim Sets,226.56,3.3,0.0146,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-T2743BN,moen-glyde-1-spray-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Tub-Shower Trim Sets,226.56,3.6,0.0159,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-HZ322/U,truezone-hz322-panel,Forced Air Zone Panels,225.09,7.0,0.0311,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-HM750AVKIT/U,advanced-electrode-humidifier-valve-kit,Dehumidifiers & Humidifiers,223.88,7.0,0.0313,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD10X20TZ/U,10-in-x-20-in-parallel-blade-damper,Zone Dampers,223.71,7.0,0.0313,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD20X10TZ/U,20-in-x-10-in-parallel-blade-damper,Zone Dampers,223.71,7.0,0.0313,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MILW-0960-20,m12-fuel-1-6-gallon-wet-dry-vacuum,Vacuums,218.22,4.6,0.0211,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HONE-ZD10X16TZ/U,10-in-x-16-in-parallel-blade-damper,Zone Dampers,214.97,7.0,0.0326,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
