sku,ven,price,lb_loja,teto_lb,folga_x,title
HONE-T3019W0NA,Resideo,28.18,0.61,0.95,1.6,Resideo T3019W0NA Thermostatic Head for M30x1.5 Connection with Integral Sensor
SIOU-672X0490,Sioux Chief,28.12,0.06,0.95,15.8,"Sioux Chief 672X0490 1/2"" PEX F1807 4 Port Closed End Manifold"
PVCF-050-CPL-SCH80,Charlotte Pipe,28.5,0.52,0.96,1.8,"Charlotte Pipe PVC-08100-1000 1/2"" PVC SCH80 Coupling - Socket x Socket"
DELT-RP6025PNPR,Delta,28.53,0.52,0.96,1.8,Delta RP6025PNPR Shower Flange Lumicoat® Polished Nickel
DIAB-DHS375XT18,Diablo,28.53,0.73,0.96,1.3,"Diablo DHS375XT18 18"" x 3/8"" Universal Extension for Drills"
DIAB-DS0912CF,Diablo,28.34,0.35,0.96,2.7,"Diablo DS0912CF 9"" 12TPI Steel Demon™ Carbide Teeth Reciprocating Saw Blade for Thin Metal"
BRIF-100.075.075-TEE-NL,Legend Valve,28.52,0.6,0.96,1.6,"Legend Valve 310-455NL 1"" x 3/4"" x 3/4"" - Brass Tee (Reducing)"
MAXI-038.025-BSH,MaxiPro,28.5,0.52,0.96,1.8,"MaxiPro MPA5243 0030201 3/8"" x 1/4"" ACR Press Fitting - Fitting Reducer"
MAXI-050-ST90,MaxiPro,28.5,0.52,0.96,1.8,"MaxiPro MPA5001 0040001 1/2"" ACR Press Fitting - Elbow - 90° (Street)"
MAXI-075-CPL,MaxiPro,28.5,0.52,0.96,1.8,"MaxiPro MPA5270 0060001 3/4"" ACR Press Fitting - Coupling"
MAXI-078.050-BSH,MaxiPro,28.5,0.52,0.96,1.8,"MaxiPro MPA5243 0070401 7/8"" x 1/2"" ACR Press Fitting - Fitting Reducer"
MILW-48-22-2903,Milwaukee Tools,28.47,0.74,0.96,1.3,Milwaukee Tools 48-22-2903 14-in-1 Ratcheting Multi-Bit Screwdriver
MILW-48-73-5112,Milwaukee Tools,28.5,0.51,0.96,1.9,Milwaukee Tools 48-73-5112 Class 2 High Visibility Yellow Mesh Safety Vest - L/XL
PASC-40420,Pasco,28.47,0.54,0.96,1.8,"Pasco 40420 4"" x 2"" Quick Set C/I Closet Flange"
TOTO-THU443.10B-A,Toto,28.63,0.63,0.96,1.5,"Toto USA THU443.10B-A - Tower, Drain Valve Assembly for Drake/G-Max 1.6 GPF Elongated Toil"
VEGA-77058,Viega,28.35,0.8,0.96,1.2,"Viega 77058 1""x1"" - (P-FTG(CTS)) - 45 Deg Elbow (Street), ProPress®"
BRAS-CSSC21-36,BrassCraft,28.76,0.32,0.97,3.0,"BrassCraft CSSC21-36 3/4"" x 3/4"" Gas Supply - 36"", FIP x MIP"
DIAB-DHS1125CT,Diablo,28.88,0.24,0.97,4.1,"Diablo DHS1125CT 1-1/8"" Carbide Teeth Hole Saw for Wood and Metal"
DIAB-DHS500XT6,Diablo,28.84,0.73,0.97,1.3,"Diablo DHS500XT6 5-1/2"" x 7/16"" Universal Extension for Drills"
GVLF-ORINGS-100-E-1,Gruvlok,28.8,0.5,0.97,1.9,Gruvlok 1 E-Ring GPress f/ SS Prs Fitting
PRIE-P-231-0504,"PRIER Products, Inc.",28.8,0.15,0.97,6.5,"PRIER Products P-231-0504 Stem Assembly - Style E-BFP - 4"" for P-164"
PRIE-P-231-1204,"PRIER Products, Inc.",28.82,0.15,0.97,6.5,"PRIER Products P-231-1204 Stem Assembly - Style G-BFP - 4"" for C-144"
PRIE-P-231-1504,"PRIER Products, Inc.",28.8,0.15,0.97,6.5,"PRIER Products P-231-1504 Stem Assembly - Style H-BFP - 4"" for P-164"
CAMC-22863,CAMCO MANUFACTURING INC.,29.04,0.52,0.98,1.9,"Camco Contractor's Hose - Heavy-Duty 25', 5/8"" (E/F/S) (CARD) LLC 22863"
DIAB-DHS1375CT,Diablo,29.03,0.24,0.98,4.1,"Diablo DHS1375CT 1-3/8"" Carbide Teeth Hole Saw for Wood and Metal"
SSTF-150.100-CPL,Legend Valve,29.2,0.55,0.98,1.8,"Legend Valve 404-384 1-1/2"" X 1"" - 304 Stainless Steel Reducing Coupling - FNPT x FNPT"
COPF-125-LT90-C,Mueller Streamline,28.98,0.39,0.98,2.5,"Mueller Streamline W 02055 1-1/4"" Copper Sweat Fittings - 90 Degree Long Turn Elbow C x C"
PASC-4330,Pasco,29.09,0.33,0.98,3.0,"Pasco 4330 Swedging Tool - Type M Tube 1/2""-3/4""-1"""
VEGA-49877,Viega,29.2,0.17,0.98,5.8,"Viega 49877 1-1/2"" x 1-1/4"" x 1-1/4"" PEX Reducing Tee (Press) - PureFlow® Press (Composite"
VEGA-77028,Viega,29.07,0.8,0.98,1.2,"Viega 77028 1""x1"" - (P-P) - 45 Deg Elbow, ProPress®"
DEAR-793BD-1,Dearborn,29.23,0.16,0.99,6.2,"Dearborn® 793BD-1 1-1/2"" x 16"" Double Slip Joint Extension Tube - Budget Ga."
DIAB-DMAPLCH2020,Diablo,29.41,0.73,0.99,1.4,"Diablo DMAPLCH2020 1.5"" x 10"" SDS-Plus Tile Chisel"
BRPN-100-8,Legend Valve,29.51,0.29,0.99,3.4,"Legend Valve 311-112 1"" x 8"" Red Brass Pipe Nipple"
MILW-48-00-5714,Milwaukee Tools,29.31,0.7,0.99,1.4,"Milwaukee Tools 48-00-5714 12"" 10 TPI TORCH™ SAWZALL® Blade for Thick Metal (5 Pack)"
MOEN-935-001,Moen,29.49,0.52,0.99,1.9,Moen 935-001 Flo by Moen Service Kit
PASC-4573-L,Pasco,29.31,0.33,0.99,3.0,"Pasco 4573-L Lg Jaw Basin Wrench Adj 9-16"""
PRIE-C-134KT-804,"PRIER Products, Inc.",29.51,0.15,0.99,6.6,PRIER Products C-134KT-804 Loose Key Conversion Kit For C-134/144/P-164
SHAR-UR22222,SharkBite,29.28,0.33,0.99,3.0,"SharkBite UR22222 1/2"" SharkBite Max Quarter Turn Ball Valve - (PTC x PTC)"
VEGA-49854,Viega,29.45,0.17,0.99,5.8,"Viega 49854 1-1/2"" x 1"" x 3/4"" PEX Reducing Tee (Press) - PureFlow® Press (Composite)"
PVCF-050-45EL-SCH80,Charlotte Pipe,29.62,0.52,1.0,1.9,"Charlotte Pipe PVC-08309-1000 1/2"" PVC SCH80 45° Elbow - Socket x Socket"
DELT-RP6025PB,Delta,29.61,0.52,1.0,1.9,Delta RP6025PB Flange Shower Polished Brass
DIAB-DS0820CF,Diablo,29.7,0.35,1.0,2.9,"Diablo DS0820CF 8"" 20TPI Steel Demon™ Carbide Teeth Reciprocating Saw Blade for Thin Metal"
DIAB-DS0914BF5,Diablo,29.73,0.35,1.0,2.9,"Diablo DS0914BF5 9"" 14/18TPI Bi-Metal Reciprocating Saw Blades for Medium Metal (5-Pack)"
DIAB-DS0914BGP5,Diablo,29.73,0.35,1.0,2.9,"Diablo DS0914BGP5 9"" 8/14 TPI Bi-Metal Reciprocating Saw Blades for General Purpose Cuts ("
HOLD-TRPVCNH2A-B,HoldRite,29.54,0.81,1.0,1.2,"HoldRite® TRPVCNH2A-B TestRite® 2"" PVC No-Hub Test / Cleanout Tee with Plug, Brass Thread "
BRIF-150-90EL-NL,Legend Valve,29.8,0.6,1.0,1.7,"Legend Valve 310-007NL 1-1/2"" - Brass Elbow - 90°"
LEGE-301-107NL,Legend Valve,29.82,0.6,1.0,1.7,"Legend Valve 301-107NL 1-1/2"" - FIP x Sweat, No Lead Forged Brass/Forged Steel Dielectric "
MILW-48-22-4047,Milwaukee Tools,29.8,0.4,1.0,2.5,Milwaukee Tools 48-22-4047 Jobsite Offset Scissors
MILW-48-22-4206,Milwaukee Tools,29.7,0.4,1.0,2.5,Milwaukee Tools 48-22-4206 Cutter Wheel for PVC and PEX
SHAR-100-90EL-LF,SharkBite,29.73,0.49,1.0,2.0,SharkBite U260LF 1 In. Elbow Lead Free
SHAR-UR260A,SharkBite,29.73,0.33,1.0,3.0,"SharkBite UR260 1"" SharkBite Max 90° Elbow"
VEGA-79430,Viega,29.58,0.8,1.0,1.2,"Viega 79430 1/2"" x 1/2"" - (FTG (CTS)-FPT) - Fitting Female Adapter (FTG), ProPress®"
DIAB-DHSAR500,Diablo,30.0,0.73,1.01,1.4,"Diablo DHSAR500 7/16"" Snap-Lock Plus™ Mandrel System"
DIAB-DOU200RBD,Diablo,29.91,0.73,1.01,1.4,"Diablo DOU200RBD 2"" Universal Fit Bi-Metal Oscillating Blade for Drywall"
MPEX-4310750,MrPEX Systems,30.08,0.8,1.01,1.3,MrPEX Systems 4310750 3/4 PEX to EK 20 - PEX Fitting Assembly (Nut Ring Insert & Adapter) 
PASC-4568,Pasco,30.0,0.33,1.01,3.1,Pasco 4568 Bibb Seat Tool Set
HONE-TH3110U2008/U,Resideo,30.0,0.5,1.01,2.0,Resideo T3 Pro Non-Programmable Thermostat TH3110U2008/U
SIOU-290-20514C04,Sioux Chief,30.0,0.16,1.01,6.3,Sioux Chief 290-20514C04 Grid Drain Cast Brass 17 Ga Chrome
VEGA-90566,Viega,29.98,0.17,1.01,5.9,"Viega 90566 1"" x 1-1/4"" PEX Male Adapter (Crimp(F1807) x MIP) - PureFlow® Press (Brass)"
PDWV-400300STCLB-P,Charlotte Pipe,30.3,0.81,1.02,1.3,"Charlotte Pipe PVC-00330-0600 4"" x 3"" PVC DWV Street Closet Bend - Spigot x H"
DIAB-DDD045DIA101F,Diablo,30.38,0.73,1.02,1.4,"Diablo DDD045DIA101F 4-1/2"" Diamond Metal Cut-Off Disc"
HLNK-EX27628NL,HeatLink,30.24,0.05,1.02,20.4,"HeatLink EX27628NL 1"" PEX Female Adapter (Expansion(F1960) x FIP) - Brass"
BRIF-125.050-CPL-NL,Legend Valve,30.15,0.6,1.02,1.7,"Legend Valve 310-374NL 1-1/4"" x 1/2"" - Brass Reducing Coupling"
LEGE-462-764NL,Legend Valve,30.2,0.05,1.02,20.4,"Legend Valve 462-764NL 1-1/4"" PEX Male Adapter (Expansion(F1960) x MIP) - Brass"
MILW-48-39-0561,Milwaukee Tools,30.29,0.41,1.02,2.5,"Milwaukee Tools 48-39-0561 44-7/8"" 14/18 TPI Standard Deep Cut Portable Band Saw Blade (3 "
DEAR-701-1,Dearborn,30.46,0.64,1.03,1.6,"Dearborn 701-1 1-1/4"" P-trap 17 Gauge Chrome Plated"
DIAB-DJT10S,Diablo,30.59,0.73,1.03,1.4,Diablo DJT10S Jig Saw Blade Set for Wood & Metal (10-Piece)
BRIF-200.050-BSH-NL,Legend Valve,30.59,0.6,1.03,1.7,"Legend Valve 310-492NL 2"" x 1/2"" - Brass Bushing - FIP x MIP"
BRIF-200.075-BSH-NL,Legend Valve,30.59,0.6,1.03,1.7,"Legend Valve 310-493NL 2"" x 3/4"" - Brass Bushing - FIP x MIP"
BRIF-200.100-BSH-NL,Legend Valve,30.59,0.6,1.03,1.7,"Legend Valve 310-494NL 2"" x 1"" - Brass Bushing - FIP x MIP"
LEGE-101-545NL,Legend Valve,30.43,0.44,1.03,2.3,"Legend Valve 101-545NL 1"" - F1960, No Lead DZR Forged Brass Cold Expansion PEX Ball Valve"
MAXI-050-45EL,MaxiPro,30.6,0.52,1.03,2.0,"MaxiPro MPA5041 0040001 1/2"" ACR Press Fitting - Elbow - 45°"
MAXI-050-CAP,MaxiPro,30.6,0.52,1.03,2.0,"MaxiPro MPA5301 0040001 1/2"" ACR Press Fitting - End Cap"
MILW-48-22-1025M,Milwaukee Tools,30.62,0.73,1.03,1.4,Milwaukee Tools 48-22-1025M 25ft Magnetic Tape Measure
MPEX-3051060,MrPEX Systems,30.6,0.05,1.03,20.6,"MrPEX Systems 3051060 6-Port PEX Manifold Tee - 3/4"" Expansion Inlet, Closed Outlet - (6) "
SHAR-URSS3088FX18,SharkBite,30.69,0.33,1.03,3.1,"SharkBite URSS3088FX18 3/4"" x 3/4"" x 18"" SharkBite Max Corrugated Water Softener Connector"
VEGA-25735,Viega,30.6,0.9,1.03,1.1,"Viega 25735 3/4"" - Cap, MegaPress®"
DAHL-611-QG3-31,Dahl Valve,30.72,0.3,1.04,3.5,"Dahl Valve 611-QG3-31 1/2"" x 3/8"" Angle Stop (Push On x Compression)"
BRIF-125-TEE-NL,Legend Valve,30.72,0.6,1.04,1.7,"Legend Valve 310-106NL 1-1/4"" - Brass Tee"
MPEX-3052040,MrPEX Systems,30.81,0.05,1.04,20.8,"MrPEX Systems 3052040 4-Port PEX Manifold Tee - 1"" Expansion Inlet, Closed Outlet - (4) 1/"
COPF-050-TEECF-C,Mueller Streamline,30.97,0.14,1.04,7.5,"Mueller Streamline 1/2"" Copper Sweat Fittings - Tee C x C x FPT COPF-050-TEECF-C"
DIAB-DAG1110,Diablo,31.05,0.66,1.05,1.6,"Diablo DAG1110 7/8"" x 7-1/2"" Auger Bit for Wood & Nail-Embedded Wood"
DIAB-DMANS1070-S4,Diablo,31.08,0.87,1.05,1.2,Diablo DMANS1070-S4 4 pc Carbide-Tipped Drill Bit Set for Tile & Stone (4-Piece)
JOMA-104-555PG,Jomar,31.29,0.44,1.05,2.4,"Jomar 104-555PG 1"" FIP x F1960 - Standard Port, 2 Piece, Threaded Female x Expansion Pex C"
LEGE-302-436,Legend Valve,31.04,0.11,1.05,9.5,"Legend Valve 302-436 1-1/4"" - CPVC x MIP, Stainless Steel MNPT x CPVC Transition Fittings"
LEGE-302-446,Legend Valve,31.04,0.11,1.05,9.5,"Legend Valve 302-446 1-1/4"" - CPVC x FIP, Stainless Steel FNPT x CPVC Transition Fittings"
MAXI-078-CPL,MaxiPro,31.14,0.52,1.05,2.0,"MaxiPro MPA5270 0070001 7/8"" ACR Press Fitting - Coupling"
PRIE-P-231-0506,"PRIER Products, Inc.",31.12,0.15,1.05,7.0,"PRIER Products P-231-0506 Stem Assembly - Style E-BFP - 6"" for P-164"
PRIE-P-231-1206,"PRIER Products, Inc.",31.12,0.15,1.05,7.0,"PRIER Products P-231-1206 Stem Assembly - Style G-BFP - 6"" for C-144"
PRIE-P-231-1506,"PRIER Products, Inc.",31.12,0.15,1.05,7.0,"PRIER Products P-231-1506 Stem Assembly - Style H-BFP - 6"" for P-164"
DIAB-DHS1500CT,Diablo,31.39,0.24,1.06,4.4,"Diablo DHS1500CT 1-1/2"" Carbide Teeth Hole Saw for Wood and Metal"
DIAB-DHS500XT12,Diablo,31.59,0.73,1.06,1.5,"Diablo DHS500XT12 12"" x 7/16"" Universal Extension for Drills"
GERB-DA665051BN,Gerber,31.59,0.52,1.06,2.0,"Gerber DA665051BN Cover Plate Assembly for 8"" Kitchen Faucet Brushed Nickel"
MILW-48-22-1520,Milwaukee Tools,31.38,0.4,1.06,2.6,Milwaukee Tools 48-22-1520 FASTBACK™ Folding Knife
MILW-48-22-1900,Milwaukee Tools,31.37,0.4,1.06,2.6,Milwaukee Tools 48-22-1900 100 Piece General Purpose Utility Blades w/ Dispenser
PASC-24333,Pasco,31.41,0.33,1.06,3.2,Pasco 24333 24 oz Expanding Foam Sealant
SIOU-240-456212C16,Sioux Chief,31.45,0.16,1.06,6.6,"Sioux Chief 240-456212C16 1-1/2"" x 12"" Slip Joint Ext T/P Chrome 20Ga"
SIOU-652-AWG,Sioux Chief,31.52,0.05,1.06,21.2,"Sioux Chief 652-AWG Hydra-Rester 1/2"" PEX F1960"
VEGA-49790,Viega,31.38,0.17,1.06,6.2,"Viega 49790 2"" PEX Plug (Press) - PureFlow® Press (Composite)"
B&KI-131-201DP,BK Products,31.71,0.89,1.07,1.2,"BK Products 131-201DP 3 1/2""- 4"" Sink Strainer Chrome Duo Pack"
DAHL-511-PX3-01,Dahl Valve,31.63,0.3,1.07,3.6,"Dahl Valve 511-PX3-01-BAG 1/2"" x 1/2"" Straight Stop (FIP x Crimp Pex (F1870))"
MAXI-058-ST90,MaxiPro,31.66,0.52,1.07,2.1,"MaxiPro MPA5001 0050001 5/8"" ACR Press Fitting - Elbow - 90° (Street)"
MAXI-078.075-BSH,MaxiPro,31.66,0.52,1.07,2.1,"MaxiPro MPA5243 0070601 7/8"" x 3/4"" ACR Press Fitting - Fitting Reducer"
VEGA-79190,Viega,31.79,0.8,1.07,1.3,"Viega 1/2"" x 1/2"" - (P-FPT) - 90 Deg Elbow (Drop ear), ProPress® 79190"
VEGA-93080,Viega,31.68,0.17,1.07,6.3,"Viega 93080 1-1/2"" PEX Coupling (Press) - PureFlow® Press (Brass)"
CHEM-200-45EL,Charlotte Pipe,32.04,0.52,1.08,2.1,"Charlotte Pipe AW-00321-0020C 2"" 45 Deg Elbow Hub x Hub CPVC Chemical Drainage Fitting"
DIAB-DHS1750CT,Diablo,32.03,0.24,1.08,4.5,"Diablo DHS1750CT 1-3/4"" Carbide Teeth Hole Saw for Wood and Metal"
JOMA-104-564PG,Jomar,32.1,0.44,1.08,2.5,"Jomar 104-564PG 3/4"" Press x F1960 - Standard Port, 2 Piece, Press x Expansion Pex Connect"
BRIF-125-ST45-NL,Legend Valve,32.09,0.6,1.08,1.8,"Legend Valve 1-1/4"" - Brass Elbow - 45° (Street) - FIP x MIP"
BRIF-125-ST90-NL,Legend Valve,32.09,0.6,1.08,1.8,"Legend Valve 1-1/4"" - Brass Elbow - 90° (Street) - FIP x MIP"
BRIF-150.100-CPL-NL,Legend Valve,32.09,0.6,1.08,1.8,"Legend Valve 310-379NL 1-1/2"" x 1"" - Brass Reducing Coupling"
BRIF-150.125-CPL-NL,Legend Valve,32.09,0.6,1.08,1.8,"Legend Valve 310-380NL 1-1/2"" x 1-1/4"" - Brass Reducing Coupling"
MILW-48-73-1121,Milwaukee Tools,32.14,0.25,1.08,4.3,Milwaukee Tools 48-73-1121 BOLT™ White Full Brim Hard Hat w/6pt Ratcheting Suspension (USA
VEGA-99311,Viega,32.1,0.17,1.08,6.4,"Viega 99311 3/4"" PEX PureFlow Press Sweat Adapter Elbow (Press x FTG Sweat) - Brass"
ZURN-59517005,Zurn,32.04,0.52,1.08,2.1,"Zurn 59517005 AquaSpec® XL Short Stem Quarter-Turn Ceramic Disc Cartridge, Cold"
PDWV-300TWCO-P,Charlotte Pipe,32.46,0.81,1.09,1.4,"Charlotte Pipe PVC-00448-0600 3"" PVC DWV Two-Way Cleanout - All H"
LEGE-301-104PNL,Legend Valve,32.46,0.6,1.09,1.8,"Legend Valve 301-104PNL 3/4"" - Press x FIP, LegendPress No Lead Forged Brass/Forged Steel "
SHAR-UXL113532F,SharkBite,32.28,0.33,1.09,3.3,SharkBite UXL113532F 1-1/4'' SharkBite Female Adapter - (FIP x PTC)
SIOU-645WG4P,Sioux Chief,32.34,0.05,1.09,21.8,"Sioux Chief 645WG4P 1"" PEX F1960 x 1"" PVC Adapter"
VEGA-99665,Viega,32.4,0.46,1.09,2.4,"Viega 99665 1-1/4"" x 1"" PEX PureFlow Press Press Adapter (Press x ProPress) - PureFlow® Pr"
PVCF-100-90EL-SCH80,Charlotte Pipe,32.55,0.52,1.1,2.1,"Charlotte Pipe PVC-08300-1400 1"" PVC SCH80 90° Elbow - Socket x Socket"
DIAB-DHS1875CT,Diablo,32.56,0.24,1.1,4.6,"Diablo DHS1875CT 1-7/8"" Carbide Teeth Hole Saw for Wood and Metal"
DIAB-DS0908BFD5,Diablo,32.7,0.35,1.1,3.1,"Diablo DS0908BFD5 9"" 8/10TPI Bi-Metal Reciprocating Saw Blades for Thick Metal (5-Pack)"
HLNK-EX13804,HeatLink,32.59,0.05,1.1,22.0,"HeatLink EX13804 4-Port PEX Manifold Tee - 1"" Expansion Inlet, Closed Outlet - (4) 1/2"" Ex"
MAXI-025-90EL,MaxiPro,32.73,0.52,1.1,2.1,"MaxiPro MPA5002 0020001 1/4"" ACR Press Fitting - Elbow - 90°"
MILW-48-22-5603,Milwaukee Tools,32.62,0.95,1.1,1.2,Milwaukee Tools 48-22-5603 Pocket Level
MILW-48-39-0572,Milwaukee Tools,32.74,0.41,1.1,2.7,"Milwaukee Tools 48-39-0572 27"" 18 TPI Standard Sub-Compact Portable Band Saw Blade (3 Pack"
MOEN-136123,Moen,32.73,0.52,1.1,2.1,Moen 136123 Hardware kit
CRBN-050-MA,Mueller Streamline,32.59,0.9,1.1,1.2,"Mueller Streamline CP01131 1/2"" Carbon Steel Press Fittings - Mechanical - Male Adapter P "
OATE-39134,Oatey,32.76,0.8,1.1,1.4,"Oatey® 39134 I2K, 1/4 Turn, Copper, Low Lead, Ice Maker Outlet Box - Standard Pack"
PASC-4500,Pasco,32.66,0.33,1.1,3.3,Pasco 4500 Drain Key
WOOD-DMP,"Woodford Manufacturing Company, LLC",32.52,0.15,1.1,7.3,Woodford Drywall Mounting Plate
PDWV-400200LH90-P,Charlotte Pipe,32.91,0.81,1.11,1.4,"Charlotte Pipe PVC-00303-1000 4"" x 4"" x 2"" PVC DWV 90° Elbow with Low Heel Inlet - All H"
CHER-55738,Cherne,32.91,0.5,1.11,2.2,Cherne® 55738 Air-Max™ Replacement Hose Assembly with Thumb Lock
BRIF-150-45EL-NL,Legend Valve,32.91,0.6,1.11,1.8,"Legend Valve 310-027NL 1-1/2"" - Brass Elbow - 45°"
SSTN-075-10,Legend Valve,32.95,0.5,1.11,2.2,"Legend Valve 304-094 3/4"" X 10"" - 304 Stainless Steel Pipe Nipple, Schedule 40 - MNPT x MN"
MILW-48-39-0529,Milwaukee Tools,33.05,0.41,1.11,2.7,"Milwaukee Tools 48-39-0529 35-3/8"" 18 TPI Standard Compact Portable Band Saw Blade (3 Pack"
VEGA-79435,Viega,32.91,0.5,1.11,2.2,"Viega 79435 1/2"" x 3/4"" - (FTG (CTS)-FPT) - Fitting Female Adapter (FTG), ProPress®"
VEGA-93570,Viega,33.03,0.17,1.11,6.5,"Viega 93570 1-1/4"" PEX 90° Elbow (Press) - PureFlow® Press (Brass)"
VEGA-99675,Viega,32.79,0.17,1.11,6.5,"Viega 99675 1-1/2"" x 1"" PEX PureFlow Press Press Adapter (Press x ProPress) - PureFlow® Pr"
WOOD-34H-CH,"Woodford Manufacturing Company, LLC",33.05,0.15,1.11,7.4,"Woodford 34H-CH Model 34H Vacuum Breaker, Chrome"
ASRP-738756-0070A,American Standard,33.3,0.63,1.12,1.8,American Standard 738756-0070A Champion 2 Piece Toilet Tank to Bowl Coupling Kit (Blister 
CHEM-200-90EL,Charlotte Pipe,33.24,0.52,1.12,2.2,"Charlotte Pipe AW-00300-0020C 2"" 90 Deg Elbow Hub x Hub CPVC Chemical Drainage Fitting"
DEAR-1046A-1,Dearborn,33.21,0.96,1.12,1.2,"Dearborn® 1046A-1 1-1/2"" Double Slip Joint Trap Offset - 20 Ga."
DELT-RP64759,Delta,33.12,0.52,1.12,2.1,Delta RP64759 Classic Stem Unit Assembly Seat & Spring Bonnet Nut & Washer
MILW-49-56-0501,Milwaukee Tools,33.16,0.1,1.12,11.2,"Milwaukee Tools 49-56-0501 1/4"" DIAMOND MAX™ Hole Saw Bits - (2 Pack)"
MOEN-920-006,Moen,33.12,0.6,1.12,1.9,Moen 920-006 Flo by Moen Smart Leak Detect 6' Sensing Cable
COPF-038-UNI-C,Mueller Streamline,33.33,0.15,1.12,7.5,"Mueller Streamline W 08002 3/8"" Copper Sweat Fittings - Union C x C"
OATE-42251,Oatey,33.12,0.88,1.12,1.3,Oatey® 42251 2 in. or 3 in. PVC Tile Shower Drain Base with Square Strainer in Brushed Nic
CHEM-300-CPL,Charlotte Pipe,33.39,0.52,1.13,2.2,"Charlotte Pipe AW-00100-0030C 3"" Coupling Hub x Hub CPVC Chemical Drainage Fitting"
DIAB-DS0920BF5,Diablo,33.66,0.35,1.13,3.2,"Diablo DS0920BF5 9"" 20/24TPI Bi-Metal Reciprocating Saw Blades for Thin Metal (5-Pack)"
BRIF-100-UNI-NL,Legend Valve,33.63,0.6,1.13,1.9,"Legend Valve 310-145NL 1"" - Brass Union"
MILW-49-56-9100,Milwaukee Tools,33.48,0.07,1.13,16.1,"Milwaukee Tools 49-56-9100 Large Thread No-Wobble Arbor 7/16"" Shank"
PRIE-P-231-0508,"PRIER Products, Inc.",33.42,0.15,1.13,7.5,"PRIER Products P-231-0508 Stem Assembly - Style F-BFP - 8"" for P-164"
PRIE-P-231-1208,"PRIER Products, Inc.",33.44,0.15,1.13,7.5,"PRIER Products P-231-1208 Stem Assembly - Style G-BFP - 8"" for C-144"
PRIE-P-231-1508,"PRIER Products, Inc.",33.42,0.15,1.13,7.5,"PRIER Products P-231-1508 Stem Assembly - Style H-BFP - 8"" for P-164"
SIOU-696-1021GF,Sioux Chief,33.64,0.9,1.13,1.3,"Sioux Chief 696-1021GF 1/2"" OxBox Gas Supply Box MIP"
VEGA-94037,Viega,33.51,0.17,1.13,6.6,"Viega 94037 1"" x 1/2"" x 1/2"" PEX Reducing Tee (Press) - PureFlow® Press (Brass)"
VEGA-99670,Viega,33.49,0.17,1.13,6.6,"Viega 99670 1-1/4"" PEX PureFlow Press Press Adapter (Press x ProPress) - PureFlow® Press ("
LEGE-303-106,Legend Valve,33.69,0.09,1.14,12.6,"Legend Valve 303-106 1-1/4"" - Comp (IPS) x Comp (IPS), Galvanized Steel Compression Coupli"
MAXI-038-90EL,MaxiPro,33.77,0.52,1.14,2.2,"MaxiPro MPA5002 0030001 3/8"" ACR Press Fitting - Elbow - 90°"
MAXI-058-45EL,MaxiPro,33.77,0.52,1.14,2.2,"MaxiPro MPA5041 0050001 5/8"" ACR Press Fitting - Elbow - 45°"
MAXI-100-CPL,MaxiPro,33.77,0.52,1.14,2.2,"MaxiPro MPA5270 0080001 1"" ACR Press Fitting - Coupling"
MILW-49-90-2015,Milwaukee Tools,33.83,0.73,1.14,1.6,Milwaukee Tools 49-90-2015 Foam Wet Filter
VEGA-79580,Viega,33.95,0.8,1.14,1.4,"Viega 79580 1/2"" x 1/2"" x 1/2"" - (P-P FPT) - Tee (Adapter), ProPress®"
DIVE-5-SCR81,DiversiTech,34.2,0.15,1.15,7.7,"DiversiTech 5-SCR81 Sheet Metal Screw 8 x 1 Taper Point, pack of 500"
DURA-0050090000,Duravit,34.12,1.0,1.15,1.1,"Duravit 0050090000 Drain Adapter, Sink Part"
HLNK-EX19264,HeatLink,34.23,0.05,1.15,23.1,"HeatLink EX19264 2"" x 1-1/2"" PEX Reducing Coupling (Expansion(F1960)) - Composite"
MILW-49-56-9306,Milwaukee Tools,34.02,0.07,1.15,16.4,Milwaukee Tools 49-56-9306 BIG HAWG™ with Carbide Teeth Clean Wood Arbor
CRBN-050-MA-G,Mueller Streamline,34.21,0.95,1.15,1.2,"Mueller Streamline CP01131G 1/2"" Carbon Steel Press Fittings - Gas - Male Adapter P x MPT"
SHAR-UXL0435,SharkBite,34.17,0.33,1.15,3.5,SharkBite UXL0435 1-1/4'' SharkBite End Cap - (PTC)
SHAR-UXL113532M,SharkBite,34.17,0.33,1.15,3.5,SharkBite UXL113532M 1-1/4'' SharkBite Male Adapter - (MIP x PTC)
DIAB-DHS500XT18,Diablo,34.34,0.73,1.16,1.6,"Diablo DHS500XT18 18"" x 7/16"" Universal Extension for Drills"
BRIF-200-CAP-NL,Legend Valve,34.29,0.6,1.16,1.9,"Legend Valve 310-128NL 2"" - Brass Cap"
MILW-49-56-7545,Milwaukee Tools,34.34,0.07,1.16,16.5,"Milwaukee Tools 49-56-7545 5 Piece 3/8"" QUIK-LOK™ Arbor Set"
MILW-49-56-7555,Milwaukee Tools,34.34,0.07,1.16,16.5,"Milwaukee Tools 49-56-7555 5 Piece 7/16"" QUIK-LOK™ Arbor Set"
DIAB-D0760X,Diablo,34.65,0.73,1.17,1.6,"Diablo D0760X 7-1/4"" x 60 Tooth Ultra Finish Saw Blade"
DIAB-DMAMM1190-S5,Diablo,34.81,0.87,1.17,1.3,Diablo DMAMM1190-S5 5 pc Multi-Material Carbide-Tipped Hammer Drill Bit Set (5-Piece)
