Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,SEO Description,Variant Command,Variant SKU,Variant Price,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Country of Origin
resideo-am100c1070-upex1lf-am-1-lead-free-mixing-valve-1-2-in-pex-union-80120f-asse-1070,NEW,"Resideo AM100C1070-UPEX1LF AM-1 Lead Free Mixing Valve, 1/2 in PEX Union, 80–120°F, ASSE 1070","<p>AM-1 series lead free mixing valve, 1/2 in, with PEX union connections and an 80–120°F range, ASSE 1070.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM100C1070-UPEX1LF</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> PEX union</li><li><strong>Temperature Range:</strong> 80–120°F</li><li><strong>Standard:</strong> ASSE 1070</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337564</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li></ul>",Resideo,"Mixing Valve - Lead Free - 1/2""","Resideo, Mixing Valve - Lead Free - 1/2"", map-import-2609",Draft,FALSE,"AM-1 series lead free mixing valve, 1/2 in, with PEX union connections and an 80–120°F range, ASSE 1070.",MERGE,HONE-AM100C1070-UPEX1LF,167.04,085267337564,2.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-am100c1070ucpvc1lf-am-1-lead-free-mixing-valve-1-2-in-cpvc-union-80120f-asse-1070,NEW,"Resideo AM100C1070UCPVC1LF AM-1 Lead Free Mixing Valve, 1/2 in CPVC Union, 80–120°F, ASSE 1070","<p>AM-1 series lead free mixing valve, 1/2 in, with CPVC union connections and an 80–120°F range, ASSE 1070.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM100C1070UCPVC1LF</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> CPVC union</li><li><strong>Temperature Range:</strong> 80–120°F</li><li><strong>Standard:</strong> ASSE 1070</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337557</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li></ul>",Resideo,"Mixing Valve - Lead Free - 1/2""","Resideo, Mixing Valve - Lead Free - 1/2"", map-import-2609",Draft,FALSE,"AM-1 series lead free mixing valve, 1/2 in, with CPVC union connections and an 80–120°F range, ASSE 1070.",MERGE,HONE-AM100C1070UCPVC1LF,164.66,085267337557,1.9,lb,shopify,deny,TRUE,TRUE,MX
resideo-am100r-up-1-u-thermostatic-mixing-valve-1-2-in-union-and-press-tailpieces-70180f,NEW,"Resideo AM100R-UP-1/U Thermostatic Mixing Valve, 1/2 in Union and Press Tailpieces, 70–180°F",<p>1/2 in thermostatic mixing valve with union and press tailpieces and a 70–180°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM100R-UP-1/U</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> Union and press tailpieces</li><li><strong>Temperature Range:</strong> 70–180°F</li><li><strong>UPC:</strong> 085267461481</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Heating Only</li></ul>,Resideo,Mixing Valve - Heating Only,"Resideo, Mixing Valve - Heating Only, map-import-2609, revisar-cadastro",Draft,FALSE,1/2 in thermostatic mixing valve with union and press tailpieces and a 70–180°F range.,MERGE,HONE-AM100R-UP-1/U,146.66,085267461481,2.2,lb,shopify,deny,TRUE,TRUE,MX
resideo-am100r-us-1-u-am-1-mixing-valve-1-2-in-sweat-union-80180f-heating-only,NEW,"Resideo AM100R-US-1/U AM-1 Mixing Valve, 1/2 in Sweat Union, 80–180°F, Heating Only","<p>AM-1 series mixing valve, 1/2 in, with sweat union connections and an 80–180°F range, for heating only with no approvals.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM100R-US-1/U</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> Sweat union</li><li><strong>Temperature Range:</strong> 80–180°F</li><li><strong>Application:</strong> Heating only, no approvals</li><li><strong>UPC:</strong> 085267824910</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Heating Only</li></ul>",Resideo,Mixing Valve - Heating Only,"Resideo, Mixing Valve - Heating Only, map-import-2609, revisar-cadastro",Draft,FALSE,"AM-1 series mixing valve, 1/2 in, with sweat union connections and an 80–180°F range, for heating only with no approvals.",MERGE,HONE-AM100R-US-1/U,124.00,085267824910,2.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-am100r-ut-1-u-am-1-mixing-valve-1-2-in-threaded-union-80180f-heating-only,NEW,"Resideo AM100R-UT-1/U AM-1 Mixing Valve, 1/2 in Threaded Union, 80–180°F, Heating Only","<p>AM-1 series mixing valve, 1/2 in, with threaded union connections and an 80–180°F range, for heating only with no approvals.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM100R-UT-1/U</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> Threaded union</li><li><strong>Temperature Range:</strong> 80–180°F</li><li><strong>Application:</strong> Heating only, no approvals</li><li><strong>UPC:</strong> 085267824934</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Heating Only</li></ul>",Resideo,Mixing Valve - Heating Only,"Resideo, Mixing Valve - Heating Only, map-import-2609, revisar-cadastro",Draft,FALSE,"AM-1 series mixing valve, 1/2 in, with threaded union connections and an 80–180°F range, for heating only with no approvals.",MERGE,HONE-AM100R-UT-1/U,132.06,085267824934,2.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101-sb-u-push-connect-union-fittings-3-4-in-3-pack,NEW,"Resideo AM101-SB/U Push-Connect Union Fittings, 3/4 in, 3-Pack",<p>Set of three 3/4 in push-connect union fittings.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101-SB/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Quantity:</strong> 3</li><li><strong>UPC:</strong> 085267390279</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609, revisar-cadastro",Draft,FALSE,Set of three 3/4 in push-connect union fittings.,MERGE,HONE-AM101-SB/U,80.19,085267390279,0.7,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101-ucpvc-1lf-u-am-1-lead-free-mixing-valve-3-4-in-cpvc-union-100145f,NEW,"Resideo AM101-UCPVC-1LF/U AM-1 Lead Free Mixing Valve, 3/4 in CPVC Union, 100–145°F","<p>AM-1 series lead free mixing valve, 3/4 in, with CPVC union connections and a 100–145°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101-UCPVC-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> CPVC union</li><li><strong>Temperature Range:</strong> 100–145°F</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337892</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li></ul>",Resideo,"Mixing Valve - Lead Free - 3/4""","Resideo, Mixing Valve - Lead Free - 3/4"", map-import-2609",Draft,FALSE,"AM-1 series lead free mixing valve, 3/4 in, with CPVC union connections and a 100–145°F range.",MERGE,HONE-AM101-UCPVC-1LF/U,167.69,085267337892,1.9,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101-upex-1lf-u-am-1-lead-free-mixing-valve-3-4-in-pex-union-70145f,NEW,"Resideo AM101-UPEX-1LF/U AM-1 Lead Free Mixing Valve, 3/4 in PEX Union, 70–145°F","<p>AM-1 series lead free mixing valve, 3/4 in, with PEX union connections and a 70–145°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101-UPEX-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> PEX union</li><li><strong>Temperature Range:</strong> 70–145°F</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337908</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li></ul>",Resideo,"Mixing Valve - Lead Free - 3/4""","Resideo, Mixing Valve - Lead Free - 3/4"", map-import-2609",Draft,FALSE,"AM-1 series lead free mixing valve, 3/4 in, with PEX union connections and a 70–145°F range.",MERGE,HONE-AM101-UPEX-1LF/U,167.69,085267337908,2.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101-uptg-1lf-u-lead-free-thermostatic-mixing-valve-3-4-in-press-temperature-gauge-70145f,NEW,"Resideo AM101-UPTG-1LF/U Lead Free Thermostatic Mixing Valve, 3/4 in Press, Temperature Gauge, 70–145°F","<p>3/4 in lead free thermostatic mixing valve with press connections, a temperature gauge and a 70–145°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101-UPTG-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> Press</li><li><strong>Temperature Range:</strong> 70–145°F</li><li><strong>Includes:</strong> Temperature gauge</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 194159016293</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li></ul>",Resideo,"Mixing Valve - Lead Free - 3/4""","Resideo, Mixing Valve - Lead Free - 3/4"", map-import-2609",Draft,FALSE,"3/4 in lead free thermostatic mixing valve with press connections, a temperature gauge and a 70–145°F range.",MERGE,HONE-AM101-UPTG-1LF/U,212.70,194159016293,3.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101-ustg-1lf-u-low-lead-thermostatic-mixing-valve-3-4-in-union-temperature-gauge-70145f,NEW,"Resideo AM101-USTG-1LF/U Low Lead Thermostatic Mixing Valve, 3/4 in Union, Temperature Gauge, 70–145°F","<p>3/4 in low lead thermostatic mixing valve with union connections, a temperature gauge and a 70–145°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101-USTG-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> Union</li><li><strong>Temperature Range:</strong> 70–145°F</li><li><strong>Includes:</strong> Temperature gauge</li><li><strong>Compliance:</strong> Low lead</li><li><strong>UPC:</strong> 085267835183</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li></ul>",Resideo,"Mixing Valve - Lead Free - 3/4""","Resideo, Mixing Valve - Lead Free - 3/4"", map-import-2609, revisar-cadastro",Draft,FALSE,"3/4 in low lead thermostatic mixing valve with union connections, a temperature gauge and a 70–145°F range.",MERGE,HONE-AM101-USTG-1LF/U,194.51,085267835183,2.6,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101c1070-up-1lf-low-lead-thermostatic-mixing-valve-3-4-in-union-and-press-tailpiece-70120f,NEW,"Resideo AM101C1070-UP-1LF Low Lead Thermostatic Mixing Valve, 3/4 in Union and Press Tailpiece, 70–120°F","<p>3/4 in low lead thermostatic mixing valve with union and press tailpiece connections and a 70–120°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101C1070-UP-1LF</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> Union and press tailpiece</li><li><strong>Temperature Range:</strong> 70–120°F</li><li><strong>Compliance:</strong> Low lead</li><li><strong>UPC:</strong> 085267189330</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li></ul>",Resideo,"Mixing Valve - Lead Free - 3/4""","Resideo, Mixing Valve - Lead Free - 3/4"", map-import-2609, revisar-cadastro",Draft,FALSE,3/4 in low lead thermostatic mixing valve with union and press tailpiece connections and a 70–120°F range.,MERGE,HONE-AM101C1070-UP-1LF,217.90,085267189330,2.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101c1070ucpvc1lf-am-1-lead-free-mixing-valve-3-4-in-cpvc-union-80120f-asse-1070,NEW,"Resideo AM101C1070UCPVC1LF AM-1 Lead Free Mixing Valve, 3/4 in CPVC Union, 80–120°F, ASSE 1070","<p>AM-1 series lead free mixing valve, 3/4 in, with CPVC union connections and an 80–120°F range, ASSE 1070.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101C1070UCPVC1LF</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> CPVC union</li><li><strong>Temperature Range:</strong> 80–120°F</li><li><strong>Standard:</strong> ASSE 1070</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337731</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li></ul>",Resideo,"Mixing Valve - Lead Free - 3/4""","Resideo, Mixing Valve - Lead Free - 3/4"", map-import-2609",Draft,FALSE,"AM-1 series lead free mixing valve, 3/4 in, with CPVC union connections and an 80–120°F range, ASSE 1070.",MERGE,HONE-AM101C1070UCPVC1LF,171.69,085267337731,1.9,lb,shopify,deny,TRUE,TRUE,MX
resideo-am101r-upex-1-u-am-1-mixing-valve-3-4-in-pex-union-80180f-heating-only,NEW,"Resideo AM101R-UPEX-1/U AM-1 Mixing Valve, 3/4 in PEX Union, 80–180°F, Heating Only","<p>AM-1 series mixing valve, 3/4 in, with PEX union connections and an 80–180°F range, for heating only with no approvals.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM101R-UPEX-1/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> PEX union</li><li><strong>Temperature Range:</strong> 80–180°F</li><li><strong>Application:</strong> Heating only, no approvals</li><li><strong>UPC:</strong> 085267837125</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Heating Only</li></ul>",Resideo,Mixing Valve - Heating Only,"Resideo, Mixing Valve - Heating Only, map-import-2609, revisar-cadastro",Draft,FALSE,"AM-1 series mixing valve, 3/4 in, with PEX union connections and an 80–180°F range, for heating only with no approvals.",MERGE,HONE-AM101R-UPEX-1/U,156.87,085267837125,2.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-am102-sb-u-push-connect-union-fittings-1-in-3-pack,NEW,"Resideo AM102-SB/U Push-Connect Union Fittings, 1 in, 3-Pack",<p>Set of three 1 in push-connect union fittings.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM102-SB/U</li><li><strong>Size:</strong> 1 in</li><li><strong>Quantity:</strong> 3</li><li><strong>UPC:</strong> 085267349680</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609, revisar-cadastro",Draft,FALSE,Set of three 1 in push-connect union fittings.,MERGE,HONE-AM102-SB/U,116.94,085267349680,0.9,lb,shopify,deny,TRUE,TRUE,MX
resideo-am102-uptg-1lf-u-lead-free-thermostatic-mixing-valve-1-in-press-temperature-gauge-70145f,NEW,"Resideo AM102-UPTG-1LF/U Lead Free Thermostatic Mixing Valve, 1 in Press, Temperature Gauge, 70–145°F","<p>1 in lead free thermostatic mixing valve with press connections, a temperature gauge and a 70–145°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM102-UPTG-1LF/U</li><li><strong>Size:</strong> 1 in</li><li><strong>Connection:</strong> Press</li><li><strong>Temperature Range:</strong> 70–145°F</li><li><strong>Includes:</strong> Temperature gauge</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 194159016309</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 1""</li></ul>",Resideo,"Mixing Valve - Lead Free - 1""","Resideo, Mixing Valve - Lead Free - 1"", map-import-2609, revisar-cadastro",Draft,FALSE,"1 in lead free thermostatic mixing valve with press connections, a temperature gauge and a 70–145°F range.",MERGE,HONE-AM102-UPTG-1LF/U,265.97,194159016309,3.2,lb,shopify,deny,TRUE,TRUE,MX
resideo-am102-ustg-1lf-u-low-lead-thermostatic-mixing-valve-1-in-union-temperature-gauge-70145f,NEW,"Resideo AM102-USTG-1LF/U Low Lead Thermostatic Mixing Valve, 1 in Union, Temperature Gauge, 70–145°F","<p>1 in low lead thermostatic mixing valve with union connections, a temperature gauge and a 70–145°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM102-USTG-1LF/U</li><li><strong>Size:</strong> 1 in</li><li><strong>Connection:</strong> Union</li><li><strong>Temperature Range:</strong> 70–145°F</li><li><strong>Includes:</strong> Temperature gauge</li><li><strong>Compliance:</strong> Low lead</li><li><strong>UPC:</strong> 085267979429</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 1""</li></ul>",Resideo,"Mixing Valve - Lead Free - 1""","Resideo, Mixing Valve - Lead Free - 1"", map-import-2609, revisar-cadastro",Draft,FALSE,"1 in low lead thermostatic mixing valve with union connections, a temperature gauge and a 70–145°F range.",MERGE,HONE-AM102-USTG-1LF/U,223.84,085267979429,2.8,lb,shopify,deny,TRUE,TRUE,MX
resideo-am102c1070-us-1lf-am-1-lead-free-mixing-valve-1-in-sweat-union-70120f-asse-1070,NEW,"Resideo AM102C1070-US-1LF AM-1 Lead Free Mixing Valve, 1 in Sweat Union, 70–120°F, ASSE 1070","<p>AM-1 series lead free mixing valve, 1 in, with sweat union connections and a 70–120°F range, ASSE 1070.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM102C1070-US-1LF</li><li><strong>Size:</strong> 1 in</li><li><strong>Connection:</strong> Sweat union</li><li><strong>Temperature Range:</strong> 70–120°F</li><li><strong>Standard:</strong> ASSE 1070</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337953</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 1""</li></ul>",Resideo,"Mixing Valve - Lead Free - 1""","Resideo, Mixing Valve - Lead Free - 1"", map-import-2609",Draft,FALSE,"AM-1 series lead free mixing valve, 1 in, with sweat union connections and a 70–120°F range, ASSE 1070.",MERGE,HONE-AM102C1070-US-1LF,210.29,085267337953,2.5,lb,shopify,deny,TRUE,TRUE,MX
resideo-am102c1070-ut-1lf-am-1-lead-free-mixing-valve-threaded-union-80120f-asse-1070,NEW,"Resideo AM102C1070-UT-1LF AM-1 Lead Free Mixing Valve, Threaded Union, 80–120°F, ASSE 1070","<p>AM-1 series lead free mixing valve with threaded union connections and an 80–120°F range, ASSE 1070.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM102C1070-UT-1LF</li><li><strong>Connection:</strong> Threaded union</li><li><strong>Temperature Range:</strong> 80–120°F</li><li><strong>Standard:</strong> ASSE 1070</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267337960</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve - Lead Free - 1""</li></ul>",Resideo,"Mixing Valve - Lead Free - 1""","Resideo, Mixing Valve - Lead Free - 1"", map-import-2609, revisar-cadastro",Draft,FALSE,"AM-1 series lead free mixing valve with threaded union connections and an 80–120°F range, ASSE 1070.",MERGE,HONE-AM102C1070-UT-1LF,261.67,085267337960,3.0,lb,shopify,deny,TRUE,TRUE,MX
resideo-am206-039-u-am-1-cpvc-union-kit-1-2-in,NEW,"Resideo AM206-039/U AM-1 CPVC Union Kit, 1/2 in",<p>1/2 in CPVC union kit for the AM-1 series.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM206-039/U</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> CPVC</li><li><strong>UPC:</strong> 085267835817</li><li><strong>Country of Origin:</strong> IT</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609",Draft,FALSE,1/2 in CPVC union kit for the AM-1 series.,MERGE,HONE-AM206-039/U,35.06,085267835817,0.4,lb,shopify,deny,TRUE,TRUE,IT
resideo-am206-040-u-am-1-cpvc-union-kit-3-4-in,NEW,"Resideo AM206-040/U AM-1 CPVC Union Kit, 3/4 in",<p>3/4 in CPVC union kit for the AM-1 series.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM206-040/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> CPVC</li><li><strong>UPC:</strong> 085267835824</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609",Draft,FALSE,3/4 in CPVC union kit for the AM-1 series.,MERGE,HONE-AM206-040/U,30.26,085267835824,0.4,lb,shopify,deny,TRUE,TRUE,US
resideo-am206-041lf-u-am-1-union-kit-1-2-in-pex-lead-free,NEW,"Resideo AM206-041LF/U AM-1 Union Kit, 1/2 in PEX, Lead Free",<p>Lead free AM-1 union kit with 1/2 in PEX connections.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM206-041LF/U</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Connection:</strong> PEX</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267338400</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609",Draft,FALSE,Lead free AM-1 union kit with 1/2 in PEX connections.,MERGE,HONE-AM206-041LF/U,42.50,085267338400,0.6,lb,shopify,deny,TRUE,TRUE,US
resideo-am206-042lf-u-am-1-union-kit-3-4-in-pex-lead-free,NEW,"Resideo AM206-042LF/U AM-1 Union Kit, 3/4 in PEX, Lead Free",<p>Lead free AM-1 union kit with 3/4 in PEX connections.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AM206-042LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> PEX</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267338417</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609",Draft,FALSE,Lead free AM-1 union kit with 3/4 in PEX connections.,MERGE,HONE-AM206-042LF/U,41.26,085267338417,1.8,lb,shopify,deny,TRUE,TRUE,US
resideo-amx-001rp-u-amx-series-mixing-valve-repair-kit,NEW,Resideo AMX-001RP/U AMX Series Mixing Valve Repair Kit,<p>Repair kit for AMX series mixing valves.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AMX-001RP/U</li><li><strong>Fits:</strong> AMX series mixing valves</li><li><strong>UPC:</strong> 085267835725</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li></ul>,Resideo,Mixing Valve Accessories & Parts,"Resideo, Mixing Valve Accessories & Parts, map-import-2609",Draft,FALSE,Repair kit for AMX series mixing valves.,MERGE,HONE-AMX-001RP/U,78.49,085267835725,0.2,lb,shopify,deny,TRUE,TRUE,MX
resideo-amx101-up-1lf-u-amx-lead-free-mixing-valve-3-4-in-press,NEW,"Resideo AMX101-UP-1LF/U AMX Lead Free Mixing Valve, 3/4 in Press","<p>AMX lead free mixing valve, 3/4 in, with press connections.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AMX101-UP-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> Press</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 194159014480</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Water Heater Tank Mixers</li></ul>",Resideo,Water Heater Tank Mixers,"Resideo, Water Heater Tank Mixers, map-import-2609",Draft,FALSE,"AMX lead free mixing valve, 3/4 in, with press connections.",MERGE,HONE-AMX101-UP-1LF/U,284.69,194159014480,3.6,lb,shopify,deny,TRUE,TRUE,MX
resideo-amx101-us-1lf-u-amx-lead-free-mixing-valve-3-4-in-sweat-union-90130f,NEW,"Resideo AMX101-US-1LF/U AMX Lead Free Mixing Valve, 3/4 in Sweat Union, 90–130°F","<p>AMX lead free mixing valve, 3/4 in, with sweat union connections and a 90–130°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AMX101-US-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> Sweat Union</li><li><strong>Temperature Range:</strong> 90–130°F</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267338097</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Water Heater Tank Mixers</li></ul>",Resideo,Water Heater Tank Mixers,"Resideo, Water Heater Tank Mixers, map-import-2609",Draft,FALSE,"AMX lead free mixing valve, 3/4 in, with sweat union connections and a 90–130°F range.",MERGE,HONE-AMX101-US-1LF/U,263.19,085267338097,3.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-amx101-ut-1lf-u-amx-lead-free-mixing-valve-3-4-in-npt-union-90130f,NEW,"Resideo AMX101-UT-1LF/U AMX Lead Free Mixing Valve, 3/4 in NPT Union, 90–130°F","<p>AMX lead free mixing valve, 3/4 in, with NPT union connections and a 90–130°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> AMX101-UT-1LF/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Connection:</strong> NPT Union</li><li><strong>Temperature Range:</strong> 90–130°F</li><li><strong>Compliance:</strong> Lead free</li><li><strong>UPC:</strong> 085267338103</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Water Heater Tank Mixers</li></ul>",Resideo,Water Heater Tank Mixers,"Resideo, Water Heater Tank Mixers, map-import-2609",Draft,FALSE,"AMX lead free mixing valve, 3/4 in, with NPT union connections and a 90–130°F range.",MERGE,HONE-AMX101-UT-1LF/U,281.33,085267338103,3.9,lb,shopify,deny,TRUE,TRUE,MX
