Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,titulo
1-black-iron-plug,UPDATE,UPDATE,BLIF-100-PLG,0.197,lb,521-805,0.31,0.197,1.57,"Mueller Streamline 521-805 1"" Black Iron Plug"
3-4-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-075.050-CPL-G,0.223,lb,511-343,0.35,0.223,1.57,"Mueller Streamline 511-343 3/4"" x 1/2"" - Galvanized Reducing Coupling"
1-galvanized-plug,UPDATE,UPDATE,GAIF-100-PLG-G,0.197,lb,511-805,0.31,0.197,1.57,"Mueller Streamline 511-805 1"" - Galvanized Plug"
1-black-iron-union,UPDATE,UPDATE,BLIF-100-UNI,0.891,lb,521-705,1.39,0.891,1.56,"Mueller Streamline 521-705 1"" Black Iron Union"
1-galvanized-union,UPDATE,UPDATE,GAIF-100-UNI-G,0.891,lb,511-705,1.39,0.891,1.56,"Mueller Streamline 511-705 1"" - Galvanized Union"
1-1-4-black-iron-plug,UPDATE,UPDATE,BLIF-125-PLG,0.337,lb,521-806,0.52,0.337,1.54,"Mueller Streamline 521-806 1-1/4"" Black Iron Plug"
1-1-2-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-150.050-CPL,0.706,lb,521-373,1.09,0.706,1.54,"Mueller Streamline 521-373 1-1/2"" x 1/2"" Black Iron Coupling"
1-1-2-x-1-1-4-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-150.125.125-TEE,1.4,lb,520-769,2.15,1.4,1.54,"Mueller Streamline 520-769 1-1/2"" x 1-1/4"" x 1-1/4"" Black Iron Tee"
2-x-1-black-iron-bushing,UPDATE,UPDATE,BLIF-200.100-BSH,0.661,lb,521-985,1.02,0.661,1.54,"Mueller Streamline 521-985 2"" x 1"" Black Iron Bushing"
1-1-4-galvanized-plug,UPDATE,UPDATE,GAIF-125-PLG-G,0.337,lb,511-806,0.52,0.337,1.54,"Mueller Streamline 511-806 1-1/4"" - Galvanized Plug"
1-1-2-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-150.050-CPL-G,0.706,lb,511-373,1.09,0.706,1.54,"Mueller Streamline 511-373 1-1/2"" x 1/2"" - Galvanized Reducing Coupling"
2-x-1-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.100-BSH-G,0.661,lb,511-985,1.02,0.661,1.54,"Mueller Streamline 511-985 2"" x 1"" - Galvanized Bushing - MPT x FPT"
1-1-4-x-1-2-black-iron-elbow-90,UPDATE,UPDATE,BLIF-125.050-90EL,0.602,lb,520-163,0.92,0.602,1.53,"Mueller Streamline 520-163 1-1/4"" x 1/2"" Black Iron Elbow - 90°"
2-x-1-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-200.150-BSH,0.588,lb,521-987,0.9,0.588,1.53,"Mueller Streamline 521-987 2"" x 1-1/2"" Black Iron Bushing"
2-x-1-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.150-BSH-G,0.588,lb,511-987,0.9,0.588,1.53,"Mueller Streamline 511-987 2"" x 1-1/2"" - Galvanized Bushing - MPT x FPT"
2-x-2-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-200.075-TEE-G,1.753,lb,510-884,2.67,1.753,1.52,"Mueller Streamline 510-884 2"" x 2"" x 3/4"" - Galvanized Tee"
1-x-3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-100.075-CPL,0.357,lb,521-354,0.54,0.357,1.51,"Mueller Streamline 521-354 1"" x 3/4"" Black Iron Coupling"
1-x-3-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-100.075-CPL-G,0.357,lb,511-354,0.54,0.357,1.51,"Mueller Streamline 511-354 1"" x 3/4"" - Galvanized Reducing Coupling"
1-1-4-x-1-1-4-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-125.050-TEE,0.926,lb,520-663,1.38,0.926,1.49,"Mueller Streamline 520-663 1-1/4"" x 1-1/4"" x 1/2"" Black Iron Tee"
1-1-2-black-iron-plug,UPDATE,UPDATE,BLIF-150-PLG,0.478,lb,521-807,0.71,0.478,1.49,"Mueller Streamline 521-807 1-1/2"" Black Iron Plug"
1-1-4-x-1-1-4-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-125.050-TEE-G,0.926,lb,510-663,1.38,0.926,1.49,"Mueller Streamline 510-663 1-1/4"" x 1-1/4"" x 1/2"" - Galvanized Tee"
1-1-2-galvanized-plug,UPDATE,UPDATE,GAIF-150-PLG-G,0.478,lb,511-807,0.71,0.478,1.49,"Mueller Streamline 511-807 1-1/2"" - Galvanized Plug"
1-2-black-iron-elbow-45,UPDATE,UPDATE,BLIF-050-45EL,0.223,lb,520-203,0.33,0.223,1.48,"Mueller Streamline 520-203 1/2"" Black Iron Elbow - 45°"
1-2-galvanized-elbow-45,UPDATE,UPDATE,GAIF-050-45EL-G,0.223,lb,510-203,0.33,0.223,1.48,"Mueller Streamline 510-203 1/2"" - Galvanized Elbow - 45°"
1-1-2-x-1-1-4-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-150.125.075-TEE,1.092,lb,520-764,1.59,1.092,1.46,"Mueller Streamline 520-764 1-1/2"" x 1-1/4"" x 3/4"" Black Iron Tee"
2-black-iron-floor-flange,UPDATE,UPDATE,BLIF-200-FFLG,2.152,lb,521-608,3.13,2.152,1.45,"Mueller Streamline 521-608 2"" Black Iron Floor Flange"
2-x-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-200.100-TEE,1.839,lb,520-785,2.67,1.839,1.45,"Mueller Streamline 520-785 2"" x 2"" x 1"" Black Iron Tee"
2-galvanized-floor-flange,UPDATE,UPDATE,GAIF-200-FFLG-G,2.152,lb,511-608,3.13,2.152,1.45,"Mueller Streamline 511-608 2"" - Galvanized Floor Flange"
2-x-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-200.100-TEE-G,1.839,lb,510-785,2.67,1.839,1.45,"Mueller Streamline 510-785 2"" x 2"" x 1"" - Galvanized Tee"
3-4-black-iron-elbow-45,UPDATE,UPDATE,BLIF-075-45EL,0.324,lb,520-204,0.46,0.324,1.42,"Mueller Streamline 520-204 3/4"" Black Iron Elbow - 45°"
1-1-4-black-iron-union,UPDATE,UPDATE,BLIF-125-UNI,1.378,lb,521-706,1.96,1.378,1.42,"Mueller Streamline 521-706 1-1/4"" Black Iron Union"
3-4-galvanized-elbow-45,UPDATE,UPDATE,GAIF-075-45EL-G,0.324,lb,510-204,0.46,0.324,1.42,"Mueller Streamline 510-204 3/4"" - Galvanized Elbow - 45°"
1-galvanized-coupling,UPDATE,UPDATE,GAIF-100-CPL-G,0.4,lb,511-205,0.57,0.4,1.42,"Mueller Streamline 511-205 1"" - Galvanized Coupling"
1-1-4-galvanized-union,UPDATE,UPDATE,GAIF-125-UNI-G,1.378,lb,511-706,1.96,1.378,1.42,"Mueller Streamline 511-706 1-1/4"" - Galvanized Union"
2-x-1-black-iron-elbow-90,UPDATE,UPDATE,BLIF-200.100-90EL,1.174,lb,520-185,1.65,1.174,1.41,"Mueller Streamline 520-185 2"" x 1"" Black Iron Elbow - 90°"
2-x-2-x-1-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-200.150-TEE-G,2.227,lb,510-787,3.14,2.227,1.41,"Mueller Streamline 510-787 2"" x 2"" x 1-1/2"" - Galvanized Tee"
1-1-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.075.100-TEE,0.887,lb,520-645,1.24,0.887,1.4,"Mueller Streamline 520-645 1-1/4"" x 3/4"" x 1"" Black Iron Tee"
1-1-4-x-3-4-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-125.075.100-TEE-G,0.887,lb,510-645,1.24,0.887,1.4,"Mueller Streamline 510-645 1-1/4"" x 3/4"" x 1"" - Galvanized Tee"
3-4-x-1-2-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075.050-90EL,0.309,lb,520-143,0.43,0.309,1.39,"Mueller Streamline 520-143 3/4"" x 1/2"" Black Iron Elbow - 90°"
1-1-4-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.050.100-TEE,0.93,lb,520-635,1.29,0.93,1.39,"Mueller Streamline 520-635 1-1/4"" x 1/2"" x 1"" Black Iron Tee"
1-1-4-x-1-2-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.050.125-TEE,0.959,lb,520-636,1.33,0.959,1.39,"Mueller Streamline 520-636 1-1/4"" x 1/2"" x 1-1/4"" Black Iron Tee"
1-1-2-black-iron-union,UPDATE,UPDATE,BLIF-150-UNI,1.743,lb,521-707,2.42,1.743,1.39,"Mueller Streamline 521-707 1-1/2"" Black Iron Union"
3-4-x-1-2-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075.050-90EL-G,0.309,lb,510-143,0.43,0.309,1.39,"Mueller Streamline 510-143 3/4"" x 1/2"" - Galvanized Elbow - 90°"
1-1-2-galvanized-union,UPDATE,UPDATE,GAIF-150-UNI-G,1.743,lb,511-707,2.42,1.743,1.39,"Mueller Streamline 511-707 1-1/2"" - Galvanized Union"
1-x-1-2-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.050-TEE,0.528,lb,520-533,0.73,0.528,1.38,"Mueller Streamline 520-533 1"" x 1/2"" x 1/2"" Black Iron Tee"
2-x-1-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-200.125-BSH,0.739,lb,521-986,1.02,0.739,1.38,"Mueller Streamline 521-986 2"" x 1-1/4"" Black Iron Bushing"
2-1-2-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-250-ST90,3.432,lb,520-309,4.74,3.432,1.38,"Mueller Streamline 520-309 2-1/2"" Black Iron Elbow - 90° (Street)"
2-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-250-TEE,4.586,lb,520-609,6.31,4.586,1.38,"Mueller Streamline 520-609 2-1/2"" Black Iron Tee"
1-x-1-2-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.050-TEE-G,0.528,lb,510-533,0.73,0.528,1.38,"Mueller Streamline 510-533 1"" x 1/2"" x 1/2"" - Galvanized Tee"
2-x-1-1-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.125-BSH-G,0.739,lb,511-986,1.02,0.739,1.38,"Mueller Streamline 511-986 2"" x 1-1/4"" - Galvanized Bushing - MPT x FPT"
2-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-250-TEE-G,4.586,lb,510-609,6.31,4.586,1.38,"Mueller Streamline 510-609 2-1/2"" - Galvanized Tee"
2-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-200.050-CPL,1.142,lb,521-383,1.57,1.142,1.37,"Mueller Streamline 521-383 2"" x 1/2"" Black Iron Coupling"
2-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-200.050-CPL-G,1.142,lb,511-383,1.57,1.142,1.37,"Mueller Streamline 511-383 2"" x 1/2"" - Galvanized Reducing Coupling"
1-1-4-x-1-1-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.100-TEE,1.081,lb,520-765,1.47,1.081,1.36,"Mueller Streamline 520-765 1-1/4"" x 1-1/4"" x 1"" Black Iron Tee"
2-x-3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-200.075-CPL,1.154,lb,521-384,1.57,1.154,1.36,"Mueller Streamline 521-384 2"" x 3/4"" Black Iron Coupling"
1-1-4-x-1-1-4-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-125.100-TEE-G,1.081,lb,510-765,1.47,1.081,1.36,"Mueller Streamline 510-765 1-1/4"" x 1-1/4"" x 1"" - Galvanized Tee"
2-x-3-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-200.075-CPL-G,1.154,lb,511-384,1.57,1.154,1.36,"Mueller Streamline 511-384 2"" x 3/4"" - Galvanized Reducing Coupling"
1-1-2-x-1-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-150.100.100-TEE,1.18,lb,520-755,1.59,1.18,1.35,"Mueller Streamline 520-755 1-1/2"" x 1"" x 1"" Black Iron Tee"
3-black-iron-cap,UPDATE,UPDATE,BLIF-300-CAP,2.39,lb,521-410,3.2,2.39,1.34,"Mueller Streamline 521-410 3"" Black Iron Cap"
1-black-iron-coupling,UPDATE,UPDATE,BLIF-100-CPL,0.4,lb,521-205,0.53,0.4,1.32,"Mueller Streamline 521-205 1"" Black Iron Coupling"
1-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-125-CPL,0.604,lb,521-206,0.8,0.604,1.32,"Mueller Streamline 521-206 1-1/4"" Black Iron Coupling"
1-1-4-x-1-1-4-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.075-TEE,0.988,lb,520-664,1.3,0.988,1.32,"Mueller Streamline 520-664 1-1/4"" x 1-1/4"" x 3/4"" Black Iron Tee"
1-1-2-x-1-1-4-x-1-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-150.125.150-TEE,1.631,lb,520-767,2.15,1.631,1.32,"Mueller Streamline 520-767 1-1/2"" x 1-1/4"" x 1-1/2"" Black Iron Tee"
1-1-4-x-1-1-4-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-125.075-TEE-G,0.988,lb,510-664,1.3,0.988,1.32,"Mueller Streamline 510-664 1-1/4"" x 1-1/4"" x 3/4"" - Galvanized Tee"
1-x-1-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-100.050-TEE,0.642,lb,520-753,0.84,0.642,1.31,"Mueller Streamline 520-753 1"" x 1"" x 1/2"" Black Iron Tee"
1-1-2-x-1-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-150.075-TEE,1.237,lb,520-774,1.62,1.237,1.31,"Mueller Streamline 520-774 1-1/2"" x 1-1/2"" x 3/4"" Black Iron Tee"
1-1-2-x-1-1-2-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-150.125-TEE,1.49,lb,520-776,1.95,1.49,1.31,"Mueller Streamline 520-776 1-1/2"" x 1-1/2"" x 1-1/4"" Black Iron Tee"
1-x-1-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-100.050-TEE-G,0.642,lb,510-753,0.84,0.642,1.31,"Mueller Streamline 510-753 1"" x 1"" x 1/2"" - Galvanized Tee"
1-1-4-galvanized-coupling,UPDATE,UPDATE,GAIF-125-CPL-G,0.604,lb,511-206,0.79,0.604,1.31,"Mueller Streamline 511-206 1-1/4"" - Galvanized Coupling"
1-1-2-x-1-1-2-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-150.075-TEE-G,1.237,lb,510-774,1.62,1.237,1.31,"Mueller Streamline 510-774 1-1/2"" x 1-1/2"" x 3/4"" - Galvanized Tee"
1-1-2-x-1-1-2-x-1-1-4-galvanized-tee,UPDATE,UPDATE,GAIF-150.125-TEE-G,1.49,lb,510-776,1.95,1.49,1.31,"Mueller Streamline 510-776 1-1/2"" x 1-1/2"" x 1-1/4"" - Galvanized Tee"
3-4-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-075.050.075-TEE,0.529,lb,520-434,0.68,0.529,1.29,"Mueller Streamline 520-434 3/4"" x 1/2"" x 3/4"" Black Iron Tee"
1-1-4-black-iron-elbow-45,UPDATE,UPDATE,BLIF-125-45EL,0.754,lb,520-206,0.97,0.754,1.29,"Mueller Streamline 520-206 1-1/4"" Black Iron Elbow - 45°"
1-1-2-x-3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-150.075-CPL,0.746,lb,521-374,0.96,0.746,1.29,"Mueller Streamline 521-374 1-1/2"" x 3/4"" Black Iron Coupling"
2-x-2-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-200.050-TEE,1.57,lb,520-783,2.02,1.57,1.29,"Mueller Streamline 520-783 2"" x 2"" x 1/2"" Black Iron Tee"
3-4-x-1-2-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-075.050.075-TEE-G,0.529,lb,510-434,0.68,0.529,1.29,"Mueller Streamline 510-434 3/4"" x 1/2"" x 3/4"" - Galvanized Tee"
1-1-4-galvanized-elbow-45,UPDATE,UPDATE,GAIF-125-45EL-G,0.754,lb,510-206,0.97,0.754,1.29,"Mueller Streamline 510-206 1-1/4"" - Galvanized Elbow - 45°"
1-1-2-x-3-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-150.075-CPL-G,0.746,lb,511-374,0.96,0.746,1.29,"Mueller Streamline 511-374 1-1/2"" x 3/4"" - Galvanized Reducing Coupling"
2-black-iron-coupling,UPDATE,UPDATE,BLIF-200-CPL,1.391,lb,521-208,1.78,1.391,1.28,"Mueller Streamline 521-208 2"" Black Iron Coupling"
2-1-2-galvanized-elbow-90,UPDATE,UPDATE,GAIF-250-90EL-G,3.17,lb,510-009,4.07,3.17,1.28,"Mueller Streamline 510-009 2-1/2"" - Galvanized Elbow - 90°"
1-1-4-x-1-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.100.075-TEE,0.93,lb,520-654,1.17,0.93,1.26,"Mueller Streamline 520-654 1-1/4"" x 1"" x 3/4"" Black Iron Tee"
1-1-4-x-1-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-125.100.075-TEE-G,0.93,lb,510-654,1.17,0.93,1.26,"Mueller Streamline 510-654 1-1/4"" x 1"" x 3/4"" - Galvanized Tee"
1-x-3-4-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-100.075.050-TEE,0.575,lb,520-543,0.72,0.575,1.25,"Mueller Streamline 520-543 1"" x 3/4"" x 1/2"" Black Iron Tee"
1-1-2-x-1-1-2-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-150.050-TEE,1.089,lb,520-773,1.36,1.089,1.25,"Mueller Streamline 520-773 1-1/2"" x 1-1/2"" x 1/2"" Black Iron Tee"
2-x-1-1-2-x-1-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-200.150.150-TEE,1.947,lb,520-877,2.44,1.947,1.25,"Mueller Streamline 520-877 2"" x 1-1/2"" x 1-1/2"" Black Iron Tee"
3-4-galvanized-coupling,UPDATE,UPDATE,GAIF-075-CPL-G,0.271,lb,511-204,0.34,0.271,1.25,"Mueller Streamline 511-204 3/4"" - Galvanized Coupling"
1-1-2-x-3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-150.075-90EL,0.922,lb,520-174,1.14,0.922,1.24,"Mueller Streamline 520-174 1-1/2"" x 3/4"" Black Iron Elbow - 90°"
1-1-2-x-1-black-iron-coupling,UPDATE,UPDATE,BLIF-150.100-CPL,0.779,lb,521-375,0.96,0.779,1.23,"Mueller Streamline 521-375 1-1/2"" x 1"" Black Iron Coupling"
1-1-2-x-1-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-150.100-CPL-G,0.779,lb,511-375,0.96,0.779,1.23,"Mueller Streamline 511-375 1-1/2"" x 1"" - Galvanized Reducing Coupling"
1-1-4-x-3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-125.075-CPL,0.612,lb,521-364,0.74,0.612,1.21,"Mueller Streamline 521-364 1-1/4"" x 3/4"" Black Iron Coupling"
1-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-150-CPL,0.866,lb,521-207,1.05,0.866,1.21,"Mueller Streamline 521-207 1-1/2"" Black Iron Coupling"
1-1-2-x-1-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-150.100-TEE,1.336,lb,520-766,1.62,1.336,1.21,"Mueller Streamline 520-766 1-1/2"" x 1-1/2"" x 1"" Black Iron Tee"
1-1-4-x-3-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-125.075-CPL-G,0.612,lb,511-364,0.74,0.612,1.21,"Mueller Streamline 511-364 1-1/4"" x 3/4"" - Galvanized Reducing Coupling"
1-1-2-x-1-1-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-150.100-TEE-G,1.336,lb,510-775,1.62,1.336,1.21,"Mueller Streamline 510-775 1-1/2"" x 1-1/2"" x 1"" - Galvanized Tee"
2-black-iron-plug,UPDATE,UPDATE,BLIF-200-PLG,0.743,lb,521-808,0.89,0.743,1.2,"Mueller Streamline 521-808 2"" Black Iron Plug"
2-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-250-CPL,2.434,lb,521-209,2.91,2.434,1.2,"Mueller Streamline 521-209 2-1/2"" Black Iron Coupling"
3-black-iron-elbow-45,UPDATE,UPDATE,BLIF-300-45EL,4.482,lb,520-210,5.36,4.482,1.2,"Mueller Streamline 520-210 3"" Black Iron Elbow - 45°"
3-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-300-ST90,5.357,lb,520-310,6.41,5.357,1.2,"Mueller Streamline 520-310 3"" Black Iron Elbow - 90° (Street)"
2-galvanized-plug,UPDATE,UPDATE,GAIF-200-PLG-G,0.743,lb,511-808,0.89,0.743,1.2,"Mueller Streamline 511-808 2"" - Galvanized Plug"
1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-050-CPL,0.176,lb,521-203,0.21,0.176,1.19,"Mueller Streamline 521-203 1/2"" Black Iron Coupling"
1-1-4-x-1-black-iron-coupling,UPDATE,UPDATE,BLIF-125.100-CPL,0.62,lb,521-365,0.74,0.62,1.19,"Mueller Streamline 521-365 1-1/4"" x 1"" Black Iron Coupling"
1-1-4-x-1-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-125.100-CPL-G,0.62,lb,511-365,0.74,0.62,1.19,"Mueller Streamline 511-365 1-1/4"" x 1"" - Galvanized Reducing Coupling"
1-8-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-018-2,0.042,lb,560-020,0.05,0.042,1.19,"Mueller Streamline 560-020 1/8"" x 2"" - Galvanized Nipple"
3-4-x-3-4-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-075.050-TEE,0.422,lb,520-743,0.5,0.422,1.18,"Mueller Streamline 520-743 3/4"" x 3/4"" x 1/2"" Black Iron Tee"
1-1-2-black-iron-cap,UPDATE,UPDATE,BLIF-150-CAP,0.551,lb,521-407,0.65,0.551,1.18,"Mueller Streamline 521-407 1-1/2"" Black Iron Cap"
2-x-1-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-200.125-CPL,1.175,lb,521-386,1.39,1.175,1.18,"Mueller Streamline 521-386 2"" x 1-1/4"" Black Iron Coupling"
3-4-x-3-4-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-075.050-TEE-G,0.422,lb,510-743,0.5,0.422,1.18,"Mueller Streamline 510-743 3/4"" x 3/4"" x 1/2"" - Galvanized Tee"
1-1-2-galvanized-cap,UPDATE,UPDATE,GAIF-150-CAP-G,0.551,lb,511-407,0.65,0.551,1.18,"Mueller Streamline 511-407 1-1/2"" - Galvanized Cap"
2-x-1-1-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-200.125-CPL-G,1.175,lb,511-386,1.39,1.175,1.18,"Mueller Streamline 511-386 2"" x 1-1/4"" - Galvanized Reducing Coupling"
1-x-1-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-100.075-TEE,0.717,lb,520-754,0.84,0.717,1.17,"Mueller Streamline 520-754 1"" x 1"" x 3/4"" Black Iron Tee"
1-1-4-x-1-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.100.125-TEE,1.149,lb,520-656,1.35,1.149,1.17,"Mueller Streamline 520-656 1-1/4"" x 1"" x 1-1/4"" Black Iron Tee"
1-x-1-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-100.075-TEE-G,0.717,lb,510-754,0.84,0.717,1.17,"Mueller Streamline 510-754 1"" x 1"" x 3/4"" - Galvanized Tee"
1-1-4-x-1-x-1-1-4-galvanized-tee,UPDATE,UPDATE,GAIF-125.100.125-TEE-G,1.149,lb,510-656,1.35,1.149,1.17,"Mueller Streamline 510-656 1-1/4"" x 1"" x 1-1/4"" - Galvanized Tee"
1-1-2-x-1-black-iron-elbow-90,UPDATE,UPDATE,BLIF-150.100-90EL,0.981,lb,520-157,1.14,0.981,1.16,"Mueller Streamline 520-157 1-1/2"" x 1"" Black Iron Elbow - 90°"
1-1-4-x-3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-125.075-90EL,0.688,lb,520-164,0.79,0.688,1.15,"Mueller Streamline 520-164 1-1/4"" x 3/4"" Black Iron Elbow - 90°"
1-1-4-x-3-4-x-1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.075.125-TEE,1.077,lb,520-646,1.24,1.077,1.15,"Mueller Streamline 520-646 1-1/4"" x 3/4"" x 1-1/4"" Black Iron Tee"
1-1-2-x-3-4-x-1-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-150.075.150-TEE,1.385,lb,520-747,1.59,1.385,1.15,"Mueller Streamline 520-747 1-1/2"" x 3/4"" x 1-1/2"" Black Iron Tee"
2-x-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-200.075-TEE,1.753,lb,520-884,2.02,1.753,1.15,"Mueller Streamline 520-884 2"" x 2"" x 3/4"" Black Iron Tee"
1-1-4-x-3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-125.075-90EL-G,0.688,lb,510-164,0.79,0.688,1.15,"Mueller Streamline 510-164 1-1/4"" x 3/4"" - Galvanized Elbow - 90°"
1-black-iron-cap,UPDATE,UPDATE,BLIF-100-CAP,0.307,lb,521-405,0.35,0.307,1.14,"Mueller Streamline 521-405 1"" Black Iron Cap"
1-1-2-black-iron-elbow-45,UPDATE,UPDATE,BLIF-150-45EL,1.014,lb,520-207,1.16,1.014,1.14,"Mueller Streamline 520-207 1-1/2"" Black Iron Elbow - 45°"
2-1-2-x-2-black-iron-coupling,UPDATE,UPDATE,BLIF-250.200-CPL,2.26,lb,521-398,2.57,2.26,1.14,"Mueller Streamline 521-398 2-1/2"" x 2"" Black Iron Coupling"
1-galvanized-cap,UPDATE,UPDATE,GAIF-100-CAP-G,0.307,lb,511-405,0.35,0.307,1.14,"Mueller Streamline 511-405 1"" - Galvanized Cap"
1-1-2-galvanized-elbow-45,UPDATE,UPDATE,GAIF-150-45EL-G,1.014,lb,510-207,1.16,1.014,1.14,"Mueller Streamline 510-207 1-1/2"" - Galvanized Elbow - 45°"
3-4-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-075-ST90,0.392,lb,520-304,0.44,0.392,1.12,"Mueller Streamline 520-304 3/4"" Black Iron Elbow - 90° (Street)"
1-x-3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-100.075-90EL,0.492,lb,520-154,0.55,0.492,1.12,"Mueller Streamline 520-154 1"" x 3/4"" Black Iron Elbow - 90°"
3-4-galvanized-street-elbow-90-gaif-075-st90-g,UPDATE,UPDATE,GAIF-075-ST90-G,0.392,lb,510-304,0.44,0.392,1.12,"Mueller Streamline 510-304 3/4"" - Galvanized Street Elbow - 90°"
1-x-3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-100.075-90EL-G,0.492,lb,510-154,0.55,0.492,1.12,"Mueller Streamline 510-154 1"" x 3/4"" - Galvanized Elbow - 90°"
1-1-4-x-1-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-125.100.100-TEE,1.054,lb,520-655,1.17,1.054,1.11,"Mueller Streamline 520-655 1-1/4"" x 1"" x 1"" Black Iron Tee"
2-x-1-black-iron-coupling,UPDATE,UPDATE,BLIF-200.100-CPL,1.181,lb,521-385,1.31,1.181,1.11,"Mueller Streamline 521-385 2"" x 1"" Black Iron Coupling"
