Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
wedge-lok-base-seal,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 4.75, ""unit"": ""in""}"
franke-cube-23-in-x-18-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11021,UPDATE,"{""value"": 22.75, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
franke-cube-28-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11027,UPDATE,"{""value"": 28.5, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
franke-cube-31-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11030,UPDATE,"{""value"": 31.5, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
franke-cube-31-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-double-bowl-kitchen-sink-cux120,UPDATE,"{""value"": 31.5, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
franke-culinary-center-35-in-x-21-in-19-gauge-stainless-steel-undermount-double-bowl-kitchen-sink-workstation-cux16021-w,UPDATE,"{""value"": 35.19, ""unit"": ""in""}","{""value"": 21.38, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
franke-grande-32-75-in-x-18-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-gdx11031,UPDATE,"{""value"": 32.75, ""unit"": ""in""}","{""value"": 18.75, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
franke-maris-undermount-31-in-x-17-81-in-granite-single-bowl-kitchen-sink-in-matte-black,UPDATE,"{""value"": 31.0, ""unit"": ""in""}","{""value"": 17.81, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-maris-undermount-33-in-x-19-31-in-granite-single-bowl-kitchen-sink-in-matte-black,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 19.31, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-maris-topmount-25-in-x-22-in-granite-single-bowl-kitchen-sink-in-polar-white,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-maris-topmount-25-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-maris-topmount-33-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-peak-32-0-in-x-18-8-in-matte-black-granite-undermount-single-bowl-kitchen-sink-pkg11031mbk,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 18.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-peak-32-0-in-x-18-8-in-onyx-granite-undermount-single-bowl-kitchen-sink-pkg11031ony,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 18.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-single-bowl-kitchen-sink-pkg11031shg,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 18.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-peak-32-0-in-x-18-8-in-onyx-granite-undermount-double-bowl-kitchen-sink-pkg160ld-ony,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 18.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-double-bowl-kitchen-sink-pkg160ld-shg,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 18.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
plymouth-wall-hung-lav-19x17-4cc-white,UPDATE,"{""value"": 20.08, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}","{""value"": 18.74, ""unit"": ""in""}"
west-point-wall-hung-lav-14x12-4cc-white,UPDATE,"{""value"": 14.8, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}","{""value"": 13.35, ""unit"": ""in""}"
wicker-park-ped-top-or-wall-hung-lav-24-63x19-38-single-hole-white,UPDATE,"{""value"": 25.43, ""unit"": ""in""}","{""value"": 19.375, ""unit"": ""in""}","{""value"": 8.66, ""unit"": ""in""}"
monticello-ii-wall-hung-lav-20x18-4cc-white,UPDATE,"{""value"": 21.25, ""unit"": ""in""}","{""value"": 18.5, ""unit"": ""in""}","{""value"": 19.25, ""unit"": ""in""}"
logan-square-standard-undercounter-lav-20-75x17-38-white,UPDATE,"{""value"": 22.625, ""unit"": ""in""}","{""value"": 17.125, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
luxoval-undercounter-lav-19-25x15-75-white,UPDATE,"{""value"": 20.67, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}","{""value"": 9.84, ""unit"": ""in""}"
maxwell-s-rim-lav-20x17oval-1-hole-in-trapezoid-carton-white,UPDATE,"{""value"": 18.125, ""unit"": ""in""}","{""value"": 17.875, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
maxwell-s-rim-lav-20x17oval-4cc-in-trapezoid-carton-white,UPDATE,"{""value"": 18.125, ""unit"": ""in""}","{""value"": 17.875, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
maxwell-s-rim-lav-20x17oval-8cc-in-trapezoid-carton-white,UPDATE,"{""value"": 18.125, ""unit"": ""in""}","{""value"": 17.875, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
luxoval-s-rim-lav-20x17-4cc-white,UPDATE,"{""value"": 20.67, ""unit"": ""in""}","{""value"": 17.375, ""unit"": ""in""}","{""value"": 10.63, ""unit"": ""in""}"
logan-square-s-rim-lav-23-63x18-13-4cc-white,UPDATE,"{""value"": 24.37, ""unit"": ""in""}","{""value"": 18.125, ""unit"": ""in""}","{""value"": 8.27, ""unit"": ""in""}"
logan-square-s-rim-lav-23-63x18-13-8cc-white,UPDATE,"{""value"": 24.4, ""unit"": ""in""}","{""value"": 18.125, ""unit"": ""in""}","{""value"": 8.66, ""unit"": ""in""}"
wicker-park-countertop-lavatory-20-7-8x17-3-4-rectangle-with-u-shaped-basin-low-profile-single-hole-white,UPDATE,"{""value"": 23.625, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
wicker-park-countertop-lavatory-20-7-8x17-3-4-rectangle-with-u-shaped-basin-low-profile-8cc-white,UPDATE,"{""value"": 23.625, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
maxwell-se-1-6gpf-tank-12-rough-in-white,UPDATE,"{""value"": 17.72, ""unit"": ""in""}","{""value"": 8.75, ""unit"": ""in""}","{""value"": 15.75, ""unit"": ""in""}"
maxwell-se-1-6gpf-tank-10-rough-in-white,UPDATE,"{""value"": 18.11, ""unit"": ""in""}","{""value"": 8.75, ""unit"": ""in""}","{""value"": 15.35, ""unit"": ""in""}"
wicker-park-1-28gpf-tank-12-rough-in-white,UPDATE,"{""value"": 16.49, ""unit"": ""in""}","{""value"": 8.375, ""unit"": ""in""}","{""value"": 14.88, ""unit"": ""in""}"
maxwell-1-28gpf-tank-12-rough-in-for-wall-hung-back-outlet-bowl-g0021970-white,UPDATE,"{""value"": 18.01, ""unit"": ""in""}","{""value"": 7.25, ""unit"": ""in""}","{""value"": 15.5, ""unit"": ""in""}"
maxwell-1-28gpf-tank-12-rough-in-for-floor-mount-back-outlet-bowl-g0021975-white,UPDATE,"{""value"": 18.07, ""unit"": ""in""}","{""value"": 7.375, ""unit"": ""in""}","{""value"": 15.39, ""unit"": ""in""}"
maxwell-1-28gpf-tank-12-rough-in-white,UPDATE,"{""value"": 18.19, ""unit"": ""in""}","{""value"": 28.75, ""unit"": ""in""}","{""value"": 14.96, ""unit"": ""in""}"
maxwell-1-28gpf-tank-12-rough-in-right-hand-lever-white,UPDATE,"{""value"": 18.19, ""unit"": ""in""}","{""value"": 8.375, ""unit"": ""in""}","{""value"": 15.59, ""unit"": ""in""}"
maxwell-1-28gpf-tank-14-rough-in-white,UPDATE,"{""value"": 18.11, ""unit"": ""in""}","{""value"": 11.25, ""unit"": ""in""}","{""value"": 14.96, ""unit"": ""in""}"
maxwell-1-28gpf-tank-10-rough-in-white,UPDATE,"{""value"": 17.83, ""unit"": ""in""}","{""value"": 7.25, ""unit"": ""in""}","{""value"": 15.55, ""unit"": ""in""}"
logan-square-1-28gpf-tank-12-rough-in-white,UPDATE,"{""value"": 19.0, ""unit"": ""in""}","{""value"": 9.125, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}"
viper-1-28gpf-tank-12-rough-in-for-compact-elongated-bowl-white,UPDATE,"{""value"": 19.29, ""unit"": ""in""}","{""value"": 7.125, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}"
viper-1-28gpf-tank-12-rough-in-for-compact-elongated-bowl-right-hand-lever-white,UPDATE,"{""value"": 19.0, ""unit"": ""in""}","{""value"": 8.375, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}"
maxwell-1-6gpf-tank-10-ri-for-regular-bowl-or-12-ri-for-compact-elongated-bowl-white,UPDATE,"{""value"": 17.87, ""unit"": ""in""}","{""value"": 7.25, ""unit"": ""in""}","{""value"": 14.96, ""unit"": ""in""}"
viper-1-6gpf-tank-12-rough-in-white,UPDATE,"{""value"": 18.11, ""unit"": ""in""}","{""value"": 7.625, ""unit"": ""in""}","{""value"": 15.24, ""unit"": ""in""}"
rubix-6030-afr-acrylic-alcove-right-hand-drain-bathtub-in-white,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 20.375, ""unit"": ""in""}"
exhibit-6636-ifs-acrylic-alcove-right-hand-drain-bathtub-in-white,UPDATE,"{""value"": 65.875, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}"
ss3660-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-left-seat,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 77.375, ""unit"": ""in""}"
ss3660-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-right-seat,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 77.375, ""unit"": ""in""}"
tsea-plus-60-x-32-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 78.0, ""unit"": ""in""}"
tsea-plus-60-x-32-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 78.0, ""unit"": ""in""}"
tstea-plus-60-x-32-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 78.0, ""unit"": ""in""}"
tstea-plus-60-x-32-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 78.0, ""unit"": ""in""}"
sst42-42-x-34-acrylx-alcove-center-drain-one-piece-shower-in-white-no-seat,UPDATE,"{""value"": 42.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 75.0, ""unit"": ""in""}"
sst36-36-x-36-acrylx-alcove-center-drain-one-piece-shower-in-white-no-seat,UPDATE,"{""value"": 36.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
ss3648-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-right-seat,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 75.0, ""unit"": ""in""}"
ss3660-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 75.0, ""unit"": ""in""}"
sst3660-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
tsea63-60-x-34-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 77.75, ""unit"": ""in""}"
tsea63-60-x-34-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 77.75, ""unit"": ""in""}"
tstea62-60-x-31-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 31.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
tstea62-60-x-31-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 31.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
tstea63-60-x-34-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
tstea63-60-x-34-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
vo6042-5-ft-acrylx-alcove-center-drain-bathtub-in-white,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 42.0, ""unit"": ""in""}","{""value"": 18.25, ""unit"": ""in""}"
ss3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 72.0, ""unit"": ""in""}"
sst3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 75.0, ""unit"": ""in""}"
kdts-3060-afr-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,UPDATE,"{""value"": 59.875, ""unit"": ""in""}","{""value"": 30.125, ""unit"": ""in""}","{""value"": 79.625, ""unit"": ""in""}"
kdts-3260-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,UPDATE,"{""value"": 59.875, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 79.25, ""unit"": ""in""}"
kdts-3260-acrylx-alcove-right-hand-drain-four-piece-tub-shower-in-white,UPDATE,"{""value"": 59.875, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 79.25, ""unit"": ""in""}"
kdts-3260-afr-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,UPDATE,"{""value"": 59.875, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 81.75, ""unit"": ""in""}"
kdts-3260-afr-acrylx-alcove-right-hand-drain-four-piece-tub-shower-in-white,UPDATE,"{""value"": 59.875, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 81.75, ""unit"": ""in""}"
kds-3636-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-no-seat,UPDATE,"{""value"": 35.875, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 79.5, ""unit"": ""in""}"
kds-3448-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-left-seat,UPDATE,"{""value"": 47.875, ""unit"": ""in""}","{""value"": 33.625, ""unit"": ""in""}","{""value"": 82.25, ""unit"": ""in""}"
kds-3448-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-right-seat,UPDATE,"{""value"": 47.875, ""unit"": ""in""}","{""value"": 33.625, ""unit"": ""in""}","{""value"": 82.25, ""unit"": ""in""}"
kds-3060-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-no-seat,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 82.25, ""unit"": ""in""}"
kds-3060-afr-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 82.25, ""unit"": ""in""}"
kds-3460-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 33.5, ""unit"": ""in""}","{""value"": 80.125, ""unit"": ""in""}"
kds-3460-afr-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 33.5, ""unit"": ""in""}","{""value"": 82.125, ""unit"": ""in""}"
kds-3460-afr-acrylx-alcove-left-hand-drain-four-piece-shower-in-white-right-seat,UPDATE,"{""value"": 59.75, ""unit"": ""in""}","{""value"": 33.5, ""unit"": ""in""}","{""value"": 82.125, ""unit"": ""in""}"
scratched-or-dented-all-sales-are-final-sst3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 75.0, ""unit"": ""in""}"
toto-promenade-ii-universal-height-toilet-bowl-with-cefiontect-cotton-white-c404cufg-01,UPDATE,"{""value"": 28.125, ""unit"": ""in""}","{""value"": 14.0, ""unit"": ""in""}","{""value"": 16.25, ""unit"": ""in""}"
toto-drake-ii-universal-height-elongated-toilet-bowl-with-cefiontect-cotton-white-c454cufg-01,UPDATE,"{""value"": 27.875, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}","{""value"": 16.125, ""unit"": ""in""}"
toto-dartmouth-and-whitney-universal-height-elongated-toilet-bowl-cotton-white-c754ef-01,UPDATE,"{""value"": 27.0, ""unit"": ""in""}","{""value"": 14.0, ""unit"": ""in""}","{""value"": 16.5, ""unit"": ""in""}"
toto-eco-clayton-and-clayton-universal-height-elongated-toilet-bowl-sedona-beige-c784ef-12,UPDATE,"{""value"": 28.5, ""unit"": ""in""}","{""value"": 14.0, ""unit"": ""in""}","{""value"": 16.125, ""unit"": ""in""}"
toto-usa-cotton-undermount-sinks-4-on-center-faucet-hole-vitreous-china-21-1-4-x-17-1-4-x-7-1-2,UPDATE,"{""value"": 21.25, ""unit"": ""in""}","{""value"": 17.25, ""unit"": ""in""}","{""value"": 7.5, ""unit"": ""in""}"
toto-nexus-one-piece-elongated-1-28-gpf-universal-height-toilet-with-ss124-softclose-seat-washlet-ready-ebony-ms642124cef-51,UPDATE,"{""value"": 28.5625, ""unit"": ""in""}","{""value"": 17.5, ""unit"": ""in""}","{""value"": 27.0, ""unit"": ""in""}"
neorest-rs-dual-flush-1-0-or-0-8-gpf-toilet-with-intergeated-bidet-seat-and-ewater-cotton-white-ms8341cumfg-01,UPDATE,"{""value"": 27.125, ""unit"": ""in""}","{""value"": 15.25, ""unit"": ""in""}","{""value"": 21.5, ""unit"": ""in""}"
toto-ultimate-one-piece-elongated-1-6-gpf-toilet-cotton-white-ms854114-01,UPDATE,"{""value"": 28.125, ""unit"": ""in""}","{""value"": 16.5, ""unit"": ""in""}","{""value"": 27.125, ""unit"": ""in""}"
neorest-as-dual-flush-1-0-or-0-8-gpf-toilet-with-intergeated-bidet-seat-and-ewater-cotton-white-ms8551cumfg-01,UPDATE,"{""value"": 27.25, ""unit"": ""in""}","{""value"": 15.25, ""unit"": ""in""}","{""value"": 21.375, ""unit"": ""in""}"
toto-eco-guinevere-elongated-1-28-gpf-universal-height-skirted-toilet-with-cefiontect-and-softclose-seat-cotton-white-ms974224cefg-01,UPDATE,"{""value"": 28.25, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}","{""value"": 28.0, ""unit"": ""in""}"
toto-washlet-a2-electronic-bidet-toilet-seat-with-heated-seat-and-softclose-lid-elongated-cotton-white-sw3004-01,UPDATE,"{""value"": 20.9375, ""unit"": ""in""}","{""value"": 18.625, ""unit"": ""in""}","{""value"": 6.625, ""unit"": ""in""}"
toto-washlet-k300-electronic-bidet-toilet-seat-with-instantaneous-water-heating-premist-and-ewater-wand-cleaning-elongated-cotton-white-sw3036r-01,UPDATE,"{""value"": 20.875, ""unit"": ""in""}","{""value"": 15.0625, ""unit"": ""in""}","{""value"": 5.8125, ""unit"": ""in""}"
toto-s7-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-and-classic-lid-elongated-cotton-white-sw4724at40-01,UPDATE,"{""value"": 20.875, ""unit"": ""in""}","{""value"": 15.0625, ""unit"": ""in""}","{""value"": 4.0625, ""unit"": ""in""}"
toto-s7-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-and-contemporary-lid-elongated-cotton-white-sw4726at40-01,UPDATE,"{""value"": 20.875, ""unit"": ""in""}","{""value"": 15.0625, ""unit"": ""in""}","{""value"": 4.0625, ""unit"": ""in""}"
toto-s7a-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-auto-open-and-close-contemporary-lid-elongated-cotton-white-sw4736at40-01,UPDATE,"{""value"": 20.875, ""unit"": ""in""}","{""value"": 15.0625, ""unit"": ""in""}","{""value"": 4.0625, ""unit"": ""in""}"
1-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 16.9, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}"
1-600xl-pressure-reducing-valve,UPDATE,"{""value"": 6.4, ""unit"": ""in""}","{""value"": 3.3, ""unit"": ""in""}","{""value"": 7.25, ""unit"": ""in""}"
1-70xl-pressure-reducing-valve,UPDATE,"{""value"": 6.4, ""unit"": ""in""}","{""value"": 3.3, ""unit"": ""in""}","{""value"": 6.5, ""unit"": ""in""}"
1-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 11.8125, ""unit"": ""in""}","{""value"": 6.9375, ""unit"": ""in""}","{""value"": 3.4688, ""unit"": ""in""}"
1-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,UPDATE,"{""value"": 5.5, ""unit"": ""in""}","{""value"": 2.8, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
1-1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 23.5, ""unit"": ""in""}","{""value"": 11.5, ""unit"": ""in""}","{""value"": 7.6, ""unit"": ""in""}"
1-1-2-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 15.6875, ""unit"": ""in""}","{""value"": 9.25, ""unit"": ""in""}","{""value"": 4.625, ""unit"": ""in""}"
112-sxl-1-1-2-sxl-cast-bronze-wye-type-strainer,UPDATE,"{""value"": 6.25, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 2.5, ""unit"": ""in""}"
1-1-4-600xl-pressure-reducing-valve,UPDATE,"{""value"": 7.13, ""unit"": ""in""}","{""value"": 3.8, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
1-1-4-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 15.5625, ""unit"": ""in""}","{""value"": 9.25, ""unit"": ""in""}","{""value"": 4.0625, ""unit"": ""in""}"
1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 12.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}","{""value"": 3.375, ""unit"": ""in""}"
1-2-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 9.3125, ""unit"": ""in""}","{""value"": 6.5938, ""unit"": ""in""}","{""value"": 2.8125, ""unit"": ""in""}"
1-2-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,UPDATE,"{""value"": 5.5, ""unit"": ""in""}","{""value"": 2.8, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
700xl-dual-check-valve-with-1-2-female-union-inlet-x-1-2-female-outlet,UPDATE,"{""value"": 4.1, ""unit"": ""in""}","{""value"": 2.3, ""unit"": ""in""}","{""value"": 2.1, ""unit"": ""in""}"
2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 23.5, ""unit"": ""in""}","{""value"": 11.5, ""unit"": ""in""}","{""value"": 7.6, ""unit"": ""in""}"
2-600xl-pressure-reducing-valve,UPDATE,"{""value"": 10.9, ""unit"": ""in""}","{""value"": 6.5, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}"
3-375ast-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 32.88, ""unit"": ""in""}","{""value"": 11.75, ""unit"": ""in""}","{""value"": 22.5, ""unit"": ""in""}"
3-ductile-iron-wye-type-strainer,UPDATE,"{""value"": 12.6, ""unit"": ""in""}","{""value"": 7.4, ""unit"": ""in""}","{""value"": 10.6, ""unit"": ""in""}"
3-4-350xl-double-check-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 12.0, ""unit"": ""in""}","{""value"": 4.6, ""unit"": ""in""}","{""value"": 5.6, ""unit"": ""in""}"
3-4-600xlpressure-reducing-valve,UPDATE,"{""value"": 5.5, ""unit"": ""in""}","{""value"": 2.8, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
3-4-70xl-pressure-reducing-valve,UPDATE,"{""value"": 5.5, ""unit"": ""in""}","{""value"": 2.8, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
3-4-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 10.0, ""unit"": ""in""}","{""value"": 6.5938, ""unit"": ""in""}","{""value"": 2.9375, ""unit"": ""in""}"
1-2-1-air-gap-fitting-compatible-with-model-375-375xl,UPDATE,"{""value"": 3.4, ""unit"": ""in""}","{""value"": 6.5, ""unit"": ""in""}","{""value"": 3.8, ""unit"": ""in""}"
1-1-4-2-air-gap-fitting-compatible-with-model-375-375xl,UPDATE,"{""value"": 8.9, ""unit"": ""in""}","{""value"": 8.4, ""unit"": ""in""}","{""value"": 5.3, ""unit"": ""in""}"
3-4-1-fitting-compatible-with-model-975lx-975xl2,UPDATE,"{""value"": 3.1, ""unit"": ""in""}","{""value"": 3.1, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}"
2-1-2-6-air-gap-fitting-compatible-with-model-375-375a-475,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
