sku,titulo,perfil,preco_usd,peso_real_lb,volume_pol3,peso_dimensional_lb,lb_extra_faturado,razao_dim_real,acao
SIOU-525-162PB,"Sioux Chief 525-162PB Twisted bracket with two plastic bend supports for 16"" Stud Bay",Standard,8.02,0.68,1402.0,10.09,9.41,14.8,revisar cotacao
SIOU-822-3PNR,"Sioux Chief 822-3PNR 3"" Round Grate Floor Drain 5-7/8"" Nickel Bronze PVC",General,80.73,1.98,1579.0,11.36,9.38,5.7,mover p/ Freight ou Standard
SIOU-822-2PNR,"Sioux Chief 822-2PNR 2"" Round Grate Floor Drain 5-7/8"" Nickel Bronze PVC",General,80.73,1.98,1579.0,11.36,9.38,5.7,mover p/ Freight ou Standard
SIOU-630WGD288E,"Sioux Chief 630WGD288E 1/2"" x 8"" x 8"" PEX F1960 Stub Out Elbow with Nail Flange",General,30.45,0.65,1392.0,10.02,9.37,15.4,mover p/ Freight ou Standard
GROH-13.366000,Diverter Tub Spout in GROHE CHROME 13366000,General,75.25,1.36,1492.0,10.73,9.37,7.9,mover p/ Freight ou Standard
SIOU-842-4LNR,"Sioux Chief 842-4LNR 4"" Top Only with Round Grate 5-1/2"" Nickel Bronze Finish",General,84.31,2.06,1579.0,11.36,9.3,5.5,mover p/ Freight ou Standard
BURN-110019-03,"US Boiler (Burnham) 110019-03 Direct Vent Conversion Kit, 3 Section - for X-PV, PVCG-C, AGDV-E, BWF-B",General,609.09,6.0,2112,15.19,9.19,2.5,mover p/ Freight ou Standard
SIOU-695-D432F,"Sioux Chief 695-D432F Trap Primer Distributor with four 1/2"" FIP connections",General,53.18,0.84,1392.0,10.02,9.18,11.9,mover p/ Freight ou Standard
SIOU-554-100W,"Sioux Chief 554-100W 3/4"" x 100' Woven Hanger Strap",Standard,16.02,0.91,1392.0,10.02,9.11,11.0,revisar cotacao
SMIT-30-HDS,"Smitty Pan 30-HDS 30"" - Round Metal Water Heater Pan, Side Drain Hole",Standard,69.12,3.4,1728,12.43,9.03,3.7,revisar cotacao
AMST-3437C.101.020,American Standard 3437C101.020 Colony®3 Standard Height Elongated Bowl White,Standard,135.65,40.0,6814.0,49.02,9.02,1.2,revisar cotacao
SIOU-200-092,"Sioux Chief 200-092 1-1/2"" x 6"" Direct Connection Trap Primer Tailpiece 1/2"" Branch Bra Stainless Steel Nut Chrome",Standard,23.25,1.0,1392.0,10.02,9.02,10.0,revisar cotacao
AMST-7745.811,American Standard 7745811 Removable Vinyl Rim Guard for Florwell Service Sink,Standard,185.58,5.0,1944.0,13.98,8.98,2.8,revisar cotacao
SIOU-852-4LNR,"Sioux Chief 852-4LNR Adjustable Floor Cleanout 4"" MIP ABS 6"" Nickel Bronze Round Cover",General,115.73,2.49,1579.0,11.36,8.87,4.6,mover p/ Freight ou Standard
MLWV-UPBA-480BH-34,"Milwaukee Valve UPBA-480BH-34 3/4"" - Press x Hose - Low Lead Brass, Full Port - Ball Valve - 200 PSI",General,137.46,3.58,1728,12.43,8.85,3.5,mover p/ Freight ou Standard
VEGA-32823,"Viega 1/2"" x 300' Red PureFlow PEX Tubing 32823",Standard,157.89,24.0,4565.0,32.84,8.84,1.4,revisar cotacao
AMST-0643.001.020,American Standard 0643001.020 Studio® Drop-In Sink With Center Hole Only White,General,292.94,17.0,3590.0,25.83,8.83,1.5,mover p/ Freight ou Standard
MOEN-7594EVBL,Moen 7594EVBL Arbor Single-Handle Smart Touchless Pull Down Sprayer Kitchen Faucet with Voice Control and Power Boost in Matte Black,General,764.28,5.0,1915.0,13.78,8.78,2.8,mover p/ Freight ou Standard
TOTO-CT708UG-01,Toto CT708UG#01 COMMERCIAL WALL MOUNT EL BOWL TOP SPUD CEFIONTECT COTTON,Standard,295.62,40.0,6777.0,48.76,8.76,1.2,revisar cotacao
TOTO-CT708U-01,Toto CT708U#01 COMMERCIAL WALL MOUNT EL BOWL TOP SPUD COTTON,Standard,232.44,40.0,6777.0,48.76,8.76,1.2,revisar cotacao
SIOU-695-01,Sioux Chief 695-01 Prime Perfect Trap Primer 0 to 8 Traps,General,81.82,1.26,1392.0,10.02,8.76,8.0,mover p/ Freight ou Standard
SIOU-869-S3A,"Sioux Chief 869-S3A 3"" ABS Backwater Valve",Standard,45.83,1.5,1402.0,10.09,8.59,6.7,revisar cotacao
VEGA-32021,"Viega 32021 1/2"" x 100' White PureFlow PEX Tubing",Standard,44.2,5.33,1933.0,13.91,8.58,2.6,revisar cotacao
VEGA-32221,"Viega 32221 1/2"" x 100' Blue PureFlow PEX Tubing",Standard,44.2,5.35,1933.0,13.91,8.56,2.6,revisar cotacao
VEGA-32121,"Viega 32121 1/2"" x 100' Red PureFlow PEX Tubing",Standard,44.2,5.35,1933.0,13.91,8.56,2.6,revisar cotacao
SIOU-842-2LNQ,"Sioux Chief 842-2LNQ 2"" Top Only with Square Grate 4-1/2"" Nickel Bronze Finish",General,66.38,1.7,1426.0,10.26,8.56,6.0,mover p/ Freight ou Standard
SIOU-554-100,"Sioux Chief 554-100 3/4"" x 100' Plastic Hanger Strap",Standard,15.36,1.5,1392.0,10.02,8.52,6.7,revisar cotacao
GERB-D205012SS,Gerber D205012SS Melrose Wall Mount Pot Filler 2.2gpm Stainless Steel,General,440.64,6.54,2091.0,15.04,8.5,2.3,mover p/ Freight ou Standard
DURA-0481460000,"Duravit 0481460000 Design Classics 18 1/8"" Oval Undermount Sink in White with Overflow",General,170.62,13.23,3010.0,21.66,8.43,1.6,mover p/ Freight ou Standard
GROH-39.656.000,"Grohe 39656000 Wall Mount 24"" Bathroom Sink, 1-hole in GROHE ALPINE WHITE",Standard,304.51,18.5,3743.0,26.92,8.42,1.5,revisar cotacao
SIOU-822-2ANR,"Sioux Chief 822-2ANR 2"" Round Grate Floor Drain 5-7/8"" Nickel Bronze ABS",Standard,80.73,3.0,1579.0,11.36,8.36,3.8,revisar cotacao
GERB-12-354,"Gerber G0012354 West Point Wall Hung Lav 14x12 4""CC White",Standard,86.25,19.0,3802.0,27.35,8.35,1.4,revisar cotacao
BURN-110019-04,"US Boiler (Burnham) 110019-04 Direct Vent Conversion Kit, 4 Section - for X-PV, PVCG-C, AGDV-E, BWF-B",General,648.72,7.0,2112,15.19,8.19,2.2,mover p/ Freight ou Standard
SIOU-869-S3P,"Sioux Chief 869-S3P 3"" PVC Backwater Valve",Standard,45.83,1.95,1402.0,10.09,8.14,5.2,revisar cotacao
TOTO-CT474CUFG-01,"TOTO® Vespin® II Universal Height Elongated Skirted Toilet Bowl with CEFIONTECT, Cotton White - CT474CUFG#01",Standard,614.64,75.2,11584.0,83.34,8.14,1.1,revisar cotacao
DIAB-DHS08SCTR,Diablo DHS08SCTR Demo Demon® Carbide Teeth Rough-In Hole Saw Set (8-Piece),General,404.75,0.24,1157.0,8.33,8.09,34.7,mover p/ Freight ou Standard
DIAB-DHS17SPL,Diablo DHS17SPL 17 pc Bi-Metal Hole Saw Set for Plumbers,General,280.38,0.49,1156.0,8.32,7.83,17.0,mover p/ Freight ou Standard
DIAB-DHS11SLD,Diablo DHS11SLD 11 pc Bi-Metal Hole Saw Set,General,210.99,0.49,1156.0,8.32,7.83,17.0,mover p/ Freight ou Standard
SIOU-864-2A,"Sioux Chief 864-2A 2"" Solvent Weld General Purpose Floor Drain - Gray ABS Finish",Standard,57.96,2.36,1392.0,10.02,7.66,4.2,revisar cotacao
ZOEL-30-0101,"Zoeller Pump 30-0101 2"" TRI-CHECK® VALVE",Standard,68.66,2.8,1420.0,10.22,7.42,3.6,revisar cotacao
SIOU-827-2B,"Sioux Chief 827-2B 2"" No-Caulk Shower Drain Bronze Round Grate",Standard,36.31,1.59,1250.0,8.99,7.4,5.7,revisar cotacao
ZOEL-30-0181,"Zoeller Pump 30-0181 1-1/4"" OR 1-1/2"" SLIP X SLIP CHECK VALVE",Standard,26.34,0.9,1152.0,8.29,7.39,9.2,revisar cotacao
SIOU-630X468,"Sioux Chief 630X468 1"" x 6"" x 8"" PEX F1870 Stub Out Elbow",General,27.66,0.64,1112.0,8.0,7.36,12.5,mover p/ Freight ou Standard
GERB-12-654,"Gerber G0012654 Monticello II Wall Hung Lav 20""x18"" 4""CC White",Standard,121.88,37.0,6160.0,44.32,7.32,1.2,revisar cotacao
MOEN-159060,Moen 159060 Hose guide,General,24.75,0.7,1108.0,7.97,7.27,11.4,mover p/ Freight ou Standard
TOTO-C776CEFG-01,"TOTO® Drake® Elongated Universal Height TORNADO FLUSH® Toilet Bowl with CEFIONTECT®, Cotton White - C776CEFG#01",Standard,241.02,46.1,7417.0,53.36,7.26,1.2,revisar cotacao
TOTO-C776CEFG-12,"TOTO® Drake® Elongated Universal Height TORNADO FLUSH® Toilet Bowl with CEFIONTECT®, Sedona Beige - C776CEFG#12",Standard,276.9,46.1,7417.0,53.36,7.26,1.2,revisar cotacao
TOTO-C776CEFG.10-01,"TOTO® Drake® Elongated Universal Height TORNADO FLUSH® Toilet Bowl with 10"" Rough-In and CEFIONTECT®, Cotton White - C776CEFG.10#01",Standard,276.9,46.1,7417.0,53.36,7.26,1.2,revisar cotacao
TOTO-C776CEFGT40-01,"TOTO® Drake® Elongated Universal Height TORNADO FLUSH® Toilet Bowl with CEFIONTECT®, WASHLET®+ Ready, Cotton White - C776CEFGT40#01",Standard,241.02,46.1,7417.0,53.36,7.26,1.2,revisar cotacao
TOTO-C776CEF-51,"TOTO® Drake® Elongated Universal Height Universal Height TORNADO FLUSH® Toilet Bowl, Ebony - C776CEF#51",Standard,362.7,46.1,7417.0,53.36,7.26,1.2,revisar cotacao
TOTO-C776CEFG-11,"TOTO® Drake® Elongated Universal Height TORNADO FLUSH® Toilet Bowl with CEFIONTECT®, Colonial White - C776CEFG#11",Standard,220.74,46.1,7417.0,53.36,7.26,1.2,revisar cotacao
MUST-63MX,"E. L Mustee & Sons E.L. Mustee & Sons - (Mop/Service Sink) Colorfast Marbleized White, Single Bowl Sinks Molded Fiberglass - 24"" x 24"" x 10""",Standard,257.36,45.0,7258.0,52.21,7.21,1.2,revisar cotacao
BURN-110019-05,"US Boiler (Burnham) 110019-05 Direct Vent Conversion Kit, 5 Section - for X-PV, PVCG-C, AGDV-E, BWF-B",General,683.38,8.0,2112,15.19,7.19,1.9,mover p/ Freight ou Standard
SIOU-888-GAM,"Sioux Chief 888-GAM 3"" Inside Fit ABS Push-Tite Closet Flange with Plastic Ring & 4"" Tailpiece",General,31.44,0.7,1096.0,7.88,7.18,11.3,mover p/ Freight ou Standard
BRPN-125-CLS,"Legend Valve 311-120 1-1/4"" x Close Red Brass Pipe Nipple",Standard,10.5,30.0,5166.0,37.16,7.16,1.2,revisar cotacao
TOTO-SW4549AT60-01,TOTO® SW WASHLET®+ Ready Square Electronic Bidet Toilet Seat with Auto Flush Ready Cotton White - SW4549AT60#01,General,4499.04,10.7,2482.0,17.86,7.16,1.7,mover p/ Freight ou Standard
ROHL-U.4719L-ULB-2,Perrin & Rowe U.4719L-ULB-2 Georgian Era™ Bridge Kitchen Faucet With Side Spray in Unlacquered Brass,General,3861.0,5.0,1689.0,12.15,7.15,2.4,mover p/ Freight ou Standard
CHER-271063,Cherne® 271063 6 in. Long Test-Ball® Plug,General,318.94,5.3,1728,12.43,7.13,2.3,mover p/ Freight ou Standard
RBRN-RC2026D4FB1,"Robern K-RC2026D4FB1 20"" x 4"" x 26"", Satin, Anodized Aluminum, Flat/Beveled Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",General,821.55,25.0,4466,32.13,7.13,1.3,mover p/ Freight ou Standard
RBRN-RC2026D4FP1,"Robern K-RC2026D4FP1 20"" x 4"" x 26"", Satin, Anodized Aluminum, Flat/Polished Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",General,821.55,25.0,4466,32.13,7.13,1.3,mover p/ Freight ou Standard
SIOU-533-2,Sioux Chief 533-2 Double Stud Shoe,Standard,7.5,0.68,1078.0,7.75,7.07,11.4,revisar cotacao
DURA-0711500008,"Duravit 0711500008 Happy D.2 19 5/8"" Rectangular Wall Mounted Sink in White with Single Faucet Hole",General,326.62,1.0,1120.0,8.06,7.06,8.1,mover p/ Freight ou Standard
ELKA-SEHS-17X,"Elkay SEHS-17X Stainless Steel 17"" x 15"" x 11"" 20 Gauge Hand Sink with Faucet",Standard,253.05,22.0,4032,29.01,7.01,1.3,revisar cotacao
SIOU-869-2A,"Sioux Chief 869-2A 2"" ABS Backwater Valve",General,33.26,0.63,1056.0,7.6,6.97,12.1,mover p/ Freight ou Standard
SIOU-888-GPM,"Sioux Chief 888-GPM 3"" Inside Fit PVC Push-Tite Closet Flange with Plastic Ring & 4"" Tailpiece",General,31.44,0.91,1096.0,7.88,6.97,8.7,mover p/ Freight ou Standard
SIOU-869-2P,"Sioux Chief 869-2P 2"" PVC Backwater Valve",General,33.26,0.7,1056.0,7.6,6.9,10.9,mover p/ Freight ou Standard
GERB-12-884-CH,"Gerber G0012884CH Maxwell S-Rim Lav 19""Round 4""CC in Trapezoid Carton White",Standard,52.5,18.0,3456,24.86,6.86,1.4,revisar cotacao
CTRO-ISVL062,"Centrotherm 6"" x 24"" - PolyPro Single Wall Vent Pipe",General,144.36,3.2,1383.0,9.95,6.75,3.1,mover p/ Freight ou Standard
MOEN-26100EP,Moen 26100EP Engage 6-Spray Wall Mount Handheld Shower Head 1.75 GPM in Chrome,Standard,63.8,1.8,1183.0,8.51,6.71,4.7,revisar cotacao
ZOEL-30-0015,"Zoeller Pump 30-0015 1-1/2"" COMPRESSION UNICHECK",General,86.52,1.1,1078.0,7.76,6.66,7.1,mover p/ Freight ou Standard
TOTO-TSU08W.14,"Toto TSU08W.14 14"" Unifit Rough-In Kit",General,114.56,0.63,1003.0,7.22,6.59,11.5,mover p/ Freight ou Standard
SIOU-630X348,"Sioux Chief 630X348 3/4"" x 4"" x 8"" F1870 Stub Out Elbow",General,19.82,0.43,970.0,6.98,6.55,16.2,mover p/ Freight ou Standard
DURA-0305430000,"Duravit 0305430000 Starck 3 18 1/4"" Rectangular Undermount Sink in White with Overflow",General,438.75,16.31,3177.0,22.86,6.55,1.4,mover p/ Freight ou Standard
SIOU-842-82PT,"Sioux Chief 842-82PT Adapter PVC 2"" Flanged with 1/2"" port",Standard,13.46,0.46,970.0,6.98,6.52,15.2,revisar cotacao
SIOU-525-1612,"Sioux Chief 525-1612 StrongArm Bracket with one 1/2"" LockBlock for 16"" Stud Bay",Standard,4.89,0.47,970.0,6.98,6.51,14.9,revisar cotacao
SIOU-525-1622,"Sioux Chief 525-1622 StrongArm Bracket with two 1/2"" LockBlocks for 16"" Stud Bay",Standard,6.11,0.48,970.0,6.98,6.5,14.5,revisar cotacao
SIOU-825-27A,"Sioux Chief 825-27A ABS 2"" Solvent Weld Shower Drain with Snap-In Stainless Steel Strainer",Standard,8.4,0.52,970.0,6.98,6.46,13.4,revisar cotacao
SIOU-525-1623,"Sioux Chief 525-1623 StrongArm Bracket with two 3/4"" LockBlocks for 16"" Stud Bay",Standard,7.32,0.54,970.0,6.98,6.44,12.9,revisar cotacao
SIOU-825-20A,"Sioux Chief 825-20A ABS 2"" Shower Drain with 4-1/4"" Stainless Steel Round Grate",Standard,10.14,0.57,970.0,6.98,6.41,12.2,revisar cotacao
TOTO-TSU03W.12R,"Toto TSU03W.12R 12"" Unifit Rough-In - for 934, 964 and 974 One-Piece Toilets",General,114.56,0.63,976.0,7.03,6.4,11.2,mover p/ Freight ou Standard
SIOU-825-2A,"Sioux Chief 825-2A ABS 2"" Shower Drain with 4-1/4"" Stainless Steel Round Grate",Standard,8.54,0.59,970.0,6.98,6.39,11.8,revisar cotacao
SIOU-828-2,"Sioux Chief 828-2 4-1/4"" Snap-In Replacement Shower Drain Grate, White",Standard,10.95,0.61,970.0,6.98,6.37,11.4,revisar cotacao
RBRN-RC1626D4FB1,"Robern K-RC1626D4FB1 16"" x 4"" x 26"", Satin, Anodized Aluminum, Flat/Beveled Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",General,681.35,20.0,3654,26.29,6.29,1.3,mover p/ Freight ou Standard
SIOU-825-2P,"Sioux Chief 825-2P PVC 2"" Shower Drain with 4-1/4"" Stainless Steel Round Grate",Standard,8.54,0.7,970.0,6.98,6.28,10.0,revisar cotacao
SIOU-633-G3TM11,"Sioux Chief 633-G3TM11 11"" Water Heater Connector for Expansion Tank",General,35.25,0.73,970.0,6.98,6.25,9.6,mover p/ Freight ou Standard
ZOEL-30-0021,"Zoeller Pump 30-0021 2"" UNICHECK PLASTIC CHECK VALVE",General,54.55,1.6,1089.0,7.83,6.23,4.9,mover p/ Freight ou Standard
AMST-6550.001.020,American Standard 6550001.020 Allbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Siphon Jet Urinal White,General,203.9,32.2,5338.0,38.4,6.2,1.2,mover p/ Freight ou Standard
BURN-110019-06,"US Boiler (Burnham) 110019-06 Direct Vent Conversion Kit, 6 Section - for X-PV, PVCG-C, AGDV-E, BWF-B",General,698.22,9.0,2112,15.19,6.19,1.7,mover p/ Freight ou Standard
ZILM-ZFT18R,Zilmet ZFT18R-30 4.8 Gallon Expansion Tank Rectangular,Standard,276.44,9.0,2100,15.11,6.11,1.7,revisar cotacao
GERB-12-831-CH,"Gerber G0012831CH Maxwell S-Rim Lav 20""X17""Oval 1-Hole in Trapezoid Carton White",Standard,52.5,20.0,3629.0,26.11,6.11,1.3,revisar cotacao
GERB-12-834-CH,"Gerber G0012834CH Maxwell S-Rim Lav 20""X17""Oval 4""CC in Trapezoid Carton White",Standard,52.5,20.0,3629.0,26.11,6.11,1.3,revisar cotacao
GERB-12-838-CH,"Gerber G0012838CH Maxwell S-Rim Lav 20""X17""Oval 8""CC in Trapezoid Carton White",Standard,52.5,20.0,3629.0,26.11,6.11,1.3,revisar cotacao
SIOU-821-2AQRB,"Sioux Chief 821-2AQRB ABS 2"" Shower Drain, Oil Rubbed Bronze Square Grate",General,82.88,0.88,970.0,6.98,6.1,7.9,mover p/ Freight ou Standard
SIOU-213-092,"Sioux Chief 213-092 1-1/2"" x 8"" Direct Connection Trap Primer Tailpiece Chrome Metal",Standard,24.6,1.0,970.0,6.98,5.98,7.0,revisar cotacao
TOTO-THU773-BN-A,"Toto THU773#BN-A Trip Lever Handle, Brushed Nickel",General,78.11,0.63,914.0,6.58,5.95,10.4,mover p/ Freight ou Standard
TOTO-SS234-01,"TOTO® SoftClose® Ultra Slim, Non-Slamming Toilet Seat and Lid, Cotton White - SS234#01",General,260.52,5.8,1622.0,11.67,5.87,2.0,mover p/ Freight ou Standard
ZOEL-30-0100,"Zoeller Pump 30-0100 1-1/2"" TRI-CHECK® VALVE",Standard,51.73,2.0,1089.0,7.83,5.83,3.9,revisar cotacao
MOEN-7594EWBL,Moen 7594EWBL Arbor Touchless Single-Handle Pull-Down Sprayer Kitchen Faucet with MotionSense Wave in Matte Black,General,678.04,5.0,1500.0,10.79,5.79,2.2,mover p/ Freight ou Standard
SIOU-821-200ANR,"Sioux Chief 821-200ANR ABS 2"" Shower Drain Nickel Bronze Round Grate 4-7/16""",General,54.41,1.55,1007.0,7.25,5.7,4.7,mover p/ Freight ou Standard
BRAS-1-36AC,"BrassCraft 1-36A C 3/8"" x 36"" Sink Supply",General,26.1,0.32,827.0,5.95,5.63,18.6,mover p/ Freight ou Standard
TOTO-TSU08W.12,"Toto TSU08W.12 12"" Unifit Rough-In - for Aquia IV",General,114.56,0.63,867.0,6.24,5.61,9.9,mover p/ Freight ou Standard
SIOU-821-200ASR,"Sioux Chief 821-200ASR ABS 2"" Shower Drain Matte Stainless Steel Round Grate 4-7/16""",Standard,52.8,1.7,1007.0,7.25,5.55,4.3,revisar cotacao
AMST-3437D.101.020,American Standard 3437D101.020 Colony®3 Standard Height Round-Front Bowl White,Standard,97.36,40.0,6326.0,45.51,5.51,1.1,revisar cotacao
ABSF-150-FTGFA-A,"Charlotte Pipe ABS-00105-0600 1-1/2"" ABS DWV Fitting Female Adapter (Cleanout Adapter less Plug) - Spigot x FPT",Standard,2.88,7.0,1737.0,12.5,5.5,1.8,revisar cotacao
SIOU-821-200PNR,"Sioux Chief 821-200PNR PVC 2"" Shower Drain Nickel Bronze Round Grate 4-7/16""",Standard,54.41,1.76,1007.0,7.25,5.49,4.1,revisar cotacao
AMST-0618.000.020,American Standard 0618000.020 Studio® Large Under Counter Sink White,General,279.63,27.0,4511.0,32.45,5.45,1.2,mover p/ Freight ou Standard
FLUI-12IM72,"Fluidmaster 12IM72 1/4"" x 1/4"" x 72"" COMP x COMP - Ice Maker Supply - No-Burst",General,21.93,0.41,812.0,5.84,5.43,14.3,mover p/ Freight ou Standard
DELT-T17438-H2O,Delta T17438-H2O Lahara® Monitor® 17 Series H2OKinetic® Tub & Shower Trim Chrome,General,277.63,1.0,891.0,6.41,5.41,6.4,mover p/ Freight ou Standard
FLUI-12IM84,"Fluidmaster 12IM84 1/4"" x 1/4"" x 84"" COMP x COMP - Ice Maker Supply - No-Burst",General,26.04,0.45,812.0,5.84,5.39,13.0,mover p/ Freight ou Standard
FLUI-12IM96,"Fluidmaster 12IM96 1/4"" x 1/4"" x 96"" COMP x COMP - Ice Maker Supply - No-Burst",General,28.95,0.48,812.0,5.84,5.36,12.2,mover p/ Freight ou Standard
MOEN-900-002,Moen 900-002 Flo by Moen 1.25 in. Water Leak Detector with Automatic Water Shut Off Valve,General,1296.21,0.6,825.0,5.94,5.34,9.9,mover p/ Freight ou Standard
MOEN-7565EWSRS,Moen 7565EWSRS Align Single Handle Touchless Pull Down Sprayer Kitchen Faucet with MotionSense Wave in Spot Resist Stainless Steel,General,919.28,5.0,1435.0,10.33,5.33,2.1,mover p/ Freight ou Standard
SIOU-821-200ASQ,"Sioux Chief 821-200ASQ ABS 2"" Shower Drain Matte Stainless Steel Square Grate 4-1/2""",General,68.23,1.96,1007.0,7.25,5.29,3.7,mover p/ Freight ou Standard
SIOU-821-200PSQ,"Sioux Chief 821-200PSQ PVC 2"" Shower Drain Matte Stainless Steel Square Grate 4-1/2""",General,68.23,1.96,1007.0,7.25,5.29,3.7,mover p/ Freight ou Standard
SIOU-551-3PK2,"Sioux Chief 551-3PK2 3/4"" CTS with nail 10/bag Tube Talon",Standard,3.06,0.25,760.0,5.47,5.22,21.9,revisar cotacao
MILW-2571-21,Milwaukee Tools 2571-21 M12™ Drain Snake KIT,Standard,447.74,15.84,2923.0,21.03,5.19,1.3,revisar cotacao
SIOU-886-MR,Sioux Chief 886-MR Stainle Stainless Steel Steel Repair Ring,Standard,7.88,0.37,760.0,5.47,5.1,14.8,revisar cotacao
SIOU-886-R,"Sioux Chief 886-R 1/2"" Closet Flange Extension Ring",Standard,4.29,0.39,760.0,5.47,5.08,14.0,revisar cotacao
AMST-3445J.101.020,American Standard 3445J101.020 Rapidway 3-Bolt Wall-Hung Bowl Less Seat White,Standard,431.08,45.0,6959.0,50.06,5.06,1.1,revisar cotacao
SIOU-207-08325,"Sioux Chief 207-08325 1-1/2"" x 8"" x 1/2"" Branch DW Tailpiece",Standard,22.14,0.96,832.0,5.99,5.03,6.2,revisar cotacao
SIOU-822-CKIT,Sioux Chief 822-CKIT Clamp Collar for Halo Drains,General,24.06,0.5,766.0,5.51,5.01,11.0,mover p/ Freight ou Standard
SIOU-863-335SQ,"Sioux Chief 863-335SQ 3"" Solvent Weld Square Above-Grade Floor Drain 5-7/8"" Top Stainle Stainless Steel Steel Finish",General,113.93,1.98,970.0,6.98,5.0,3.5,mover p/ Freight ou Standard
SIOU-868-5A,"Sioux Chief 868-5A 2"" ABS Urinal Flange Kit for Schedule 40 Hub",Standard,16.08,0.49,760.0,5.47,4.98,11.2,revisar cotacao
SIOU-868-9A,"Sioux Chief 868-9A 2"" ABS Urinal Flange Kit for Schedule 40 Spigot",Standard,15.27,0.5,760.0,5.47,4.97,10.9,revisar cotacao
CTRO-ISELL0245,"Centrotherm 2"" - 45 Degree Elbow Long Radius PolyPro SW",Standard,11.8,2.25,1000.0,7.19,4.94,3.2,revisar cotacao
SIOU-821-2PQCP,"Sioux Chief 821-2PQCP PVC 2"" Shower Drain, Chrome Square Grate",Standard,59.01,2.05,970.0,6.98,4.93,3.4,revisar cotacao
SIOU-868-5P,"Sioux Chief 868-5P Urinal Flange Kit 2"" PVC Hub",Standard,16.08,0.55,760.0,5.47,4.92,9.9,revisar cotacao
SIOU-868-9P,"Sioux Chief 868-9P Urinal Flange Kit 2"" PVC Spigot",Standard,15.27,0.58,760.0,5.47,4.89,9.4,revisar cotacao
ZILM-ZHT18,Zilmet ZHT18-30 4.8 Gallon Expansion Tank Same as TK300-30,Standard,85.71,8.2,1815,13.06,4.86,1.6,revisar cotacao
CTRO-ISVL036,"Centrotherm 3"" x 72"" - PolyPro Single Wall Vent Pipe",Standard,57.31,2.19,977.0,7.03,4.84,3.2,revisar cotacao
SIOU-490-10560,Sioux Chief 490-10560 Tank To Bowl Kit for American Standard,Standard,10.32,0.63,752.0,5.41,4.78,8.6,revisar cotacao
SIOU-490-10565,Sioux Chief 490-10565 Tank To Bowl Kit for Gerber,Standard,9.82,0.63,752.0,5.41,4.78,8.6,revisar cotacao
FLUI-B6F16,"Fluidmaster B6F16 3/8"" x 3/8"" x 16"" COMP x COMP - Faucet Supply - Braided Stainless Steel",Standard,7.17,0.26,691.0,4.97,4.71,19.1,revisar cotacao
TOTO-TSU01W.14R,"Toto TSU01W.14R 14"" Unifit Trapway Rough-In - for CT474, MS614, MS644",General,114.56,3.12,1087.0,7.82,4.7,2.5,mover p/ Freight ou Standard
FLUI-B3T16,"Fluidmaster B3T16 1/2"" x 7/8"" x 16"" COMP x Ballcock - Toilet Supply - No-Burst SS",Standard,6.42,0.28,691.0,4.97,4.69,17.8,revisar cotacao
FLUI-B8F16,"Fluidmaster B8F16 3/8"" x 3/8"" x 16"" COMP x COMP - Faucet Supply - No-Burst",Standard,6.87,0.28,691.0,4.97,4.69,17.8,revisar cotacao
FLUI-B4T16,"Fluidmaster B4T16 1/2"" x 7/8"" x 16"" FIP x Ballcock - Toilet Supply - No-Burst SS",Standard,6.42,0.28,691.0,4.97,4.69,17.8,revisar cotacao
SIOU-490-10585,Sioux Chief 490-10585 Tank-to-Bowl Kit for Mansfield,Standard,13.96,0.63,735.0,5.29,4.66,8.4,revisar cotacao
FLUI-B3T20,"Fluidmaster B3T20 1/2"" x 7/8"" x 20"" COMP x Ballcock - Toilet Supply - No-Burst SS",Standard,7.51,0.32,691.0,4.97,4.65,15.5,revisar cotacao
FLUI-B8F20,"Fluidmaster B8F20 3/8"" x 3/8"" x 20"" COMP x OD COMP - Faucet Supply - Braided Stainless Steel",Standard,7.85,0.32,691.0,4.97,4.65,15.5,revisar cotacao
HOLD-271,HoldRite Acoustical Liner 25-ft White,General,484.03,4.0,1200,8.63,4.63,2.2,mover p/ Freight ou Standard
TOTO-TSU08W.10,"TOTO® Unifit 10"" Rough-In Outlet Adapter Trapway for Select Toilets - TSU08W.10",General,114.56,0.63,731.0,5.26,4.63,8.3,mover p/ Freight ou Standard
FLUI-B3F20,"Fluidmaster B3F20 1/2"" x 1/2"" x 20"" COMP x FIP - Faucet Supply - No-Burst SS",Standard,6.87,0.36,691.0,4.97,4.61,13.8,revisar cotacao
SIOU-852-3LNR,"Sioux Chief 852-3LNR Adjustable Floor Cleanout 3"" MIP ABS 5"" Nickel Bronze Round Cover",General,81.63,2.38,970.0,6.98,4.6,2.9,mover p/ Freight ou Standard
RECT-83809,"RectorSeal Aspen Pumps 83809 Mini Aqua Condensate Pump, Easy Installation, 100-250V",General,399.17,1.5,847.0,6.09,4.59,4.1,mover p/ Freight ou Standard
